1  fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
46  00077225          | PUR0335217 | 9XL92R1           | 9XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS01B               | CHDC

47  00077869          | PUR0423266 | GY5ZLS1           | GY5ZLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM-DAS01C               | CHDC

48  00077221          | PUR0335217 | 8XL92R1           | 8XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS02A               | CHDC

49  00077222          | PUR0335217 | 6XL92R1           | 6XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS02B               | CHDC

50  00077870          | PUR0423266 | GY5YLS1           | GY5YLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM-DAS02C               | CHDC

51  00077863          | PUR0423266 | GY6WLS1           | GY6WLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04A             | CHDC

52  00077864          | PUR0423266 | GY5WLS1           | GY5WLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04B             | CHDC

53  00077862          | PUR0423266 | H4QKKS1           | H4QKKS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04C             | CHDC

54  00077867          | PUR0423266 | GY6SLS1           | GY6SLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04D             | CHDC

55  00076667          | PUR0263482 | JHPWNN1           | JHPWNN1                                                        | DELL          | POWEREDGE R710      | STORAGE  | CHCSPMBX                      | CHDC

56                    |            |                   | 3CDIGX1                                                        | DELL          | POWEREDGE R710      | STORAGE  | CHCSPMBX03-DAS03AA            | CHDC

57  00084465          | PUR0596941 | 3CDWGX1           | 3CDWGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX03-DAS03B             | CHDC

58  N0031635          | PUR0596928 | 3CHWGX1           | 3CHWGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX03-DAS03C             | CHDC

59  00084467          | PUR0596941 | 3CGTGX1           | 3CGTGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04A             | CHDC

60  00084463          | PUR0596941 | 3CDVGX1           | 3CDVGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04B             | CHDC

61  00084461          | PUR0596941 | 3CFVGX1           | 3CFVGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04C             | CHDC

62  N0031605          | PUR0737196 | 4BFLV12           | 4BFLV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05A             | CHDC

63  N0031604          | PUR0737196 | 4BFKV12           | 4BFKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05B             | CHDC

64  N0031606          | PUR0737196 | 4BGKV12           | 4BGKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05C             | CHDC

65  N0031921          | PUR0682421 | 7RWZDZ1           | 7RWZDZ1                                                        | DELL          | POWEREDGE R720XD    | STORAGE  | CHSOCFILE02                   | CHDC

66  00084388          | PUR1323640 | HM09XQ2           | HM09XQ2                                                        | DELL          | POWEREDGE R640      | STORAGE  | CHSPLIDX06                    | CHDC

67  00084392          | PUR1323640 | HNQ3XQ2           | HNQ3XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX06-DAS01              | CHDC

68  00084652          | PUR1323640 | H7R5XQ2           | H7R5XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX06-DAS02              | CHDC

69  00084393          | PUR1323640 | HM0BXQ2           | HM0BXQ2                                                        | DELL          | POWEREDGE R640      | STORAGE  | CHSPLIDX07                    | CHDC

70  00084389          | PUR1323640 | HNQ4XQ2           | HNQ4XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX07-DAS01              | CHDC

71  00084390          | PUR1323640 | H7R6XQ2           | H7R6XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX07-DAS02              | CHDC

72                    |            |                   | 6CTOQD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK04                | CHDC

73                    |            |                   | 6CSXPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK04-DS2            | CHDC

74                    |            |                   | 6CSZPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK05                | CHDC

75                    |            |                   | 6CSTPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK05-DS2            | CHDC

76                    |            |                   | 82HNKS1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHVMBKUP01-DAS                | CHDC

77                    |            |                   | 98H0JK2                                                        | DELL          | MD1400              | STORAGE  | CHVMBKUP01A-DAS               | CHDC

78                    |            |                   | SN400-201326-0056                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N1                 | CHDC

79                    |            |                   | SN400-201326-0053                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N2                 | CHDC

80                    |            |                   | SN400-201326-0051                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N3                 | CHDC

81                    |            |                   | SN400-301410-0307                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N4                 | CHDC

82                    |            |                   | SN400-301410-0296                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N5                 | CHDC

83                    |            |                   | SN400-301610-0044                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N6                 | CHDC

84                    |            |                   | JWXNM181800834  JWXNM182401088  JWXNM181900254  JWXNM182401110 | EMC           | ISILON H400         | STORAGE  | CHISILON03 22  21  20  19     | CHDC

85                    |            |                   | JWXNM184900871  JWXNM184901339  JWXNM184900888  JWXNM184901265 | EMC           | ISILON H400         | STORAGE  | CHISILON03-23   27  24   26   | CHDC

86                    |            |                   | JWXNM184900891   JWXNM184901361                                | EMC           | ISILON H400         | STORAGE  | CHISILON03-25  28             | CHDC

87                    |            |                   | SN400-201415-0088                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N1                 | CHDC

88                    |            |                   | JWXYE164500117                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N10                | CHDC

89  00081535          | PUR1078966 | JWXYE164600100    | JWXYE164600100                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N11                | CHDC

90                    |            |                   | JWXYE171700110                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N12                | CHDC

91                    |            |                   | JWXYE171700133                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N13                | CHDC

92                    |            |                   | JWXYE171700118                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N14                | CHDC

93                    |            |                   | JWXYE172200115                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N15                | CHDC

94                    |            |                   | JWXYE171700113                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N16                | CHDC

95                    |            |                   | FCNYE181900002                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N17                | CHDC

96                    |            |                   | FCNYE181900033                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N18                | CHDC

97                    |            |                   | SN400-201433-0114                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N2                 | CHDC

98                    |            |                   | SN400-201433-0116                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N3                 | CHDC

99                    |            |                   | SN400-301524-0131                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N4                 | CHDC

100                    |            |                   | SN400-301549-0035                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N5                 | CHDC

101                    |            |                   | SN400-301601-0007                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N6                 | CHDC

102                    |            |                   | SN400-301545-0012                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N7                 | CHDC

103  00081532          | PUR1078966 | APMYE164800004    | APMYE164800004                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N8                 | CHDC

104  00081533          | PUR1078966 | APMYE164800005    | APMYE164800005                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N9                 | CHDC

105  00080179          | PUR1162300 | J11ML7M           | J11ML7M                                                        | LENOVO        | SYSTEM X3650 M5     | STORAGE  | ERADS14                       | CHDC

106                    |            |                   | MT1314L00300                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON01-IB-1               | CHDC

107                    |            |                   | MT1314L00129                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON01-IB-2               | CHDC

108                    |            |                   | MT1411L00217                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON03-IB-1               | CHDC

109                    |            |                   | MT1411L00337                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON03-IB-2               | CHDC

110                    |            |                   | FCH2040V0T9                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX01                    | EVDC

111                    |            |                   | FCH2040V0CZ                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX02                    | EVDC

112                    |            |                   | FCH2039V4FM                                                    | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX03                    | EVDC

113                    |            |                   | FCH2117V0H9                                                    | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX04                    | EVDC

114                    |            |                   | FCH1922V0EU                                                    | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX05                    | EVDC

115                    |            |                   | 9L5L382                                                        | CODE42        | M1                  | SERVER   | BACKUP1                       | EVDC

116  00085141          | PUR0881262 | C1HLT52           | C1HLT52                                                        | DELL          | R730                | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU | EVDC

117                    |            |                   | 4N2GTK1                                                        | DELL          | POWEREDGE R610      | SERVER   | ANSEL                         | EVDC

118  00080285          | PUR0670812 | 1CT7CZ1           | 1CT7CZ1                                                        | DELL          | POWEREDGE R620      | SERVER   | AVALON                        | EVDC

119                    |            |                   | F2HXHX1                                                        | DELL          | POWEREDGE R620      | SERVER   | BIGBEND                       | EVDC

120                    |            |                   | 236P182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COIPROD                       | EVDC

121                    |            |                   | 235T182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COIPRODDATA                   | EVDC

122                    |            |                   | 235S183                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COITEST                       | EVDC

123                    |            |                   | 235V182                                                        | DELL          | POWEREDGE R730XD    | SERVER   | COITESTDATA                   | EVDC

124                    |            |                   | 826MKB2                                                        | DELL          | POWEREDGE 1750      | SERVER   | ERATABLEAU                    | EVDC

125                    |            |                   | DG12182                                                        | DELL          | POWEREDGE R630      | SERVER   | EVADSDC4                      | EVDC

126  00079104          | PUR0447613 | 2JPN3V1           | 2JPN3V1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE                     | EVDC

127  00079103          | PUR0447586 | BZNN3V1           | BZNN3V1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE2                    | EVDC

128  00080220          | PUR0886039 | 5XQ3V52           | 5XQ3V52                                                        | DELL          | POWEREDGE R730XD    | SERVER   | EVAIRWAVE3                    | EVDC

129  00077005          | PUR0335239 | 53NGXQ1           | 53NGXQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM01                    | EVDC

130  00077004          | PUR0335239 | 53NJXQ1           | 53NJXQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM02                    | EVDC

131  00078671          | PUR0527753 | 5G79ZV1           | 5G79ZV1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPDPM03                    | EVDC

132  00079114          | PUR0596893 | 3YQTGX1           | 3YQTGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX01                    | EVDC

133  00079112          | PUR0596893 | 3YQSGX1           | 3YQSGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX02                    | EVDC

134  00079109          | PUR0596893 | 3YPVGX1           | 3YPVGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX03                    | EVDC

135                    |            |                   | DRW48Y1                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX04                    | EVDC

136  N0031584          | PUR0737189 | 4CPJV12           | 4CPJV12                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX05                    | EVDC

137  N0031585          | PUR0737189 | 4CPKV12           | 4CPKV12                                                        | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX06                    | EVDC

138                    |            |                   | 4FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVCSPSFAST1                   | EVDC

139                    |            |                   | 3FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | EVCSPSFAST2                   | EVDC

140  00077977          | PUR0412979 | F1BFJS1           | F1BFJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPSSQL1                    | EVDC

141  00077978          | PUR0412979 | F1BCJS1           | F1BCJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVCSPSSQL2                    | EVDC

142  00076580          | PUR0263482 | JHPMMN1           | JHPMMN1                                                        | DELL          | POWEREDGE R710      | SERVER   | EVDSPDPM04                    | EVDC

143                    |            |                   | 9SBJDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX15                       | EVDC

144                    |            |                   | 9S9JDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX16                       | EVDC

145                    |            |                   | 9S8JDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX17                       | EVDC

146                    |            |                   | 9S8HDX1                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX18                       | EVDC

147  00080326          | PUR0737342 | 2KWMV12           | 2KWMV12                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX43                       | EVDC

148  00080327          | PUR0737342 | 2KXJV12           | 2KXJV12                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESX44                       | EVDC

149  00081511          | PUR0846848 | 7YZVC42           | 7YZVC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX70                       | EVDC

150  00080268          | PUR0846848 | 95FZC42           | 95FZC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX71                       | EVDC

151  00080269          | PUR0846848 | 7Z02D42           | 7Z02D42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX72                       | EVDC

152  00081510          | PUR0846848 | 7YZYC42           | 7YZYC42                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX73                       | EVDC

153  00081515          | PUR0883513 | CQ60V52           | CQ60V52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX74                       | EVDC

154  00081514          | PUR0883513 | CQ61V52           | CQ61V52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX75                       | EVDC

155  00081516          | PUR0883513 | CQ5VT52           | CQ5VT52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX76                       | EVDC

156  00081502          | PUR0883513 | CQ5YT52           | CQ5YT52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX77                       | EVDC

157                    |            |                   | HHXJHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX82                       | EVDC

158                    |            |                   | HHXWHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX83                       | EVDC

159                    |            |                   | HHXGHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX84                       | EVDC

160                    |            |                   | HHXKHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX85                       | EVDC

161                    |            |                   | HHXXHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX86                       | EVDC

162                    |            |                   | HHXLHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESX87                       | EVDC

163  00079352          | PUR1148114 | HLQCJH2           | HLQCJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N01                   | EVDC

164  00079351          | PUR1148114 | HLQXHH2           | HLQXHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N02                   | EVDC

165  00079350          | PUR1148114 | HLR0JH2           | HLR0JH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N03                   | EVDC

166  00084539          | PUR1148114 | HLQBJH2           | HLQBJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N04                   | EVDC

167  00079349          | PUR1148114 | HLQYHH2           | HLQYHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N05                   | EVDC

168  00079348          | PUR1148114 | HLQWHH2           | HLQWHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N06                   | EVDC

169                    |            |                   | HLQZHH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N07                   | EVDC

170  00079346          | PUR1148114 | HLQDJH2           | HLQDJH2                                                        | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N08                   | EVDC

171                    |            |                   | 5Y0XQP2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N01-U39               | EVDC

172                    |            |                   | 5Y0WQP2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N02-U39               | EVDC

173                    |            |                   | J243HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N03-O34               | EVDC

174                    |            |                   | J245HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N04-O34               | EVDC

175                    |            |                   | J247HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N05-S34               | EVDC

176                    |            |                   | J244HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N06-S34               | EVDC

177                    |            |                   | J246HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N07-S34               | EVDC

178                    | PUR1523314 | 38W4H13           | 38W4H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N01-V34               | EVDC

179                    | PUR1523314 | 38V9H13           | 38V9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N02-V34               | EVDC

180                    | PUR1523314 | 38W3H13           | 38W3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N03-V34               | EVDC

181                    | PUR1521352 | 3CQ4H13           | 3CQ4H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N04-P39               | EVDC

182                    | PUR1521352 | 2CFYG13           | 2CFYG13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N05-P39               | EVDC

183                    | PUR1521352 | 3CQ6H13           | 3CQ6H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N06-P39               | EVDC

184                    | PUR1521352 | 3CP9H13           | 3CP9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N07-P39               | EVDC

185                    | PUR1521352 | 3CQ8H13           | 3CQ8H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N01-V34               | EVDC

186                    | PUR1521352 | 3CQ9H13           | 3CQ9H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N02-V34               | EVDC

187                    | PUR1521352 | 3CQ7H13           | 3CQ7H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N03-V34               | EVDC

188                    | PUR1521352 | 3CQ3H13           | 3CQ3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N04-V34               | EVDC

189                    | PUR1521352 | 3CR3H13           | 3CR3H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N05-Q34               | EVDC

190                    | PUR1521352 | 3CP8H13           | 3CP8H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N06-Q34               | EVDC

191                    | PUR1521352 | 3CQ5H13           | 3CQ5H13                                                        | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N07-Q34               | EVDC

192  00081517          | PUR0864605 | H17HR52           | H17HR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD31                  | EVDC

193  00081513          | PUR0864605 | H17JR52           | H17JR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD32                  | EVDC

194  00081512          | PUR0864605 | H17KR52           | H17KR52                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD33                  | EVDC

195  00081493          | PUR1001752 | HHPHHB2           | HHPHHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD34                  | EVDC

196  00081492          | PUR1001752 | HHPJHB2           | HHPJHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD35                  | EVDC

197  00079271          | PUR1167138 | HRK6GK2           | HRK6GK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD36                  | EVDC

198  00079273          | PUR1167138 | HRK7GK2           | HRK7GK2                                                        | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD37                  | EVDC

