 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
 00077978          | PUR0412979 | F1BCJS1           | F1BCJS1                                      | DELL          | POWEREDGE R710      | SERVER   | EVCSPSSQL2
 00076580          | PUR0263482 | JHPMMN1           | JHPMMN1                                      | DELL          | POWEREDGE R710      | SERVER   | EVDSPDPM04
                   |            |                   | 9SBJDX1                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX15
                   |            |                   | 9S9JDX1                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX16
                   |            |                   | 9S8JDX1                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX17
                   |            |                   | 9S8HDX1                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX18_CI
 00080326          | PUR0737342 | 2KWMV12           | 2KWMV12                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX43
 00080327          | PUR0737342 | 2KXJV12           | 2KXJV12                                      | DELL          | POWEREDGE R620      | SERVER   | EVESX44
 00081511          | PUR0846848 | 7YZVC42           | 7YZVC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX70
 00080268          | PUR0846848 | 95FZC42           | 95FZC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX71
 00080269          | PUR0846848 | 7Z02D42           | 7Z02D42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX72
 00081510          | PUR0846848 | 7YZYC42           | 7YZYC42                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX73
 00081515          | PUR0883513 | CQ60V52           | CQ60V52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX74
 00081514          | PUR0883513 | CQ61V52           | CQ61V52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX75
 00081516          | PUR0883513 | CQ5VT52           | CQ5VT52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX76
 00081502          | PUR0883513 | CQ5YT52           | CQ5YT52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX77
                   |            |                   | HHXJHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX82
                   |            |                   | HHXWHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX83
                   |            |                   | HHXGHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX84
