 fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 
 N0031656          | PUR0849358 | 7ZRCD42           | 7ZRCD42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX22                       | CHDC
                   |            |                   | 7ZS4D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX23                       | CHDC
 00080241          | PUR0846848 | 7YZWC42           | 7YZWC42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX24                       | CHDC
 N0031652          | PUR0849358 | 8P99D42           | 8P99D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX25                       | CHDC
 N0031700          | PUR0846848 | 9FWXC42           | 9FWXC42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX26                       | CHDC
 00080247          | PUR0846848 | 7Z00D42           | 7Z00D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX27                       | CHDC
 00081504          | PUR0883513 | CQ5WT52           | CQ5WT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX28-215_28                | CHDC
 00081496          | PUR0883513 | CQ5XT52           | CQ5XT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX29-215_28                | CHDC
 00081503          | PUR0883513 | CQ6VT52           | CQ6VT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX30-215_28                | CHDC
 00080267          | PUR0883513 | CQ5ZT52           | CQ5ZT52                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX31-215_28                | CHDC
 00084456          | PUR1201612 | JP0HHK2           | JP0HHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD01                  | CHDC
 00084455          | PUR1201612 | JP0HHL2           | JP0HHL2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD02                  | CHDC
 00079389          | PUR1201612 | JP0HXK2           | JP0HXK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESXCLOUD03                  | CHDC
                   |            |                   | 12R8HQ2                                                        | DELL          | POWEREDGE R640      | SERVER   | CHITCSPDC                     | CHDC
                   |            |                   | 6ZPRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS10                      | CHDC
                   |            |                   | 6ZQRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS11                      | CHDC
                   |            |                   | 6ZPSN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS12                      | CHDC
                   |            |                   | 6ZPQN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS13                      | CHDC
                   |            |                   | 6ZNRN23                                                        | DELL          | POWEREDGE R640      | SERVER   | CHRACS14                      | CHDC
                   |            |                   | D347P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS5                       | CHDC
                   |            |                   | D356P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS6                       | CHDC
 00080246          | PUR0783342 | D364P22           | D364P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS7                       | CHDC
 00080245          | PUR0783342 | D346P22           | D346P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS8                       | CHDC
 00080244          | PUR0783342 | D344P22           | D344P22                                                        | DELL          | POWEREDGE R620      | SERVER   | CHRACS9                       | CHDC
                   |            |                   | 7DXOQD2                                                        | DELL          | POWEREDGE R620      | SERVER   | CHSPLIDX04                    | CHDC
                   |            |                   | 7DWXPD2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHSPLIDX05                    | CHDC
 00078324          | PUR0427791 | 6MWJKS1           | 6MWJKS1                                                        | DELL          | POWEREDGE R610      | SERVER   | CHVMBKUP01                    | CHDC
                   |            |                   | 8WYYHK2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVMBKUP01A                   | CHDC
 00080239          | PUR1001739 | HHPGHB2           | HHPGHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVSRX01                      | CHDC
 00080238          | PUR1001739 | HHPFHB2           | HHPFHB2                                                        | DELL          | POWEREDGE R630      | SERVER   | CHVSRX02                      | CHDC
 00077226          | PUR0335217 | 7XL92R1           | 7XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS01A               | CHDC
 00077225          | PUR0335217 | 9XL92R1           | 9XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS01B               | CHDC
 00077869          | PUR0423266 | GY5ZLS1           | GY5ZLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM-DAS01C               | CHDC
 00077221          | PUR0335217 | 8XL92R1           | 8XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS02A               | CHDC
 00077222          | PUR0335217 | 6XL92R1           | 6XL92R1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPDPM-DAS02B               | CHDC
 00077870          | PUR0423266 | GY5YLS1           | GY5YLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM-DAS02C               | CHDC
 00077863          | PUR0423266 | GY6WLS1           | GY6WLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04A             | CHDC
 00077864          | PUR0423266 | GY5WLS1           | GY5WLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04B             | CHDC
 00077862          | PUR0423266 | H4QKKS1           | H4QKKS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04C             | CHDC
 00077867          | PUR0423266 | GY6SLS1           | GY6SLS1                                                        | DELL          | POWERVAULT MD1220   | STORAGE  | CHCSPDPM04-DAS04D             | CHDC
 00076667          | PUR0263482 | JHPWNN1           | JHPWNN1                                                        | DELL          | POWEREDGE R710      | STORAGE  | CHCSPMBX                      | CHDC
                   |            |                   | 3CDIGX1                                                        | DELL          | POWEREDGE R710      | STORAGE  | CHCSPMBX03-DAS03AA            | CHDC
 00084465          | PUR0596941 | 3CDWGX1           | 3CDWGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX03-DAS03B             | CHDC
 N0031635          | PUR0596928 | 3CHWGX1           | 3CHWGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX03-DAS03C             | CHDC
 00084467          | PUR0596941 | 3CGTGX1           | 3CGTGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04A             | CHDC
 00084463          | PUR0596941 | 3CDVGX1           | 3CDVGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04B             | CHDC
 00084461          | PUR0596941 | 3CFVGX1           | 3CFVGX1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX04-DAS04C             | CHDC
 N0031605          | PUR0737196 | 4BFLV12           | 4BFLV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05A             | CHDC
 N0031604          | PUR0737196 | 4BFKV12           | 4BFKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05B             | CHDC
 N0031606          | PUR0737196 | 4BGKV12           | 4BGKV12                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHCSPMBX05-DAS05C             | CHDC
 N0031921          | PUR0682421 | 7RWZDZ1           | 7RWZDZ1                                                        | DELL          | POWEREDGE R720XD    | STORAGE  | CHSOCFILE02                   | CHDC
 00084388          | PUR1323640 | HM09XQ2           | HM09XQ2                                                        | DELL          | POWEREDGE R640      | STORAGE  | CHSPLIDX06                    | CHDC
 00084392          | PUR1323640 | HNQ3XQ2           | HNQ3XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX06-DAS01              | CHDC
 00084652          | PUR1323640 | H7R5XQ2           | H7R5XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX06-DAS02              | CHDC
 00084393          | PUR1323640 | HM0BXQ2           | HM0BXQ2                                                        | DELL          | POWEREDGE R640      | STORAGE  | CHSPLIDX07                    | CHDC
 00084389          | PUR1323640 | HNQ4XQ2           | HNQ4XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX07-DAS01              | CHDC
 00084390          | PUR1323640 | H7R6XQ2           | H7R6XQ2                                                        | DELL          | MD1400              | STORAGE  | CHSPLIDX07-DAS02              | CHDC
                   |            |                   | 6CTOQD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK04                | CHDC
                   |            |                   | 6CSXPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK04-DS2            | CHDC
                   |            |                   | 6CSZPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK05                | CHDC
                   |            |                   | 6CSTPD2                                                        | DELL          | POWERVAULT MD1420   | STORAGE  | CHSPLUNKDISK05-DS2            | CHDC
                   |            |                   | 82HNKS1                                                        | DELL          | POWERVAULT MD1200   | STORAGE  | CHVMBKUP01-DAS                | CHDC
                   |            |                   | 98H0JK2                                                        | DELL          | MD1400              | STORAGE  | CHVMBKUP01A-DAS               | CHDC
                   |            |                   | SN400-201326-0056                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N1                 | CHDC
                   |            |                   | SN400-201326-0053                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N2                 | CHDC
                   |            |                   | SN400-201326-0051                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N3                 | CHDC
                   |            |                   | SN400-301410-0307                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N4                 | CHDC
                   |            |                   | SN400-301410-0296                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N5                 | CHDC
                   |            |                   | SN400-301610-0044                                              | EMC           | ISILON X400         | STORAGE  | CHISILON01-N6                 | CHDC
                   |            |                   | JWXNM181800834  JWXNM182401088  JWXNM181900254  JWXNM182401110 | EMC           | ISILON H400         | STORAGE  | CHISILON03 22  21  20  19     | CHDC
                   |            |                   | JWXNM184900871  JWXNM184901339  JWXNM184900888  JWXNM184901265 | EMC           | ISILON H400         | STORAGE  | CHISILON03-23   27  24   26   | CHDC
                   |            |                   | JWXNM184900891   JWXNM184901361                                | EMC           | ISILON H400         | STORAGE  | CHISILON03-25  28             | CHDC
                   |            |                   | SN400-201415-0088                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N1                 | CHDC
                   |            |                   | JWXYE164500117                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N10                | CHDC
 00081535          | PUR1078966 | JWXYE164600100    | JWXYE164600100                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N11                | CHDC
                   |            |                   | JWXYE171700110                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N12                | CHDC
                   |            |                   | JWXYE171700133                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N13                | CHDC
                   |            |                   | JWXYE171700118                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N14                | CHDC
                   |            |                   | JWXYE172200115                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N15                | CHDC
                   |            |                   | JWXYE171700113                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N16                | CHDC
                   |            |                   | FCNYE181900002                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N17                | CHDC
                   |            |                   | FCNYE181900033                                                 | EMC           | ISILON X410         | STORAGE  | CHISILON03-N18                | CHDC
                   |            |                   | SN400-201433-0114                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N2                 | CHDC
                   |            |                   | SN400-201433-0116                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N3                 | CHDC
                   |            |                   | SN400-301524-0131                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N4                 | CHDC
                   |            |                   | SN400-301549-0035                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N5                 | CHDC
                   |            |                   | SN400-301601-0007                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N6                 | CHDC
                   |            |                   | SN400-301545-0012                                              | EMC           | ISILON X400         | STORAGE  | CHISILON03-N7                 | CHDC
 00081532          | PUR1078966 | APMYE164800004    | APMYE164800004                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N8                 | CHDC
 00081533          | PUR1078966 | APMYE164800005    | APMYE164800005                                                 | EMC           | ISILON X400         | STORAGE  | CHISILON03-N9                 | CHDC
 00080179          | PUR1162300 | J11ML7M           | J11ML7M                                                        | LENOVO        | SYSTEM X3650 M5     | STORAGE  | ERADS14                       | CHDC
                   |            |                   | MT1314L00300                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON01-IB-1               | CHDC
                   |            |                   | MT1314L00129                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON01-IB-2               | CHDC
                   |            |                   | MT1411L00217                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON03-IB-1               | CHDC
                   |            |                   | MT1411L00337                                                   | MELLANOX      | IS 5022 DEVICE      | STORAGE  | CHISILON03-IB-2               | CHDC
