1                name               |           model            |  asset_type  | serial_number 
62  ABBT-RTR-4                       | N7K-SUP2E                  | ROUTERMODULE | JAE1914001N

63  ABBT-RTR-4                       | N7K-SUP2E                  | ROUTERMODULE | JAE191302V6

64  ABBT-RTR-4                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1723ACGK

65  ABBT-RTR-4                       | N7K-M108X2-12L             | ROUTERMODULE | JAF1724AJPK

66  ABBT-RTR-4                       | N7K-M148GS-11L             | ROUTERMODULE | JAF1723ACHJ

67  ABBT-RTR-4                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1752ACMH

68  CHDC-RTR-1                       | N7K-SUP2E                  | ROUTERMODULE | JAF1644AGEG

69  CHDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1716ARQS

70  CHDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1842AKNB

71  CHDC-RTR-1                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1703AMHG

72  CHDC-RTR-1                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1703AMGF

73  CHDC-RTR-1                       | N7K-SUP2E                  | ROUTERMODULE | JAF1704BDHH

74  CHDC-RTR-2                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1702AESS

75  CHDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1705BKTL

76  CHDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1842ACDK

77  CHDC-RTR-2                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1703AHQE

78  CHDC-RTR-2                       | N7K-SUP2E                  | ROUTERMODULE | JAF1715AHHG

79  CHDC-RTR-2                       | N7K-SUP2E                  | ROUTERMODULE | JAF1643ANTC

80  EVDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1706ADPH

81  EVDC-RTR-1                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1703AMHA

82  EVDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1705BEND

83  EVDC-RTR-1                       | N7K-SUP2E                  | ROUTERMODULE | JAF1702BHRF

84  EVDC-RTR-1                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1652BDRL

85  EVDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1706ADSL

86  EVDC-RTR-1                       | N7K-SUP2E                  | ROUTERMODULE | JAF1703AAGD

87  EVDC-RTR-1                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1705ABDG

88  EVDC-RTR-2                       | N7K-SUP2E                  | ROUTERMODULE | JAF1704BDDC

89  EVDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1650AJDH

90  EVDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1706ADPE

91  EVDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1706ADPQ

92  EVDC-RTR-2                       | N7K-SUP2E                  | ROUTERMODULE | JAF1704BDJD

93  EVDC-RTR-2                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1703AHND

94  EVDC-RTR-2                       | N7K-M224XP-23L             | ROUTERMODULE | JAF1702AEJH

95  EVDC-RTR-2                       | N7K-F248XP-25E             | ROUTERMODULE | JAF1705BLAD

96  KRESGEUG-RTR-2                   | N7K-M108X2-12L             | ROUTERMODULE | JAF1550BGLH

97  KRESGEUG-RTR-2                   | N7K-F248XP-25E             | ROUTERMODULE | JAF1738AMSG

98  KRESGEUG-RTR-2                   | N7K-F248XP-25E             | ROUTERMODULE | JAF1823AMBC

99  KRESGEUG-RTR-2                   | N7K-M108X2-12L             | ROUTERMODULE | JAF1550ARQD

100  KRESGEUG-RTR-2                   | N7K-SUP2E                  | ROUTERMODULE | JAE19150EWK

101  KRESGEUG-RTR-2                   | N7K-M148GS-11L             | ROUTERMODULE | JAF1530AADN

