name,model,serial,ip,software,module_ip,module_num,firmware,hw,last_seen
DEERING-IDF-ESW-1,3750-STACK,FDO1522Z0LA,10.100.8.127,15.0(2)SE8,0.0.0.0,0,,,4/27/20 1:00
DEERING-IDF-ESW-1,WS-C3750X-48P,FDO1522Z0LA,10.100.8.127,15.0(2)SE8,0.0.0.0,1,,V02,4/27/20 1:00
LURIE-RTR-4,N7K-F248XP-25E,JAF1821AKJJ,199.249.169.173,6.2(20A),0.0.0.0,3,6.2(20A),V01,4/27/20 1:00
LURIE-RTR-4,N7K-M108X2-12L,JAF1623ABBT,199.249.169.173,6.2(20A),0.0.0.0,2,6.2(20A),V04,4/27/20 1:00
LURIE-RTR-4,N7K-M108X2-12L,JAF1625AEBH,199.249.169.173,6.2(20A),0.0.0.0,1,6.2(20A),V04,4/27/20 1:00
625MICH-15-ESW-1,WS-C3850-48P-L,FCW2035F0D9,10.100.24.61,DENALI 16.3.9,0.0.0.0,9,,V07,4/27/20 1:00
619CLRK-IDF-ESW-1,WS-C3850-48P-L,FCW1926D12Y,10.100.10.78,DENALI 16.3.9,0.0.0.0,2,,V05,4/27/20 1:00
619CLRK-IDF-ESW-1,WS-C3850-48P-L,FOC1931X0ED,10.100.10.78,DENALI 16.3.9,0.0.0.0,3,,V05,4/27/20 1:00
COOK-2000A-ESW-1,3850-STACK,FOC1739X0XD,10.100.6.99,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-48P-L,FOC1739X0XD,10.100.6.99,DENALI 16.3.9,0.0.0.0,1,,V02,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-48P-L,FOC1739X11P,10.100.6.99,DENALI 16.3.9,0.0.0.0,2,,V02,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-48P-L,FOC1739U0Y8,10.100.6.99,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-48P-L,FOC1739U0TZ,10.100.6.99,DENALI 16.3.9,0.0.0.0,4,,V02,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-48P-L,FOC1739U0U1,10.100.6.99,DENALI 16.3.9,0.0.0.0,5,,V02,4/27/20 1:00
COOK-2000A-ESW-1,WS-C3850-24P-L,FOC1748Y0M4,10.100.6.99,DENALI 16.3.9,0.0.0.0,6,,V02,4/27/20 1:00
720UNIV-B-ESW-3,3850-STACK,FOC1748Y315,10.100.10.63,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
720UNIV-B-ESW-3,WS-C3850-48P-L,FOC1750U10A,10.100.10.63,DENALI 16.3.9,0.0.0.0,1,,V03,4/27/20 1:00
720UNIV-B-ESW-3,WS-C3850-48P-L,FOC1750U10G,10.100.10.63,DENALI 16.3.9,0.0.0.0,2,,V03,4/27/20 1:00
720UNIV-B-ESW-3,WS-C3850-48P-L,FOC1750X0ZX,10.100.10.63,DENALI 16.3.9,0.0.0.0,3,,V03,4/27/20 1:00
720UNIV-B-ESW-3,WS-C3850-48P-L,FOC1752X0QB,10.100.10.63,DENALI 16.3.9,0.0.0.0,4,,V03,4/27/20 1:00
720UNIV-B-ESW-3,WS-C3850-24P-L,FOC1748Y315,10.100.10.63,DENALI 16.3.9,0.0.0.0,5,,V02,4/27/20 1:00
750NLSD-B70-ESW-1,3850-STACK,FOC1815U10L,10.100.22.37,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
750NLSD-B70-ESW-1,WS-C3850-24P-L,FOC1820U1E8,10.100.22.37,DENALI 16.3.9,0.0.0.0,1,,V03,4/27/20 1:00
750NLSD-B70-ESW-1,WS-C3850-24P-L,FOC1815U10L,10.100.22.37,DENALI 16.3.9,0.0.0.0,2,,V03,4/27/20 1:00
COOK-2031A-ESW-2,3850-STACK,FOC2220X03L,10.100.6.100,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
COOK-2031A-ESW-2,WS-C3850-48P-L,FOC1752X0HV,10.100.6.100,DENALI 16.3.9,0.0.0.0,1,,V03,4/27/20 1:00
COOK-2031A-ESW-2,WS-C3850-48P-L,FOC1752Y253,10.100.6.100,DENALI 16.3.9,0.0.0.0,2,,V03,4/27/20 1:00
COOK-2031A-ESW-2,WS-C3850-24P-L,FOC1748Y22Y,10.100.6.100,DENALI 16.3.9,0.0.0.0,3,,V02,4/27/20 1:00
COOK-1000A-ESW-4,3850-STACK,FOC1739U0XJ,10.100.6.97,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
COOK-1000A-ESW-4,WS-C3850-48P-L,FOC2224L2VB,10.100.6.97,DENALI 16.3.9,0.0.0.0,1,,V07,4/27/20 1:00
