               name               |           model            |  asset_type  | serial_number 
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1838X15F
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2124U0L0
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2119L1QU
 MUDD-2250-ESW-1                  | WS-C3850-12X48U-L          | SWITCH       | FCW2044C0YL
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2119C1CM
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2143C0ML
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2038C1C7
 MUDD-2250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2104F14E
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2225L01N
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1926U0QV
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC1810X025
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2050D09M
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2224D1AD
 MUDD-3010-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2142X1EA
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2225L04N
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2224L2W1
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2224X15J
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FCW2225D0P9
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2224X0X1
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2225L048
 MUDD-3250-ESW-1                  | WS-C3850-48P-L             | SWITCH       | FOC2050X06T
 NANO-1-ESW-1                     | WS-C3750X-48P              | SWITCH       | FDO1525K11V
 NANO-1-ESW-1                     | WS-C3750X-48P              | SWITCH       | FDO1537R0ZQ
 NANO-1-ESW-1                     | WS-C3750X-48P              | SWITCH       | FDO1537R0AV
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FCW1901C14E
 NANO-1-ESW-3                     | WS-C3850-48P-L             | SWITCH       | FOC1901X164
