Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            
124  E-2020 PUMP-1                        | EMERSON/LIEBERT          | JPM2531J                     | Z0804140661    | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | PUMP

125  E-2020 PUMP-3                        | EMERSON/LIEBERT          | JPM2531J                     | Z0804151536    | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | PUMP

126  E-2001 PUMP CONTROLLER               | EMERSON/LIEBERT          | RP020GY06S0757               |                | EVANSTON | LEVERONE HALL                          | ROOF         | NUIT-CI-SO                   | 3/22/2017 12:00     | PUMP PACKAGE

127  E-2001 DUAL PUMP PACKAGE             | EMERSON/LIEBERT          | D75YNT                       |                | EVANSTON | LEVERONE HALL                          | ROOF         | NUIT-CI-SO                   | 7/17/2015 14:46     | PUMP PACKAGE

128  E-2020 PUMP PACKAGE                  | EMERSON/LIEBERT          | RP030DA06S1270               | 1068029A       | EVANSTON | 2020 RIDGE AV                          | ROOF         | NUIT-CI-SO                   | 7/16/2015 12:09     | PUMP PACKAGE

129  E-2020 STS-1                         | LAYERZERO POWER SYSTEMS  | SERIES 70 ESTS               | 10578-1        | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/21/2015 10:58     | STATIC TRANSFER SWITCH

130  E-2020 RS-MBC                        | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | RN333045-10A   | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

131  E-2020 DC-MBC                        | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | RN333045-10B   | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

132  E-2020 DC-MDP                        | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-005 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

133  E-2020 DC-SWBD-1                     | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-004 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

134  E-2020 GEN-BYPASS-SWBD               | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-013 | EVANSTON | 2020 RIDGE AV                          | 193          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

135  E-2020 GEN-SWBD-1                    | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-002 | EVANSTON | 2020 RIDGE AV                          | 193          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

136  E-2020 HDP-1                         | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-007 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

137  E-2020 HDP-2                         | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-008 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

138  E-2020 HDP-3                         | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-010 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

139  E-2020 HDP-4                         | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-009 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

140  E-2020 HVAC-SWBD-1                   | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-003 | EVANSTON | 2020 RIDGE AV                          | 193          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

141  E-2020 RS-MDP                        | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-016 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

142  E-2020 RS-SWBD-1                     | EATON/CUTLER HAMMER      | POW-R-LINE SWITCHBOARD       | MCG0003858-015 | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 11/4/2013 11:01     | SWITCHBOARD

143  E-2020 A-UPM-1                       | EATON/POWERWARE          | 9390-160                     | EC494CBB15     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/9/2016 10:21      | UPS 3 PHASE AND BATTERIES

144  E-2020 C-UPM-1                       | LIEBERT                  | 46SAA750ABAE671              | D16G4H0003     | EVANSTON | 2020 RIDGE AV                          | 185          | NUIT-CI-SO                   | 8/26/2016 17:12     | UPS 3 PHASE AND BATTERIES

145  E-2020 D-UPM-1                       | LIEBERT                  | 46SAA750ABAE671              | D16G4H0004     | EVANSTON | 2020 RIDGE AV                          | 185          | NUIT-CI-SO                   | 8/26/2016 17:11     | UPS 3 PHASE AND BATTERIES

146  E-2020 A-UPM-5                       |                          | 9390-160                     | EJ287CBC15     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 10/11/2019 16:05    | UPS 3 PHASE AND BATTERIES

147  E-2020 B-UPM-5                       | EATON/POWERWARE          | 9390-160                     | EG294CBC09     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/9/2016 11:42      | UPS 3 PHASE AND BATTERIES

148  C-710 CHLORIDE 250KVA UPS-A          | EMERSON/LIEBERT/CHLORIDE | EP9040025044P                | B242065        | CHICAGO  | ABBOTT HALL                            | B04          | NUIT-CI-SO                   | 2/9/2016 9:28       | UPS 3 PHASE AND BATTERIES

149  C-710 CHLORIDE 250KVA UPS-B          | EMERSON/LIEBERT/CHLORIDE | EP9040025044P                | B242066        | CHICAGO  | ABBOTT HALL                            | B04          | NUIT-CI-SO                   | 2/9/2016 9:29       | UPS 3 PHASE AND BATTERIES

150  E-2020 B-UPM-4                       | EATON/POWERWARE          | 9390-160                     | EE262CBB03     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/8/2016 11:48      | UPS 3 PHASE AND BATTERIES

151  E-2020 A-UPM-4                       |                          | 9390-160                     | EJ287CBC14     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 10/11/2019 16:05    | UPS 3 PHASE AND BATTERIES

152  C-710 NX 400KVA UPS-B                |                          | 38SN400A0AVA525              | D15H4R0002     | CHICAGO  | ABBOTT HALL                            | B04          | NUIT-CI-SO                   | 12/14/2015 16:13    | UPS 3 PHASE AND BATTERIES

153  C-710 NX 400KVA UPS-A                |                          | 38SN400A0AVA525              | D15H4R0001     | CHICAGO  | ABBOTT HALL                            | B04          | NUIT-CI-SO                   | 12/14/2015 16:10    | UPS 3 PHASE AND BATTERIES

154  C-710 CHLORIDE 225KVA UPS-RENTAL     | EMERSON/LIEBERT/CHLORIDE | 90N225225AS44N               | B310235        | CHICAGO  | ABBOTT HALL                            | B04          | NUIT-CI-SO                   | 2/9/2016 9:29       | UPS 3 PHASE AND BATTERIES

155  LG87 300KVA UPS                      | EMERSON/LIEBERT          | U39SA300CCCD087              | D08E5B00001    | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 3/22/2017 12:02     | UPS 3 PHASE AND BATTERIES

156  E-2020 B-UPM-3                       | EATON/POWERWARE          | 9390-160                     | EC164CBA02     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/8/2016 11:48      | UPS 3 PHASE AND BATTERIES

157  E-2020 B-UPM-2                       | EATON/POWERWARE          | 9390-160                     | EA076CBA03     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/8/2016 11:47      | UPS 3 PHASE AND BATTERIES

158  E-2020 B-UPM-1                       | EATON/POWERWARE          | 9390-160                     | EC494CBB13     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/8/2016 11:49      | UPS 3 PHASE AND BATTERIES

159  E-2001 LIEBERT NPOWER 100KVA UPS-2   | EMERSON/LIEBERT          | 37SA100CCC6BF73              | 1359954        | EVANSTON | LEVERONE HALL                          | G364A        | NUIT-CI-SO                   | 7/10/2015 9:55      | UPS 3 PHASE AND BATTERIES

160  E-2001 LIEBERT NPOWER 100KVA UPS-1   | EMERSON/LIEBERT          | 37SA100CCC6BF73              | 1359953        | EVANSTON | LEVERONE HALL                          | G364A        | NUIT-CI-SO                   | 7/10/2015 9:55      | UPS 3 PHASE AND BATTERIES

161  E-2020 A-UPM-3                       | EATON/POWERWARE          | 9390-160                     | EC494CBB03     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/9/2016 10:22      | UPS 3 PHASE AND BATTERIES

162  E-2020 A-UPM-2                       | EATON/POWERWARE          | 9390-160                     | EC501CBB06     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 2/9/2016 10:21      | UPS 3 PHASE AND BATTERIES

163  C-710 CWP-03                         | B&G                      |                              | C130151-03F11  | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | WATER PUMP

164  C-710 CWP-01                         | B&G                      |                              | C130151-01F11  | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | WATER PUMP

165  C-710 CWP-02                         | B&G                      |                              | C130151-02F11  | CHICAGO  | ABBOTT HALL                            | MEZZANINE    | NUIT-CI-SO                   | 7/16/2015 12:09     | WATER PUMP

166  LG87 XDH-05                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8D6D0436   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

167  LG87 XDH-04                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8D6D0500   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

168  LG87 XDH-06                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8E6D0106   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

169  LG87 XDH-03                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8E6D0047   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

170  LG87 XDH-02                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8E6D0077   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

171  LG87 XDH-10                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8C6D0062   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

172  LG87 XDH-01                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8C6D0063   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

173  LG87 XDH-07                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8E6D0136   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

174  LG87 XDP-1                           | EMERSON/LIEBERT          | XDP160RC                     | 1/0816C10605   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

175  LG87 XDH-09                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8C6D0061   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

176  LG87 XDH-08                          | EMERSON/LIEBERT          | XDH32DK                      | 0/NO8E6D0076   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

177  LG87 XDP-2                           | EMERSON/LIEBERT          | XDP160RC                     | 1/0816C10646   | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87         | NUIT-CI-SO                   | 7/16/2015 12:09     | XDH/EXTREME DENSITY IN-ROW

178 (175 rows)

179 

