Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            
31  C-710 AC B-1                         | EMERSON/LIEBERT          | BF102C-AA005133              | 765133-003     | CHICAGO  | ABBOTT HALL                            | BASEMENT     | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER CHALLENGER

32  C-710 AC B-2                         | EMERSON/LIEBERT          | BF102C-AA005133              | 765133-001     | CHICAGO  | ABBOTT HALL                            | BASEMENT     | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER CHALLENGER

33  C-710 AC B-3                         | EMERSON/LIEBERT          | BF102C-AA005133              | 765133-002     | CHICAGO  | ABBOTT HALL                            | BASEMENT     | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER CHALLENGER

34  CHWP-1                               |                          | 09704268-100                 |                | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87 MOAT    | NUIT-CI-SO                   | 4/14/2017 15:32     | CHILLED WATER DELUXE

35  CHWP-2                               |                          | 09704268-100                 |                | EVANSTON | TECHNOLOGICAL INSTITUTE                | LG87 MOAT    | NUIT-CI-SO                   | 4/14/2017 15:40     | CHILLED WATER DELUXE

36  C-710 AC 2-2                         | EMERSON/LIEBERT          | VH740C-AAEI                  | 765133-006     | CHICAGO  | ABBOTT HALL                            | 2ND FLOOR    | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER DELUXE

37  C-710 AC 2-1                         | EMERSON/LIEBERT          | VH740C-AAEI                  | 765133-004     | CHICAGO  | ABBOTT HALL                            | 2ND FLOOR    | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER DELUXE

38  C-710 AC 2-3                         | EMERSON/LIEBERT          | VH740C-AAEI                  | 79395-001      | CHICAGO  | ABBOTT HALL                            | 2ND FLOOR    | NUIT-CI-SO                   | 7/16/2015 12:09     | CHILLED WATER DELUXE

39  C-710 CHILLER - 3                    | CARRIER                  | 30RAN055055E-GHCX            | 3605Q04586     | CHICAGO  | ABBOTT HALL                            | ROOF         | NUIT-CI-SO                   | 8/4/2016 9:50       | CHILLER

40  C-710 CHILLER - 1                    | CARRIER                  | 30RAN055E--611CX             | 3805Q04602     | CHICAGO  | ABBOTT HALL                            | ROOF         | NUIT-CI-SO                   | 4/26/2017 17:02     | CHILLER

41  C-710 CHILLER - 3                    | CARRIER                  | 30RAP0556J-0CF10             | 2516Q56957     | CHICAGO  | ABBOTT HALL                            | ROOF         | NUIT-CI-SO                   | 8/4/2016 9:48       | CHILLER

42  C-710 CHILLER - 4                    | CARRIER                  | 30RBB08064-LG83L             | 2511Q76025     | CHICAGO  | ABBOTT HALL                            | ROOF         | NUIT-CI-SO                   | 4/26/2017 16:58     | CHILLER

43  C-710 CHILLER - 2                    | CARRIER                  | 30RAN055E--611CX             | 3605Q04590     | CHICAGO  | ABBOTT HALL                            | ROOF         | NUIT-CI-SO                   | 4/26/2017 17:02     | CHILLER

44  C-710 VORTEX (7) 200A  DC PLANT B    | EMERSON/LORAIN           | LPS48E1 582140000            | 2619351        | CHICAGO  | ABBOTT HALL                            | 112A         | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

45  E-2145 SAGEON SENTRY 450A DC PLANT B | C&D/POWERCOM             | C&D AT-27 48V 1 STRING       | EPS0509914     | EVANSTON | TECHNOLOGICAL INSTITUTE                | LB15         | NUIT-CI-SO                   | 7/12/2017 15:02     | DC RECTIFIER PLANT AND BATTERIES

46  E-1855 SAGEON SENTRY 450A DC PLANT   | C&D/POWERCOM             | C&D AT-27 48V 1 STRING       | APS0614199     | EVANSTON | KRESGE UNDERGROUND                     |              | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

47  E-2145 SAGEON SENTRY 450A DC PLANT A | C&D/POWERCOM             | C&D AT-27 48V 1 STRING       | APS0614201     | EVANSTON | TECHNOLOGICAL INSTITUTE                | LB15         | NUIT-CI-SO                   | 7/12/2017 15:05     | DC RECTIFIER PLANT AND BATTERIES

48  E-2001 VORTEX (5) 200A DC PLANT A    | EMERSON/LORAIN           | LPS48E1 582140000            | 3819412        | EVANSTON | LEVERONE HALL                          | G364A        | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

49  E-2001 VORTEX (5) 200A DC PLANT B    | EMERSON/LORAIN           | LPS48E1 582140000            | 3819413        | EVANSTON | LEVERONE HALL                          | G364A        | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

50  C-LURIE SAGEON SENTRY 450A DC PLANT  | C&D/POWERCOM             | C&D AT-27 48V 1 STRING       | CPS0508805     | CHICAGO  | ROBERT H LURIE MEDICAL RESEARCH CENTER | B105         | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

51  C-750 SAGEON SENTRY 450A DC PLANT    | C&D/POWERCOM             | C&D AT-27 48V 1 STRING       | APS0614200     | CHICAGO  | 750 N LAKE SHORE DR                    |              | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

52  C-710 VORTEX (7) 200A  DC PLANT A    | EMERSON/LORAIN           | LPS48E1 582140000            | 2619350        | CHICAGO  | ABBOTT HALL                            | 112A         | NUIT-CI-SO                   | 7/10/2015 9:55      | DC RECTIFIER PLANT AND BATTERIES

53  E-2001 AIR CONDITIONER-2             | EMERSON/LIEBERT          | VE116G-CA014068              | 874068-001     | EVANSTON | LEVERONE HALL                          | SWITCH ROOM  | NUIT-CI-SO                   | 7/16/2015 12:09     | DELUXE A/C

54  E-2001 AIR CONDITIONER-3             | EMERSON/LIEBERT          | VE116G-CA014068              | 874068-002     | EVANSTON | LEVERONE HALL                          | SWITCH ROOM  | NUIT-CI-SO                   | 7/16/2015 12:09     | DELUXE A/C

55  E-2001 AIR CONDITIONER-1             | EMERSON/LIEBERT          | VE192G-CA014068              | 874068-003     | EVANSTON | LEVERONE HALL                          | SWITCH ROOM  | NUIT-CI-SO                   | 7/16/2015 12:09     | DELUXE A/C

56  C-710 AC-2-5                         | EMERSON/LIEBERT          | CW114DC1A20964S              | N11F150023     | CHICAGO  | ABBOTT HALL                            | 241          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

57  C-710 AC-2-4                         | EMERSON/LIEBERT          | CW114DC1A20964S              | N11F150022     | CHICAGO  | ABBOTT HALL                            | 241          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

58  E-2020 AC-02                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0014     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

59  E-2020 AC-03                         | EMERSON/LIEBERT          | DS105WUAOE1030A              | C08G8G0011     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | DS 30-TON CW UNIT

