name,manufacturer,model,serial_number,campus,building,room_number,department,last_edit_date_time,device_type
E-2020 PDU-RS-4,EATON/POWERWARE,297239-001,EE511SXX01,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 13:45,PDU
E-2020 A-UPM-5,,9390-160,EJ287CBC15 ,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,10/11/2019 16:05,UPS 3 PHASE AND BATTERIES
C-710 NIT 1.5MW GENERATOR,CUMMINS,C1500D6RG,J120398717,CHICAGO,ABBOTT HALL,PARKING LOT,NUIT-CI-SO,2/19/2016 14:23,GENERATOR
C-710 CHLORIDE 250KVA UPS-A,EMERSON/LIEBERT/CHLORIDE,EP9040025044P,B242065,CHICAGO,ABBOTT HALL,B04,NUIT-CI-SO,2/9/2016 9:28,UPS 3 PHASE AND BATTERIES
C-710 CHLORIDE 250KVA UPS-B,EMERSON/LIEBERT/CHLORIDE,EP9040025044P,B242066,CHICAGO,ABBOTT HALL,B04,NUIT-CI-SO,2/9/2016 9:29,UPS 3 PHASE AND BATTERIES
E-2020 UTIL-SWBD-1,EATON/CUTLER HAMMER,MAGNUM DS SWITCHGEAR,MCG0003858-001,EVANSTON,2020 RIDGE AV,193,NUIT-CI-SO,11/4/2013 11:01,MAIN SWITCHGEAR
E-2020 DC-MBC,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,RN333045-10B,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 DC-MDP,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-005,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 DC-SWBD-1,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-004,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 GEN-BYPASS-SWBD,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-013,EVANSTON,2020 RIDGE AV,193,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 GEN-SWBD-1,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-002,EVANSTON,2020 RIDGE AV,193,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 HDP-1,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-007,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 HDP-2,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-008,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 HDP-3,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-010,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 HDP-4,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-009,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 HVAC-SWBD-1,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-003,EVANSTON,2020 RIDGE AV,193,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 RS-MBC,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,RN333045-10A,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 RS-MDP,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-016,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 RS-SWBD-1,EATON/CUTLER HAMMER,POW-R-LINE SWITCHBOARD,MCG0003858-015,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,11/4/2013 11:01,SWITCHBOARD
E-2020 1.5MW GENERATOR,CUMMINS,C1500D6RG,I0800208776,EVANSTON,2020 RIDGE AV,DOCK 6,NUIT-CI-SO,6/18/2019 16:07,GENERATOR
E-2020 PDR-W30,EATON/POWERWARE,253045-001,EE495RXX02,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 13:42,PDR
E-2020 PDR-W52,EATON/POWERWARE,253045-001,EE495RXX01,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/10/2015 13:43,PDR
C-710 CHLORIDE 225KVA UPS-RENTAL,EMERSON/LIEBERT/CHLORIDE,90N225225AS44N,B310235,CHICAGO,ABBOTT HALL,B04,NUIT-CI-SO,2/9/2016 9:29,UPS 3 PHASE AND BATTERIES
E-2020 STS-1,LAYERZERO POWER SYSTEMS,SERIES 70 ESTS,10578-1,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/21/2015 10:58,STATIC TRANSFER SWITCH
E-2020 PDU-DC-3,LAYERZERO POWER SYSTEMS,EPODS TYPE X,10586-1,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/21/2015 10:58,PDU
C-710 NX 400KVA UPS-A,,38SN400A0AVA525,D15H4R0001,CHICAGO,ABBOTT HALL,B04,NUIT-CI-SO,12/14/2015 16:10,UPS 3 PHASE AND BATTERIES
C-710 NX 400KVA UPS-B,,38SN400A0AVA525,D15H4R0002,CHICAGO,ABBOTT HALL,B04,NUIT-CI-SO,12/14/2015 16:13,UPS 3 PHASE AND BATTERIES
E-2020 A-UPM-4,,9390-160,EJ287CBC14,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,10/11/2019 16:05,UPS 3 PHASE AND BATTERIES
E-2020 D-UPM-1,LIEBERT,46SAA750ABAE671,D16G4H0004,EVANSTON,2020 RIDGE AV,185,NUIT-CI-SO,8/26/2016 17:11,UPS 3 PHASE AND BATTERIES
C-710 AB-1-4-ATS-3 IT,ASCO,,779392-001 WE,CHICAGO,ABBOTT HALL,110,NUIT-CI-SO,2/9/2017 16:27,AUTO TRANSFER SWITCH
C-710 AB-1-4-ATS-2 IT,,2000 TRANSFER CONTROL SYSTEM,12038,CHICAGO,ABBOTT HALL,DOCK AREA,NUIT-CI-SO,2/14/2017 13:43,AUTO TRANSFER SWITCH
E-2020 C-UPM-1,LIEBERT,46SAA750ABAE671,D16G4H0003,EVANSTON,2020 RIDGE AV,185,NUIT-CI-SO,8/26/2016 17:12,UPS 3 PHASE AND BATTERIES
E-2020 1.5MW GENERATOR,CUMMINS,C1500D6RG,B160926045,EVANSTON,2020 RIDGE AV,DOCK 6,NUIT-CI-SO-SERVICEOPERATIONS,6/18/2019 16:06,GENERATOR
