"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","dev.legacy.docker.wcas.northwestern.edu","dev.legacy.docker.wcas.northwestern.edu",,"2","1","2","4","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","Windows Server 2016 Standard Clean",,,"2","1","2","4","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","SAF-WS16DDBVMB","WIN-C64JEO0A7OK","Microsoft Windows Server 2016 or later (64-bit)","1","2","2","4","159","90","1","dvPortGroup_VMNET_Student_Affairs_VLAN2472",,"NUCLOUD","EVVCENTERCLOUD1","StudentAffairs_vDC"
"VM","law-eqtrac","law-eqtrac.law.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","2","1","2","4","104","49","1","dvPortGroup_VMNET_Law",,"NUCLOUD","EVVCENTERCLOUD1","Law-vDC"
"VM","Windows Server 2019 Standard Clean",,,"2","1","2","4","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","W2016_VNUINVESTWILS",,"Microsoft Windows Server 2016 or later (64-bit)","2","2","4","16","272","0","1","dvPortGroup_VMNET_Investments",,"NUCLOUD","EVVCENTERCLOUD1","Investments_vDC"
"VM","mtr932-dev","mtr932-dev.rcs.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","2","2","4","4","84","41","1","dvPortGroup_VMNET_A&RT",,"NUCLOUD","EVVCENTERCLOUD1","A&RT_vDC"
"VM","TestVM",,,"1","1","1","4","44","40","1","dvPortGroup_PIPS",,"NUCLOUD","EVVCENTERCLOUD1","PIPS-vDC"
"VM","ProSight Head Node_replica",,"Red Hat Enterprise Linux 5 (64-bit)","2","1","2","2","81","39","2","ProSightNetwork",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","OpenFiler_replica",,"Debian GNU/Linux 5 (64-bit)","2","1","2","2","31","1","1","VM Network",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","RHEL8 Template","rhel8template.wcas.northwestern.edu",,"1","2","2","2","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","libjbpm1s.library.northwestern.edu (74e3e80f-fd23-42d1-9887-058583ddaf51)",,"Red Hat Enterprise Linux 6 (64-bit)","2","1","2","8","40","24","1","dvPortGroup_VMNET_NUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","wp-prd.library.northwestern.edu (7eb4deda-c34b-4b86-8c74-cc7221c5c2ab)","wp-prd.library.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","1","1","1","2","10","8","1","dvPortGroup_VMNET_NUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","SAF-RHEL76BVMB","saf-rhel76bvmb.dosa.northwestern.edu",,"1","1","1","2","0","0","1","dvPortGroup_VMNET_Student_Affairs_VLAN2472",,"NUCLOUD",,"StudentAffairs_vDC"
"VM","NU Cloud Apps (60aa0595-ce79-4684-a1ee-8e2f2490e2a5)","hosting","Ubuntu Linux (64-bit)","1","2","2","2","431","193","1","dvPortGroup_VMNET_SESP1",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
"VM","Test Linux","testlinux.KELLEHER","CentOS 4/5 or later (64-bit)","2","2","4","4","54","5","1","dvPortGroup_VMNET_PCE",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","Win2019 Template","WIN-U1V2VPS7F8J",,"1","2","2","4","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","RHEL7 Template VM","rhe7template.wcas.northwestern.edu",,"1","2","2","2","0","0","1","dvPortGroup_VMNET_WCAS",,"NUCLOUD",,"WCAS-vDC"
"VM","twesting","twesting.library.northwestern.edu","Red Hat Enterprise Linux 6 (64-bit)","1","1","1","2","18","14","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD","EVVCENTERCLOUD1","NUL-vDC"
"VM","PERFTEST",,,"4","1","4","4","0","0","1","dvPortGroup_VMNET_Student_Affairs_VLAN2472",,"NUCLOUD",,"StudentAffairs_vDC"
"VM","Template_Test","WIN-C68QUGP2BL8","Microsoft Windows Server 2012 (64-bit)","1","1","1","2","74","25","1","dvPortGroup_VMNET_SESP2",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
"VM","NRTDP Training Template","trainingtemplate","Microsoft Windows Server 2012 (64-bit)","2","1","2","4","66","62","2","dvPortGroup_VMNET_PCE_VRF",,"NUCLOUD","EVVCENTERCLOUD1","PCE-vDC"
"VM","course-admin (2bef2f13-7513-40ca-8ce6-783bb5195509)","course-admin","Ubuntu Linux (64-bit)","1","1","1","1","17","15","1","dvPortGroup_VMNET_SESP1",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
"VM","mypracticum (6a4ceaa3-de76-47eb-b234-eae5d47bf717)","mypracticum","Ubuntu Linux (64-bit)","1","1","1","1","17","15","1","dvPortGroup_VMNET_SESP1",,"NUCLOUD","EVVCENTERCLOUD1","SESP-vDC"
