name,fqdn,guest
WEB-HDL02-PRD.LIBRARY.NORTHWESTERN.EDU (D19B04DD-4DCC-4473-9BF5-43EA59D77483),WEB-HDL02-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
RISAPPTEST-NUC,RISAPPTEST.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
JAMEDILL,JAMEDILL.MEDILL.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
REDIRECT,REDIRECT,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISSUBKSVR,RISSUBKSVR.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
AMPERE.TECH.NORTHWESTERN.EDU,AMPERE,UBUNTU LINUX (64-BIT)
DIZZY.LIBRARY.NORTHWESTERN.EDU,DIZZY.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SESPDC3 (9EB0E72F-8F2B-4902-BA82-BD32685EA10C),SESPDC3.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCCLINICSFS,SOCCLINICSFS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCWINSCHED,SOCWINSCHED.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LIBFEDORA1S.LIBRARY.NORTHWESTERN.EDU (26C518C3-1CED-428A-9183-F185331667ED),,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EVITFS01.LIBRARY.NORTHWESTERN.EDU,EVITFS01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MAREK-DEV.LIBRARY.NORTHWESTERN.EDU,MAREK-DEV.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISCPSVR3-NUC,RISCPSVR3-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
OSEP WEB 2 (04E43969-9AC9-45F2-A1BA-8038A0ACB97C),OSEPWEB.SESP.NORTHWESTERN.EDU,UBUNTU LINUX (64-BIT)
PHILOLOGIC-P,,
TOMSTEST,TOMSTEST,RED HAT ENTERPRISE LINUX 7 (64-BIT)
EVPUBRMTUAG02.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTUAG02,VMWARE PHOTON OS (64-BIT)
DISCOLIB1-P.LIBRARY.NORTHWESTERN.EDU,DISCOLIB1-P,RED HAT ENTERPRISE LINUX 6 (64-BIT)
GATTO (7DA1048F-A4D4-4D25-8BBE-16698E78789D),GATTO.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CURTIS-S.LIBRARY.NORTHWESTERN.EDU (DA47842E-8873-4B79-9CD4-E330573DA8C2),CURTIS-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BARNEY.LIBRARY.NORTHWESTERN.EDU,BARNEY.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
EVSTAFFFS01-S.ADLIBRARY.NORTHWESTERN.EDU,EVSTAFFFS01-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-IT,LAW-IT.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
W2016_VNUINVESTGFIL,VNUINVESTGFIL.IVM.NORTHWESTERN.EDU,
ENDPOINTDATA,ENDPOINTDATA,RED HAT ENTERPRISE LINUX 7 (64-BIT)
ALMATRON-S.LIBRARY.NORTHWESTERN.EDU (71C23E18-E101-4182-AD3B-513205C59A34),ALMATRON-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCFMAUDIT,SOCFMAUDIT.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MAIL.ENGINEERING,MAIL,UBUNTU LINUX (64-BIT)
V2CLOUD4,V2CLOUD4.MMLC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
DOMAIN CONTROLLER 3,KRGDC3.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PICAYUNE,PICAYUNE.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CHEMATIX,CHEMATIX.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCADMINRDS,SOCADMINRDS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCJAMFADSYNC,SOCJAMFADSYNC,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISISIS-DEV,RISISIS-DEV.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ZGATE-P.LIBRARY.NORTHWESTERN.EDU (7D059F59-1DC7-4A2A-96EE-476A59E1F75A),ZGATE-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
PHP72,PHP72.WEINBERG.NORTHWESTERN.EDU,
EVSTAFFFS02-S.ADLIBRARY.NORTHWESTERN.EDU,EVSTAFFFS02-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WEBHOST,,
LAW-RESET,LAW-RESET.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
NEW-WEBAPPS2,WEBAPPS2.AD.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 5 (64-BIT)
DISCOWEB1-D.LIBRARY.NORTHWESTERN.EDU,DISCOWEB1-D,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BCOE-STAGE (11E32447-1184-46BC-A998-1C8A21BE16AC),BCOE-STAGE,UBUNTU LINUX (64-BIT)
REDMINE,MASCOT-VM-COMPUTE,RED HAT ENTERPRISE LINUX 7 (64-BIT)
FORMS7DEV,FORMS7DEV,RED HAT ENTERPRISE LINUX 7 (64-BIT)
CAPTURE (B094592E-8006-4C0A-A32C-726414C5819D),CAPTURE,UBUNTU LINUX (64-BIT)
LIBDB1S.LIBRARY.NORTHWESTERN.EDU (93425672-59C9-4B46-855B-7D2603D0C2D1),,
CLOUD5.MADSTUDIO,CLOUD5.MADSTUDIO.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
EVENTS (444208AA-F6F9-44F3-9E88-F07D4123D614),EVENTS,UBUNTU LINUX (64-BIT)
CLASSWEB,CLASSWEB.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
CHBEFS.MCC-2016,CHBEFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EPICSDATA,EPICSDATA.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SOCCLINICSNOAH,SOCCLINICSNOAH.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EV-WEBPRINT02.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT02.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
NETIDCHECK,NETIDCHECK,RED HAT ENTERPRISE LINUX 7 (64-BIT)
FRY.TECH.NORTHWESTERN.EDU,FRY,UBUNTU LINUX (64-BIT)
CTSTEM-STAGE (0B069D67-8702-49A8-A852-85F6B346E8B8),CTSTEM-STAGE,UBUNTU LINUX (64-BIT)
LISTS,LISTS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PALPATINE (C5616EAF-FE1F-4209-9B5D-8B56DF91A16A),PALPATINE.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EV-WEBPRINT09.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT09.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DISJAM,DISJAM,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISISIS-TEST,RISISIS-TEST.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
NTANGO (4B67D2F9-C750-45EA-B9D7-1F3DE39780DF),NTANGO,UBUNTU LINUX (64-BIT)
EVDC-VSRX-FW-1146-1-NUL,,
EVPUBLICFS01.LIBRARY.NORTHWESTERN.EDU,EVPUBLICFS01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FORMS7,FORMS7,RED HAT ENTERPRISE LINUX 7 (64-BIT)
WEB-HDL01-STG.LIBRARY.NORTHWESTERN.EDU,WEB-HDL01-STG.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BUSTER.LIBRARY.NORTHWESTERN.EDU,BUSTER.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-TSALL1B,SAF-TSALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SCAFFOLD,SCAFFOLD.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
NEIL,NEIL,MICROSOFT WINDOWS 10 (64-BIT)
SAF-RMSWEB1B,SAF-RMSWEB1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-RMSDB1BT,SAF-RMSDB1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ADMFS.MCC-2016,ADMFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISADSVR8-NUC,RISADSVR8-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EVSTAFFFS02.LIBRARY.NORTHWESTERN.EDU,EVSTAFFFS02.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WWW7,WWW.WCAS.NORTHWESTERN.EDU,
SOCDOCKERHOST,SOCDOCKERHOST,RED HAT ENTERPRISE LINUX 7 (64-BIT)
CASPER-DIST-DEV,CASPER-DIST-DEV.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SAF-WDSALL1A,SAF-WDSALL1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MECHWEB18.TECH.NORTHWESTERN.EDU,MECHWEB18,UBUNTU LINUX (64-BIT)
WEEZER.LIBRARY.NORTHWESTERN.EDU,WEEZER.LIBRARY.NORTHWESTERN.EDU,
MECHFS.MCC-2016,MECHFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MSTORK-ADLIB10.ADLIBRARY.NORTHWESTERN.EDU,MSTORK-ADLIB10.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
RISSCHOLARS,RISSCHOLARS.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
RISTSSVR4-NUC,RISTSSVR4-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EVERTZ (43D025E2-62B1-4A41-9F7F-00D0B0AEFD03),,OTHER LINUX (64-BIT)
SAF-GENFS1A (90DE1000-E725-4151-B9C5-5833B3FFD687),SAF-GENFS1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-ONE,LAW-ONE.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
4WINDSDB.MCC-2019,4WINDSDB.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WEBAPPS6-TEST,WEBAPPS6-TEST.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CASPER,CASPER.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
RISDVPROD,RISDVPROD.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WINDOWS2012TEST,,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EGOT.LIBRARY.NORTHWESTERN.EDU,EGOT.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PG (BD411E12-E8B6-4248-8461-F66503AD3B2E),PG.SESP.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
PRESS-S.LIBRARY.NORTHWESTERN.EDU,PRESS-S,RED HAT ENTERPRISE LINUX 6 (64-BIT)
DIR6,DIR6.AD.WCAS.NORTHWESTERN.EDU,
LEELA.TECH.NORTHWESTERN.EDU,LEELA,UBUNTU LINUX (64-BIT)
IMAGES-S.LIBRARY.NORTHWESTERN.EDU (A0EF5F8C-03DD-411D-B53E-D160AF1523A6),IMAGES-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
GAMMA.MCC-2012,GAMMA.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WIN10,NATEADVM10.AD.WCAS.NORTHWESTERN.EDU,
SOCCLINICSRDSB,SOCCLINICSRDSB.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WORDHOARD-S.LIBRARY.NORTHWESTERN.EDU (6C80A1F2-8007-49EF-9306-4E6588B39829),WORDHOARD-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
WARNER.LIBRARY.NORTHWESTERN.EDU,WARNER.LIBRARY.NORTHWESTERN.EDU,
GFA1.LIBRARY.NORTHWESTERN.EDU,GFA1.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
GCHENTEST0,WIN-7AH3OM0HH52,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCMANAGE,SOCMANAGE.SOC.NORTHWESTERN.EDU,
SCHERRLABRDS,SCHERRLABRDS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
WEBAPPS6-DEV,WEBAPPS6-DEV.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SAF-RWZWEB1A,SAF-RWZWEB1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-AANALL1BT,SAF-AANALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
AWSLYNC.LIBRARY.NORTHWESTERN.EDU,AWSLYNC.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCSOLSTICE,SOCSOLSTICE.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-WUSALL1B,SAF-WUSALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-ITFS,LAW-ITFS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PROTEOME DISCOVERER 1.4_REPLICA,DISCOVERER14.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS 7 (64-BIT)
TRAININGTEMP,TRAININGTEMP.KELLEHER.NORTHWESTERN.EDU,
LAW-FUSIONDB,LAW-FUSIONDB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
RHEL8-TEMPLATE,RHEL8-TEMPLATE.SOC.NORTHWESTERN.EDU,
JUPYTER,JUPYTER,UBUNTU LINUX (64-BIT)
FIFA (1CD0AE4B-6AFA-4557-B952-F4BA7464DFF1),FIFA.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
LAW-WEBDBP_REPLICA,,
HOMER-S.LIBRARY.NORTHWESTERN.EDU (96F16143-544F-4F81-93CD-C0C3777228A7),HOMER-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
MAS-DEV18.TECH.NORTHWESTERN.EDU,MAS-DEV18,UBUNTU LINUX (64-BIT)
EVPUBRMTUAG02-S.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTUAG02-S,VMWARE PHOTON OS (64-BIT)
TECH SUPPORT VM,TECHSUPPORTVM.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
ARDEQUITRAC,ARDEQUITRAC.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FACULTY-TEST,FACULTY-TEST.WCAS.NORTHWESTERN.EDU,
LAW-MBDB,LAW-MBDB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCPWSTATE,SOCPWSTATE.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-GALTERPRINT.LIBRARY.NORTHWESTERN.EDU,EV-GALTERPRINT.LIBRARY.NORTHWESTERN.EDU,
TFS BUILD,TFSBUILD2.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PUBWEB18.TECH.NORTHWESTERN.EDU,PUBWEB18,UBUNTU LINUX (64-BIT)
FTP-STG.LIBRARY.NORTHWESTERN.EDU,FTP-STG.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCSTEALTHAPP,SOCSTEALTHAPP.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ZGATE-S.LIBRARY.NORTHWESTERN.EDU (B06007F3-6160-4310-83CC-D61BFA84FC1B),ZGATE-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
E1-PRINT.MCC-2019,E1-PRINT.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EV-PRINT.LIBRARY.NORTHWESTERN.EDU,EV-PRINT.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
CS-POC-WS2K19-1,WIN-5S2SO5NNBES,
BCOE-PROD (9863DB94-A439-4F1A-A0A6-6D1AD5B55C5E),BCOE-PROD,UBUNTU LINUX (64-BIT)
EV-WEBPRINT01.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
JAMDIS,JAMDIS.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EVITFS01-S.ADLIBRARY.NORTHWESTERN.EDU,EVITFS01-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ALMATRON-P.LIBRARY.NORTHWESTERN.EDU (6D6898CA-4B36-4C9C-B957-DA5C1A348647),ALMATRON-P,RED HAT ENTERPRISE LINUX 6 (64-BIT)
WPHOST2,WPHOST2,RED HAT ENTERPRISE LINUX 7 (64-BIT)
TEMPLATE18.TECH.NORTHWESTERN.EDU,TEMPLATE18,UBUNTU LINUX (64-BIT)
SID.LIBRARY.NORTHWESTERN.EDU,SID.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-PHOTOS,LAW-PHOTOS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
NUL-INFRA.LIBRARY.NORTHWESTERN.EDU,,
SOCRDS,SOCRDS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BARTLETT-P.LIBRARY.NORTHWESTERN.EDU (E67EAB89-53F1-49D6-8950-822A85E678A7),BARTLETT-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
KEN-DEV,KEN-DEV.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
KRGWSUS,,
MYPC.LIBRARY.NORTHWESTERN.EDU,MYPC.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
COWEN DOCKER_MAS,COWEN,UBUNTU LINUX (64-BIT)
CASPER-DIST,CASPER-DIST.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
INQUIRERVM,INQUIRERVM.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LIBSOLR3S.LIBRARY.NORTHWESTERN.EDU,,ORACLE LINUX 4/5 OR LATER (64-BIT)
SOCITRDS,SOCITRDS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ALMATRON2-S.LIBRARY.NORTHWESTERN.EDU,,
CSGFMP,CSGFMP.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
TRAINING-PAUL,TRAINING-PAUL.KELLEHER.NORTHWESTERN.EDU,
WINDOWS WEB 2,PCE-WIMA2.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RYAN-DEV,RYAN-DEV.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
MODELER,MODELER.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-JOURNALS,LAW-JOURNALS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
JOETOOLS,,
EV-WEBPRINT00.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT00.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LIBKBOX2.LIBRARY.NORTHWESTERN.EDU,LIBKBOX2.LIBRARY.NORTHWESTERN.EDU,FREEBSD 11 (64-BIT)
SOCAWX,SOCAWX,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SOCFUSIONSQL,SOCFUSIONSQL.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RHEL 6 TEMPLATE VM,RHEL6TEMPLATE.WCAS.NORTHWESTERN.EDU,
MCCSFS01.MCC-2019,MCCSFS01.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CEE-LICENSE.MCC-2019,CEE-LICENSE.MCC.NORTHWESTERN.EDU,
BIOINFORMATICS,BIOINFORMATICS.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-WEBPRINT2016TEMPLATE,UNIVERS-F7N5EFG.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SVN (AFAC6715-66D1-4A53-9204-34123955433C),,
CATRACKS VM,,
RISRETROSVR2,RISRETROSVR2.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCCLINICSRDSH6,SOCCLINICSRDSH6.SOC.NORTHWESTERN.EDU,
MAS18.TECH.NORTHWESTERN.EDU,MAS18,UBUNTU LINUX (64-BIT)
COLLABORATION.MCCORMICK.NORTHWESTERN.EDU,COLLABORATION,UBUNTU LINUX (64-BIT)
EVALUATIONS (E142E3E4-3800-497F-A6E5-B398B9C434FC),EVALUATIONS.SESPAD.NORTHWESTERN.EDU,
QUAGMIRE.SOC,QUAGMIRE.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
PROGFS.MCC-2016,PROGFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MONITOR,NEW-MONITOR.WCAS.NORTHWESTERN.EDU,
RISCISVR1-NUC,RISCISVR1-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
BURNS-S.LIBRARY.NORTHWESTERN.EDU,BURNS-S.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISISIS-PROD,RISISIS-PROD.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EZPROXY1-S.LIBRARY.NORTHWESTERN.EDU,,
LAW-NONDOMAIN,LAW-NONDOMAIN.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SCHERRMAXQDA,SCHERRMAXQDA.SOC.NORTHWESTERN.EDU,
MAS-DEV18DB.TECH.NORTHWESTERN.EDU,MAS-DEV18DB,UBUNTU LINUX (64-BIT)
SOCDOCKERDEV,SOCDOCKERDEV,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LIBFEDORA2S.LIBRARY.NORTHWESTERN.EDU (26C1B674-517C-48E3-97E2-DA7B0569812C),,
LAW-SBDB,LAW-SBDB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-THREE,LAW-THREE.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EVSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,EVSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FS.MCC-2016,FS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PLUCKY.LIBRARY.NORTHWESTERN.EDU,PLUCKY.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BOOKWORM.LIBRARY.NORTHWESTERN.EDU,,
RISSCI-CLUB,RISSCI-CLUB.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
GCHENTEST,WIN2K12-R2-STD,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCDEPTFS,SOCDEPTFS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
JENKINS,JENKINS.RCS.NORTHWESTERN.EDU,CENTOS 4/5 OR LATER (64-BIT)
EV-WEBPRINT05.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT05.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISREVOSM-NUC,RISREVOSM-NUC.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MCECEFS01.MCC-2019,MCECEFS01.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
