name,fqdn,guest
MAS18DB1.TECH.NORTHWESTERN.EDU,MAS18DB1,UBUNTU LINUX (64-BIT)
W2016_VNUINVESTDC,,
PUPPETDB.LIBRARY.NORTHWESTERN.EDU (9DC095DB-87E4-4E8E-9BDE-033F97A1AC26),PUPPETDB.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCWSUSINFRA,SOCWSUSINFRA.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EVDC01-S.ADLIBRARY.NORTHWESTERN.EDU,EVDC01-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
GIMLI.LIBRARY.NORTHWESTERN.EDU,GIMLI.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
W2016_VNUINVESTSYNC,VNUINVESTSYNC.IVM.NORTHWESTERN.EDU,
W2016_VNUINVESTDCO,VNUINVESTDCO.IVM.NORTHWESTERN.EDU,
EVDC01.LIBRARY.NORTHWESTERN.EDU,EVDC01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCUGRADFMP,SOCUGRADFMP.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISWEBPROD2,RISWEBPROD2.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ARDK2000,DEPLOY.OARD.NORTHWESTERN.EDU,FREEBSD PRE-11 VERSIONS (64-BIT)
RISSABDAT,RISSABDAT.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ONBASE WIN10,ONBASEWIN10.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
OTIS,OTIS,UBUNTU LINUX (64-BIT)
EVPUBRMTDB01-S.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTDB01-S.LIBRARY.NORTHWESTERN.EDU,
LICENSE02.LIBRARY.NORTHWESTERN.EDU,LICENSE2.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCCLINICSRDSH5,SOCCLINICSRDSH5.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCMILLENIUM,SOCMILLENIUM.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PITFALL (EE6AED91-2DCA-45A9-A2A4-87B31DEF8B67),PITFALL3.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
STORAGEGATEWAY,STORAGEGATEWAY2.WCAS.NORTHWESTERN.EDU,
POWELL.LIBRARY.NORTHWESTERN.EDU,POWELL.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CLOUD2,CLOUD2-MADS.MMLC.NORTHWESTERN.EDU,
DC1,,
NAISE.MCC-2012,NAISE.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MAINWP,MAINWP.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LAW-SB,LAW-SB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ZABBIX,ZABBIX,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MICHIGAN.LIBRARY.NORTHWESTERN.EDU,MICHIGAN.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
DAILY,DAILY.MEDILL.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
TEST,,OTHER 3.X LINUX (64-BIT)
LAW-DEPTS,LAW-DEPTS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CS-POC-UBUNTU-1,CS-POC-UBUNTU,
MAIL.MCCORMICK-16.04,MAIL,UBUNTU LINUX (64-BIT)
PDOX,PDOX.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
SUS.MCC-2016,SUS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BOOKWORM02.LIBRARY.NORTHWESTERN.EDU,BOOKWORM02.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-PNCDB1B (6523E5E9-37F0-4DC1-8E1F-4DFDA333BF8D),SAF-PNCDB1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-KPPALL1B,SAF-KPPALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-USERS,LAW-USERS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-ATA,LAW-ATA.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
FLOWJO,FLOWJO.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CURTIS-P.LIBRARY.NORTHWESTERN.EDU (78621FC1-B93D-4172-A0CA-02043C03D80C),CURTIS-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EVSTAFFFS03-S.ADLIBRARY.NORTHWESTERN.EDU,EVSTAFFFS03-S.ADLIBRARY.NORTHWESTERN.EDU,
ADS CONSOLE,RCSADS.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-WSUS,LAW-WSUS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
DISCOLIB1-S.LIBRARY.NORTHWESTERN.EDU,DISCOLIB1-S,RED HAT ENTERPRISE LINUX 6 (64-BIT)
PRINT.MCC-2016,PRINT.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SESPDC5 (FA9DDAE2-F60E-422A-AA17-F53230E57385),SESPDC5.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-LAWPRINT.LIBRARY.NORTHWESTERN.EDU,EV-LAWPRINT.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-PNCWEB1B (4C5F2DD8-F4D6-45C2-9ED4-91CA4E1EC4C4),SAF-PNCWEB1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
FACULTY-PROD,FACULTY-PROD.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
LAW-SWSTORE,LAW-SWSTORE.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DOCKER,DOCKER.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MUSK18.TECH.NORTHWESTERN.EDU,MUSK18,UBUNTU LINUX (64-BIT)
SAF-PCTPS1A,SAF-PCTPS1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FS3.AD.WCAS.NORTHWESTERN.EDU,FS3.AD.WCAS.NORTHWESTERN.EDU,
FTP-PRD.LIBRARY.NORTHWESTERN (D5F8C37D-0E2F-486A-912E-7CD8E6C21707),FTP-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
ARDSEP,ARDSEP.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-STUPRINT,LAW-STUPRINT.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
REDMINEPCE,,RED HAT ENTERPRISE LINUX 7 (64-BIT)
TILT (62D321E6-D653-4ED5-B078-D4246D98D922),TILT,UBUNTU LINUX (64-BIT)
REDMINE2,REDMINE2.KELLEHER.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LAW-MBAM,LAW-MBAM.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
REDIRECTHOST,REDIRECTHOST.WCAS.NORTHWESTERN.EDU,
EVWEBREDIRECT01.LIBRARY.NORTHWESTERN.EDU,EVWEBREDIRECT01.LIBRARY.NORTHWESTERN.EDU,
RISWFDAT,RISWFDAT-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
WEBAPPS7-TEST,WEBAPPS7-TEST.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
LAW-RICOH-HS,LAW-RICOH-HS.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
WPHOST,WPHOST,RED HAT ENTERPRISE LINUX 7 (64-BIT)
PASCAL.TECH.NORTHWESTERN.EDU,PASCAL,UBUNTU LINUX (64-BIT)
CANTALOUPE,CANTALOUPE.MADSTUDIO.NORTHWESTERN.EDU,
SAF-ACSALL1B,SAF-ACSALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RHO.MCC-2012,RHO.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-MJC,LAW-MJC.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-RMSDB1B,SAF-RMSDB1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
WEBAPPS7-DEV,WEBAPPS7-DEV.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
DISCOWEB1-S.LIBRARY.NORTHWESTERN.EDU,DISCOWEB1-S,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BABS.LIBRARY.NORTHWESTERN.EDU,BABS.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-TSALL1BT,SAF-TSALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
