                           dct_serial                           |  fin_ops_serial   | idrac_service_tag | ibm_serial |   dct_make    | dct_type |             dct_name              | fin_ops_po | idrac_end_date | ibm_end_date 
 HLQDJH2                                                        | HLQDJH2           | HLQDJH2           |            | DELL          | SERVER   | EVESXC01N08                       | PUR1148114 | 5/26/2022      | 
 5Y0XQP2                                                        |                   | 5Y0XQP2           |            | DELL          | SERVER   | EVESXC02N01-U39                   |            | 5/25/2023      | 
 5Y0WQP2                                                        |                   | 5Y0WQP2           |            | DELL          | SERVER   | EVESXC02N02-U39                   |            | 5/25/2023      | 
 J243HQ2                                                        |                   | J243HQ2           |            | DELL          | SERVER   | EVESXC02N03-O34                   |            | 8/26/2023      | 
 J243HQ2                                                        |                   | J243HQ2           |            | DELL          | SERVER   | EVESXC02N03-O34                   |            | 8/26/2023      | 
 J245HQ2                                                        |                   | J245HQ2           |            | DELL          | SERVER   | EVESXC02N04-O34                   |            | 8/26/2023      | 
 J245HQ2                                                        |                   | J245HQ2           |            | DELL          | SERVER   | EVESXC02N04-O34                   |            | 8/26/2023      | 
 J247HQ2                                                        |                   | J247HQ2           |            | DELL          | SERVER   | EVESXC02N05-S34                   |            | 8/26/2023      | 
 J247HQ2                                                        |                   | J247HQ2           |            | DELL          | SERVER   | EVESXC02N05-S34                   |            | 8/26/2023      | 
 J244HQ2                                                        |                   | J244HQ2           |            | DELL          | SERVER   | EVESXC02N06-S34                   |            | 8/26/2023      | 
 J244HQ2                                                        |                   | J244HQ2           |            | DELL          | SERVER   | EVESXC02N06-S34                   |            | 8/26/2023      | 
 J246HQ2                                                        |                   | J246HQ2           |            | DELL          | SERVER   | EVESXC02N07-S34                   |            | 8/26/2023      | 
 J246HQ2                                                        |                   | J246HQ2           |            | DELL          | SERVER   | EVESXC02N07-S34                   |            | 8/26/2023      | 
 38W4H13                                                        | 38W4H13           | 38W4H13           |            | DELL          | SERVER   | EVESXC03N01-V34                   | PUR1523314 | 12/29/2024     | 
 38V9H13                                                        | 38V9H13           | 38V9H13           |            | DELL          | SERVER   | EVESXC03N02-V34                   | PUR1523314 | 12/29/2024     | 
 38W3H13                                                        | 38W3H13           | 38W3H13           |            | DELL          | SERVER   | EVESXC03N03-V34                   | PUR1523314 | 12/29/2024     | 
 3CQ4H13                                                        | 3CQ4H13           |                   |            | DELL          | SERVER   | EVESXC03N04-P39                   | PUR1521352 |                | 
 2CFYG13                                                        | 2CFYG13           |                   |            | DELL          | SERVER   | EVESXC03N05-P39                   | PUR1521352 |                | 
 3CQ6H13                                                        | 3CQ6H13           |                   |            | DELL          | SERVER   | EVESXC03N06-P39                   | PUR1521352 |                | 
 3CP9H13                                                        | 3CP9H13           |                   |            | DELL          | SERVER   | EVESXC03N07-P39                   | PUR1521352 |                | 
 3CQ8H13                                                        | 3CQ8H13           |                   |            | DELL          | SERVER   | EVESXC04N01-V34                   | PUR1521352 |                | 
 3CQ9H13                                                        | 3CQ9H13           |                   |            | DELL          | SERVER   | EVESXC04N02-V34                   | PUR1521352 |                | 
 3CQ7H13                                                        | 3CQ7H13           |                   |            | DELL          | SERVER   | EVESXC04N03-V34                   | PUR1521352 |                | 
 3CQ3H13                                                        | 3CQ3H13           |                   |            | DELL          | SERVER   | EVESXC04N04-V34                   | PUR1521352 |                | 
 3CR3H13                                                        | 3CR3H13           |                   |            | DELL          | SERVER   | EVESXC04N05-Q34                   | PUR1521352 |                | 
 3CP8H13                                                        | 3CP8H13           |                   |            | DELL          | SERVER   | EVESXC04N06-Q34                   | PUR1521352 |                | 
 3CQ5H13                                                        | 3CQ5H13           |                   |            | DELL          | SERVER   | EVESXC04N07-Q34                   | PUR1521352 |                | 
 H17HR52                                                        | H17HR52           | H17HR52           |            | DELL          | SERVER   | EVESXCLOUD31                      | PUR0864605 | 6/18/2020      | 
 H17JR52                                                        | H17JR52           | H17JR52           |            | DELL          | SERVER   | EVESXCLOUD32                      | PUR0864605 | 6/18/2020      | 
 H17KR52                                                        | H17KR52           | H17KR52           |            | DELL          | SERVER   | EVESXCLOUD33                      | PUR0864605 | 6/18/2020      | 
 HHPHHB2                                                        | HHPHHB2           | HHPHHB2           |            | DELL          | SERVER   | EVESXCLOUD34                      | PUR1001752 | 6/3/2021       | 
 HHPJHB2                                                        | HHPJHB2           | HHPJHB2           |            | DELL          | SERVER   | EVESXCLOUD35                      | PUR1001752 | 6/3/2021       | 
 HRK6GK2                                                        | HRK6GK2           | HRK6GK2           |            | DELL          | SERVER   | EVESXCLOUD36                      | PUR1167138 | 7/8/2021       | 
 HRK7GK2                                                        | HRK7GK2           | HRK7GK2           |            | DELL          | SERVER   | EVESXCLOUD37                      | PUR1167138 | 7/8/2021       | 
 84VVFK2                                                        |                   | 84VVFK2           |            | DELL          | SERVER   | EVESXCLOUD38                      |            | 6/21/2021      | 
 84VTFK2                                                        |                   | 84VTFK2           |            | DELL          | SERVER   | EVESXCLOUD39                      |            | 6/21/2021      | 
 84VSFK2                                                        |                   | 84VSFK2           |            | DELL          | SERVER   | EVESXCLOUD40                      |            | 6/21/2021      | 
 84VWFK2                                                        |                   | 84VWFK2           |            | DELL          | SERVER   | EVESXCLOUD41                      |            | 6/21/2021      | 
 84VXFK2                                                        |                   | 84VXFK2           |            | DELL          | SERVER   | EVESXCLOUD42                      |            | 6/21/2021      | 
 HHXHHB2                                                        |                   | HHXHHB2           |            | DELL          | SERVER   | EVESXCLOUD43                      |            | 6/5/2021       | 
 HHXVHB2                                                        |                   | HHXVHB2           |            | DELL          | SERVER   | EVESXCLOUD44                      |            | 6/5/2021       | 
 7Z01D42                                                        | 7Z01D42           | 7Z01D42           |            | DELL          | SERVER   | EVESXCLOUD45                      | PUR0846848 | 4/24/2020      | 
 7YZXC42                                                        | 7YZXC42           | 7YZXC42           |            | DELL          | SERVER   | EVESXCLOUD46                      | PUR0846848 | 4/24/2020      | 
 7YZ1D42                                                        | 7YZ1D42           | 7YZ1D42           |            | DELL          | SERVER   | EVESXCLOUD47                      | PUR0846848 | 4/24/2020      | 
 7ZS5D42                                                        | 7ZS5D42           | 7ZS5D42           |            | DELL          | SERVER   | EVESXCLOUD48                      | PUR0849358 | 5/4/2020       | 
 7YZZC42                                                        | 7YZZC42           | 7YZZC42           |            | DELL          | SERVER   | EVESXCLOUD49                      | PUR0846848 | 4/24/2020      | 
 5XQ4V52                                                        | 5XQ4V52           | 5XQ4V52           |            | DELL          | SERVER   | EVESXTNSC01N02                    | PUR0886039 | 8/17/2020      | 
 5XQ4V52                                                        | 5XQ4V52           | 5XQ4V52           |            | DELL          | SERVER   | EVESXTNSC01N02                    | PUR0886039 | 8/17/2020      | 
 5XQ5V52                                                        | 5XQ5V52           | 5XQ5V52           |            | DELL          | SERVER   | EVESXTNSC01N03                    | PUR0886039 | 8/17/2020      | 
 5XQ5V52                                                        | 5XQ5V52           | 5XQ5V52           |            | DELL          | SERVER   | EVESXTNSC01N03                    | PUR0886039 | 8/17/2020      | 
 12S3HQ2                                                        |                   | 12S3HQ2           |            | DELL          | SERVER   | EVITCSPDC                         |            | 8/9/2022       | 
 12S3HQ2                                                        |                   | 12S3HQ2           |            | DELL          | SERVER   | EVITCSPDC                         |            | 8/9/2022       | 
 4GS9HQ2                                                        | 4GS9HQ2           | 4GS9HQ2           |            | DELL          | SERVER   | EVNBMS01                          | PUR1333389 | 8/22/2022      | 
 4GRHHQ2                                                        | 4GRHHQ2           | 4GRHHQ2           |            | DELL          | SERVER   | EVNBMS02                          | PUR1333389 | 8/22/2022      | 
 4GSCHQ2                                                        | 4GSCHQ2           | 4GSCHQ2           |            | DELL          | SERVER   | EVNBMSTR01                        | PUR1333389 | 8/22/2022      | 
 7N98FB2                                                        | 7N98FB2           | 7N98FB2           |            | DELL          | SERVER   | EVPUMHOST                         | PUR0974187 | 3/29/2020      | 
 HP7YK02                                                        | HP7YK02           | HP7YK02           |            | DELL          | SERVER   | EVRACP10                          | PUR0715639 | 5/1/2019       | 
 6ZSRN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACP11                          |            |                | 
 6ZSSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACP12                          |            |                | 
 6ZRSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACP13                          |            |                | 
 6ZVQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACP14                          |            |                | 
 HP6TK02                                                        |                   | HP6TK02           |            | DELL          | SERVER   | EVRACP6                           |            | 5/1/2019       | 
 HP9TK02                                                        | HP9TK02           | HP9TK02           |            | DELL          | SERVER   | EVRACP7                           | PUR0715639 | 5/1/2019       | 
 HP8XK02                                                        | HP8XK02           | HP8XK02           |            | DELL          | SERVER   | EVRACP8                           | PUR0715639 | 5/1/2019       | 
 HP6WK02                                                        |                   | HP6WK02           |            | DELL          | SERVER   | EVRACP9                           |            | 5/1/2019       | 
 D357P22                                                        | D357P22           | D357P22           |            | DELL          | SERVER   | EVRACR07                          | PUR0783342 | 10/28/2020     | 
 D345P22                                                        | D345P22           | D345P22           |            | DELL          | SERVER   | EVRACR08                          | PUR0783342 | 10/28/2020     | 
 D354P22                                                        |                   | D354P22           |            | DELL          | SERVER   | EVRACR10                          |            | 10/28/2020     | 
 6ZVSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR11                          |            |                | 
 6ZWRN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR12                          |            |                | 
 6ZWQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR13                          |            |                | 
 6ZTRN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR14                          |            |                | 
 6ZSQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR15                          |            |                | 
 6ZRQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACR16                          |            |                | 
 D337P22                                                        | D337P22           | D337P22           |            | DELL          | SERVER   | EVRACR6                           | PUR0783342 | 10/28/2020     | 
 D355P22                                                        | D355P22           | D355P22           |            | DELL          | SERVER   | EVRACR9                           | PUR0783342 | 10/28/2020     | 
 D355P22                                                        | D355P22           | D355P22           |            | DELL          | SERVER   | EVRACR9                           | PUR0783342 | 10/28/2020     | 
 HP5SK02                                                        | HP5SK02           | HP5SK02           |            | DELL          | SERVER   | EVRACT10                          | PUR0715561 | 4/28/2021      | 
 HP5SK02                                                        | HP5SK02           | HP5SK02           |            | DELL          | SERVER   | EVRACT10                          | PUR0715561 | 4/28/2021      | 
 HP5ZK02                                                        | HP5ZK02           | HP5ZK02           |            | DELL          | SERVER   | EVRACT11                          | PUR0715561 | 4/28/2021      | 
 HP5ZK02                                                        | HP5ZK02           | HP5ZK02           |            | DELL          | SERVER   | EVRACT11                          | PUR0715561 | 4/28/2021      | 
 G42GGB2                                                        | G42GGB2           | G42GGB2           |            | DELL          | SERVER   | EVRACT12                          | PUR0988321 | 4/29/2021      | 
 G42HGB2                                                        | G42HGB2           | G42HGB2           |            | DELL          | SERVER   | EVRACT13                          | PUR0988321 | 4/29/2021      | 
 G42JGB2                                                        | G42JGB2           | G42JGB2           |            | DELL          | SERVER   | EVRACT14                          | PUR0988321 | 4/29/2021      | 
 6ZTSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT15                          |            |                | 
 6ZVRN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT16                          |            |                | 
 6ZTQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT17                          |            |                | 
 6ZRRN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT18                          |            |                | 
 6ZQSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT19                          |            |                | 
 6ZNQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT20                          |            |                | 
 6ZNSN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT21                          |            |                | 
 6ZQQN23                                                        |                   |                   |            | DELL          | SERVER   | EVRACT22                          |            |                | 
 HP5WK02                                                        | HP5WK02           | HP5WK02           |            | DELL          | SERVER   | EVRACT7                           | PUR0715561 | 4/28/2021      | 
 HP5WK02                                                        | HP5WK02           | HP5WK02           |            | DELL          | SERVER   | EVRACT7                           | PUR0715561 | 4/28/2021      | 
 HP5XK02                                                        | HP5XK02           | HP5XK02           |            | DELL          | SERVER   | EVRACT8                           | PUR0715561 | 4/28/2021      | 
 HP5XK02                                                        | HP5XK02           | HP5XK02           |            | DELL          | SERVER   | EVRACT8                           | PUR0715561 | 4/28/2021      | 
 HP6SK02                                                        | HP6SK02           | HP6SK02           |            | DELL          | SERVER   | EVRACT9                           | PUR0715561 | 4/28/2021      | 
 HP6SK02                                                        | HP6SK02           | HP6SK02           |            | DELL          | SERVER   | EVRACT9                           | PUR0715561 | 4/28/2021      | 
 BVQDS52                                                        |                   | BVQDS52           |            | DELL          | SERVER   | EVSPLIDX01                        |            | 7/14/2019      | 
 BVQCS52                                                        |                   | BVQCS52           |            | DELL          | SERVER   | EVSPLIDX02                        |            | 7/14/2019      | 
 BVQFS52                                                        |                   | BVQFS52           |            | DELL          | SERVER   | EVSPLIDX03                        |            | 7/14/2020      | 
