            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
 BACKUP5                           | STORAGE            | CODE42           | S2-48                                 | 9867182                                                        |                 |                                                                            | PRODUCTION           |                | SO                  | NUIT-TSS-SUPPORTSERVICES               |                             | 2018-02-23 12:32:28-05           | 420824              |                     | EVDC     | T39
 BIGBEND                           | SERVER             | DELL             | POWEREDGE R620                        | F2HXHX1                                                        | 129.105.106.22  | SYMANTEC MEDIA SERVERS                                                     | PRODUCTION           | INFRASTRUCTURE | PIPS                | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-04-02 17:30:12-04           |                     |                     | EVDC     | S34
 CGDC-021534-LEAF-2214             | NETWORK SWITCH     | CISCO SYSTEMS    | NEXUS N9K-C93180YC-FX                 | FDO23241SHC                                                    |                 |                                                                            | CORE NETWORK         |                | SO                  | NUIT-CI-TNS-DATANETWORK                | TNS-NETWORK                 | 2020-06-30 13:01:06-04           | 997262              |                     | CHDC     | 0215.34
 CH5030-1-ENCL 2                   | STORAGE            | IBM              | STORWISE V5030                        | 781E970                                                        |                 | VMWARE                                                                     | PRODUCTION           | INFRASTRUCTURE | SO                  | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:10-05           | 411120              |                     | CHDC     | 0215.39
 CH5030-1/ENCL 3                   | STORAGE            | IBM              | STORWISE V5030                        | 781F025                                                        |                 | VMWARE                                                                     | PRODUCTION           |                | PIPS                | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:10-05           |                     |                     | CHDC     | 0215.39
 CH5030-1/ENCL 4                   | STORAGE            | IBM              | STORWISE V5030                        | 781F085                                                        |                 | VMWARE                                                                     | PRODUCTION           |                | PIPS                | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:11-05           |                     |                     | CHDC     | 0215.39
 CH5030-1-ENCL 5                   | STORAGE            | IBM              | STORWISE V5030                        | 781F009                                                        |                 | VMWARE                                                                     | PRODUCTION           | INFRASTRUCTURE | SO                  | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:11-05           | 411120              |                     | CHDC     | 0215.39
 CH5030-1-ENCL 6                   | STORAGE            | IBM              | STORWISE V5030                        | 781F023                                                        |                 | VMWARE                                                                     | PRODUCTION           | INFRASTRUCTURE | SO                  | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:11-05           | 411120              |                     | CHDC     | 0215.39
 CH5030-1/ENCL 7                   | STORAGE            | IBM              | STORWISE V5030                        | 781F076                                                        |                 | VMWARE                                                                     | PRODUCTION           |                | PIPS                | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-01-23 11:05:12-05           |                     |                     | CHDC     | 0215.39
 CH5030-1MGMT                      | STORAGE            | IBM              | STORWISE V5030                        | 781E846                                                        |                 | VMWARE                                                                     | PRODUCTION           |                | PIPS                | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | 2019-09-27 10:24:17-04           | 411120              |                     | CHDC     | 0215.39
 CHCSPDPM01                        | SERVER             | DELL             | POWEREDGE R710                        | DPTBJQ1                                                        | 129.105.68.210  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:29-05           |                     |                     | CHDC     | 0215.25
 CHCSPDPM02                        | SERVER             | DELL             | POWEREDGE R710                        | DPV8JQ1                                                        | 129.105.68.211  |                                                                            | PRODUCTION           | HOSTED         | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:47-05           |                     |                     | CHDC     | 0215.28
 CHCSPDPM04                        | SERVER             | DELL             | POWEREDGE R710                        | JHPYNN1                                                        | 129.105.68.212  |                                                                            | PRODUCTION           |                | PIPS                | NUIT-CI-COLLABORATIONSERVICES          |                             | 2019-01-23 11:04:47-05           |                     |                     | CHDC     | 0215.28
