             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 2020RDG-IDF-R39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | R39     | ADMIN
 2020RDG-IDF-S39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | S39     | ADMIN
 2020RDG-IDF-S39-ESW-2         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | S39     | ADMIN
 2020RDG-IDF-T39-ESW-1         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | T39     | ADMIN
 2020RDG-IDF-T39-ESW-2         | NETWORK SWITCH    | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U |                                              | T39     | ADMIN
 2020RDG-IDF-T34-ESW-2-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   | UV04551                                      | T34     | ADMIN
 2020RDG-IDF-W34-ESW-1-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   |                                              | T34     | ADMIN
 2020RDG-IDF-W34-ESW-2-01      | NETWORK SWITCH    | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS   |                                              | T34     | ADMIN
 EVDC-Q34-ESW-3                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  | GX0212014677                                 | Q34     | ADMIN
 EVDC-Q34-ESW-4                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  | GX0211490986                                 | Q34     | ADMIN
 EVDC-T43-ESW-3                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  |                                              | T43     | ADMIN
 EVDC-T43-ESW-4                | NETWORK SWITCH    | JUNIPER NETWORKS | EX4500                  |                                              | T43     | ADMIN
 EV-UCESX01                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2040V0T9                                  | O39     | ADMIN
 EV-UCESX02                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2040V0CZ                                  | O39     | ADMIN
 EV-UCESX03                    | SERVER            | CISCO SYSTEMS    | USC C240 M4SX           | FCH2039V4FM                                  | O39     | ADMIN
 EV-UCESX04                    | SERVER            | CISCO SYSTEMS    | UCS C240 M3             | FCH2117V0H9                                  | O39     | ADMIN
 EV-UCESX05                    | SERVER            | CISCO SYSTEMS    | UCS C240 M3             | FCH1922V0EU                                  | O39     | ADMIN
 BACKUP1                       | SERVER            | CODE42           | M1                      | 9L5L382                                      | T39     | ADMIN
 ALPS.LIBRARY.NORTHWESTERN.EDU | SERVER            | DELL             | R730                    | C1HLT52                                      | R39     | ADMIN
 ANSEL                         | SERVER            | DELL             | POWEREDGE R610          | 4N2GTK1                                      | Q39     | ADMIN
 AVALON                        | SERVER            | DELL             | POWEREDGE R620          | 1CT7CZ1                                      | R39     | ADMIN
