             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
 NUBIEVAPP12                   | SERVER            | DELL             | POWEREDGE R630          | 82N0CH2                                      | U39     | ADMIN
 NUFMZENMASTER                 | SERVER            | DELL             | POWEREDGE R710          | 9178VR1                                      | T39     | ADMIN
 NUFMZENSLAVE                  | SERVER            | DELL             | POWEREDGE R710          | 9179VR1                                      | T39     | ADMIN
 NUQVMHOST06                   | SERVER            | DELL             | POWEREDGE R720          | CZ3920T4Z3                                   | V39     | ADMIN
 NUQVMHOST07                   | SERVER            | DELL             | POWEREDGE R720          | CZ3920T4Z5                                   | V39     | ADMIN
 RISAOPSPRD                    | SERVER            | DELL             | POWEREDGE R730XD        | G4S7HH2                                      | R39     | ADMIN
 RISAOPSPRDDATE                | SERVER            | DELL             | POWEREDGE R730XD        | G4S5HH2                                      | R39     | ADMIN
 RISAOPSTST                    | SERVER            | DELL             | POWEREDGE R730XD        | G4S6HH2                                      | R39     | ADMIN
 RISAOPSTSTDAT                 | SERVER            | DELL             | POWEREDGE R730XD        | G4RBHH2                                      | R39     | ADMIN
 RISEIRB7APP                   | SERVER            | DELL             | POWEREDGE R720XD        | 175LN22                                      | V39     | ADMIN
 RISEIRB7APPTEST               | SERVER            | DELL             | POWEREDGE R720XD        | CV4MW12                                      | P39     | ADMIN
 RISEIRB7DAT                   | SERVER            | DELL             | POWEREDGE R720XD        | 175KN22                                      | V39     | ADMIN
 RISEIRB7DATTEST               | SERVER            | DELL             | POWEREDGE R720XD        | CV3PW12                                      | P39     | ADMIN
 VMBKUP01A                     | SERVER            | DELL             | POWEREDGE R630          | 10V0V52                                      | T34     | ADMIN
 VMBKUP02A                     | SERVER            | DELL             | POWEREDGE R630          | 10TYT52                                      | U34     | ADMIN
 VMBKUP03A                     | SERVER            | DELL             | POWEREDGE R630          | 10TXT52                                      | U34     | ADMIN
 VMBKUP04A                     | SERVER            | DELL             | POWEREDGE R630          | 10TZT52                                      | V34     | ADMIN
 VMBKUP05A                     | SERVER            | DELL             | POWEREDGE R640          | 8TFH333                                      | O34     | ADMIN
 VMBKUP05A-OLD                 | SERVER            | DELL             | POWEREDGE R630          | 8WYXHK2                                      | T34     | ADMIN
 VMBKUP06                      | SERVER            | DELL             | POWEREDGE R630          | GF2GR52                                      | Q34     | ADMIN
 VMBKUP07                      | SERVER            | DELL             | POWEREDGE R630          | 8WYWHK2                                      | U34     | ADMIN
 ZION                          | SERVER            | DELL             | POWEREDGE R620          | F2JVHX1                                      | Q39     | ADMIN
 EVCOP1                        | SERVER            | HP               | PROLIANT DL360          | MXQ93704QX                                   | R39     | ADMIN
 EVCOP2                        | SERVER            | HP               | PROLIANT DL360          | MKQ93704QK                                   | R39     | ADMIN
 EVCOP3                        | SERVER            | HP               | PROLIANT DL360          | MXQ93704QZ                                   | R39     | ADMIN
 POLICE VIDEO                  | SERVER            | PELCO            | ENDURA NVR5124-6000     | ACLGRS8                                      | R39     | ADMIN
 EVESXC02N03-O34               | SERVER APPLIANCES | DELL             | POWEREDGE R640          | J243HQ2                                      | O34     | ADMIN
 EVESXC02N04-O34               | SERVER APPLIANCES | DELL             | POWEREDGE R640          | J245HQ2                                      | O34     | ADMIN
 EVESXC02N05-S34               | SERVER APPLIANCES | DELL             | POWEREDGE R640          | J247HQ2                                      | S34     | ADMIN
 EVESXC02N06-S34               | SERVER APPLIANCES | DELL             | POWEREDGE R640          | J244HQ2                                      | S34     | ADMIN
 EVESXC02N07-S34               | SERVER APPLIANCES | DELL             | POWEREDGE R640          | J246HQ2                                      | S34     | ADMIN
 VMBKUP08A                     | SERVER APPLIANCES | DELL             | POWEREDGE R640          | 14HDDW2                                      | S34     | ADMIN
 VMBKUP09A                     | SERVER APPLIANCES | DELL             | POWEREDGE R640          | 1437DW2                                      | S34     | ADMIN
 EVISILON01-N6                 | SERVER APPLIANCES | EMC              | ISILON A100             | FC6IS160900021                               | P43     | ADMIN
 QUALYS-EVANSTON               | SERVER APPLIANCES | QUALYS           | QUALYSGUARD             | 35689 16223                                  | T39     | ADMIN
 BACKUP3                       | STORAGE           | CODE42           | S2-48                   | 9855182                                      | T39     | ADMIN
 BACKUP4                       | STORAGE           | CODE42           | S2-48                   | 9875182                                      | T39     | ADMIN
 BACKUP5                       | STORAGE           | CODE42           | S2-48                   | 9867182                                      | T39     | ADMIN
 EVCSPDPM03-DAS03A             | STORAGE           | DELL             | POWERVAULT MD1200       | C7KKYV1                                      | P34     | ADMIN
 EVCSPDPM03-DAS03B             | STORAGE           | DELL             | POWERVAULT MD1200       | C7JMYV1                                      | P34     | ADMIN
 EVCSPDPM03-DAS03C             | STORAGE           | DELL             | POWERVAULT MD1200       | C7KLYV1                                      | P34     | ADMIN
 EVCSPMBX01-DAS01A             | STORAGE           | DELL             | POWERVAULT MD1200       | FQH4FX1                                      | R34     | ADMIN
 EVCSPMBX01-DAS01B             | STORAGE           | DELL             | POWERVAULT MD1200       | FQG5FX1                                      | R34     | ADMIN
 EVCSPMBX01-DAS01C             | STORAGE           | DELL             | POWERVAULT MD1200       | FQH5FX1                                      | R34     | ADMIN
 EVCSPMBX02-DAS02A             | STORAGE           | DELL             | POWERVAULT MD1200       | FQF5FX1                                      | R34     | ADMIN
 EVCSPMBX02-DAS02B             | STORAGE           | DELL             | POWERVAULT MD1200       | 36CWGX1                                      | R34     | ADMIN
 EVCSPMBX02-DAS02C             | STORAGE           | DELL             | POWERVAULT MD1200       | 36DTGX1                                      | R34     | ADMIN
 EVCSPMBX03-DAS03A             | STORAGE           | DELL             | POWERVAULT MD1200       | 36CVGX1                                      | R34     | ADMIN
 EVCSPMBX03-DAS03B             | STORAGE           | DELL             | POWERVAULT MD1200       | 36CTGX1                                      | R34     | ADMIN
 EVCSPMBX03-DAS03C             | STORAGE           | DELL             | POWERVAULT MD1200       | FQF4FX1                                      | R34     | ADMIN
 EVCSPMBX04-DAS04A             | STORAGE           | DELL             | POWERVAULT MD1200       | FQF6FX1                                      | R34     | ADMIN
 EVCSPMBX04-DAS04B             | STORAGE           | DELL             | POWERVAULT MD1200       | FQG4FX1                                      | R34     | ADMIN
 EVCSPMBX04-DAS04C             | STORAGE           | DELL             | POWERVAULT MD1200       | FQG6FX1                                      | R34     | ADMIN
 EVCSPMBX05_DAS05A             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BCMV12                                      | P34     | ADMIN
 EVCSPMBX05_DAS05B             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BCLV12                                      | P34     | ADMIN
 EVCSPMBX05_DAS05C             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BDKV12                                      | P34     | ADMIN
 EVCSPMBX06_DAS06A             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BCKV12                                      | P34     | ADMIN
 EVCSPMBX06_DAS06B             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BDLV12                                      | P34     | ADMIN
 EVCSPMBX06_DAS06C             | STORAGE           | DELL             | POWERVAULT MD1200       | 4BDMV12                                      | P34     | ADMIN
 EVDPM-DAS01A                  | STORAGE           | DELL             | POWERVAULT MD1200       | 5MZLXQ1                                      | P34     | ADMIN
 EVDPM-DAS01B                  | STORAGE           | DELL             | POWERVAULT MD1200       | 5MZQXQ1                                      | P34     | ADMIN
 EVDPM-DAS01C                  | STORAGE           | DELL             | POWERVAULT MD1220       | 2F0ZMS1                                      | P34     | ADMIN
 EVDPM-DAS02A                  | STORAGE           | DELL             | POWERVAULT MD1200       | 5MZNXQ1                                      | T34     | ADMIN
 EVDPM-DAS02B                  | STORAGE           | DELL             | POWERVAULT MD1200       | 5MZPXQ1                                      | T34     | ADMIN
 EVDPM-DAS02C                  | STORAGE           | DELL             | POWERVAULT MD1220       | 2F10NS1                                      | T34     | ADMIN
 EVDPM-DAS04A                  | STORAGE           | DELL             | POWERVAULT MD1220       | DJYYLS1                                      | T34     | ADMIN
 EVDPM-DAS04B                  | STORAGE           | DELL             | POWERVAULT MD1220       | DJZWLS1                                      | T34     | ADMIN
 EVDPM-DAS04C                  | STORAGE           | DELL             | POWERVAULT MD1220       | 2F0VMS1                                      | T34     | ADMIN
 EVDPM-DAS04D                  | STORAGE           | DELL             | POWERVAULT MD1220       | DJYXLS1                                      | T34     | ADMIN
 EVSPLIDX01-DAS01              | STORAGE           | DELL             | POWERVAULT MD1420       | J3D6T52                                      | O34     | ADMIN
 EVSPLIDX01-DAS02              | STORAGE           | DELL             | POWERVAULT MD1420       | J3DDT52                                      | O34     | ADMIN
 EVSPLIDX02-DAS01              | STORAGE           | DELL             | POWERVAULT MD1420       | J3D9T52                                      | O34     | ADMIN
 EVSPLIDX02-DAS02              | STORAGE           | DELL             | POWERVAULT MD1420       | J3DJT52                                      | O34     | ADMIN
 EVSPLIDX03-DAS01              | STORAGE           | DELL             | POWERVAULT MD1420       | J3D8T52                                      | O34     | ADMIN
 EVSPLIDX03-DAS02              | STORAGE           | DELL             | POWERVAULT MD1420       | J3DHT52                                      | O34     | ADMIN
 EVSPLIDX04-DAS01              | STORAGE           | DELL             | POWERVAULT MD1420       | 6CSVPD2                                      | V34     | ADMIN
 EVSPLIDX04-DAS02              | STORAGE           | DELL             | POWERVAULT MD1420       | 6CT1QD2                                      | V34     | ADMIN
 EVSPLIDX05-DAS01              | STORAGE           | DELL             | POWERVAULT MD1420       | 6CSWPD2                                      | V34     | ADMIN
 EVSPLIDX05-DAS02              | STORAGE           | DELL             | POWERVAULT MD1420       | 6CSYPD2                                      | V34     | ADMIN
 EVSPLUNKDISK                  | STORAGE           | DELL             | POWERVAULT MD1220       | 2QQ9H02                                      | U34     | ADMIN
 VMBKUP01A-DAS                 | STORAGE           | DELL             | POWERVAULT MD1200       | 1051V52                                      | T34     | ADMIN
 VMBKUP02A-DAS                 | STORAGE           | DELL             | POWERVAULT MD1200       | 1050V52                                      | U34     | ADMIN
 VMBKUP03A-DAS                 | STORAGE           | DELL             | POWERVAULT MD1200       | 104ZT52                                      | U34     | ADMIN
 VMBKUP04A-DAS                 | STORAGE           | DELL             | POWERVAULT MD1200       | 104YT52                                      | V34     | ADMIN
 VMBKUP05A-DAS-OLD             | STORAGE           | DELL             | MD1400                  | 98GZHK2                                      | T34     | ADMIN
 VMBKUP05A-DAS01               | STORAGE           | DELL             | POWERVAULT MD1400       | DQYB3333                                     | O34     | ADMIN
 VMBKUP06-DAS                  | STORAGE           | DELL             | POWERVAULT MD1200       | D3JCR52                                      | Q34     | ADMIN
 VMBKUP07-DAS                  | STORAGE           | DELL             | MD1400                  | 98H1JK2                                      | U34     | ADMIN
 VMBKUP08A-DAS01               | STORAGE           | DELL             | MD1400                  | 15V9DW2                                      | S34     | ADMIN
 VMBKUP09A-DAS01               | STORAGE           | DELL             | MD1400                  | 15VBDW2                                      | S34     | ADMIN
 EVISILON 19  20  21  22       | STORAGE           | EMC              | ISILON H400             | JWXNM181900260/182800243/181900260/182800243 | V43     | ADMIN
 EVISILON 23 AND 24            | STORAGE           | EMC              | ISILON H400             | JWXNM184200947/JWXNM184200733                | V43     | ADMIN
 EVISILON 27 AND 28            | STORAGE           | EMC              | ISILON H400             | JWXNM184200734/JWXNM184200711                | V43     | ADMIN
 EVISILON 31  32  33  34       | STORAGE           | EMC              | ISILON H400             | JWXNM184900865/184900841/184900903/184900874 | V43     | ADMIN
 EVISILON 35 AND 36            | STORAGE           | EMC              | ISILON H400             | JWXNM184900865/JWXNM184900841                | V43     | ADMIN
 EVISILON01-N1                 | STORAGE           | EMC              | ISILON X400             | SN400-201325-0274                            | P43     | ADMIN
 EVISILON01-N2                 | STORAGE           | EMC              | ISILON X400             | SN400-201325-0275                            | P43     | ADMIN
 EVISILON01-N3                 | STORAGE           | EMC              | ISILON X400             | SN400-201325-0276                            | P43     | ADMIN
 EVISILON01-N4                 | STORAGE           | EMC              | ISILON X400             | SN400-301410-0305                            | P43     | ADMIN
 EVISILON01-N5                 | STORAGE           | EMC              | ISILON X400             | SN400-301610-0046                            | P43     | ADMIN
 EVISILON02-N1                 | STORAGE           | EMC              | ISILON X400             | SX400-301233-0357                            | Q39     | ADMIN
 EVISILON02-N2                 | STORAGE           | EMC              | ISILON X400             | SX400-301243-0120                            | Q39     | ADMIN
 EVISILON02-N3                 | STORAGE           | EMC              | ISILON X400             | SX400-301233-0355                            | Q39     | ADMIN
 EVISILON02-N4                 | STORAGE           | EMC              | ISILON X400             | SX400-301409-0146                            | Q39     | ADMIN
 EVISILON03-N1                 | STORAGE           | EMC              | ISILON X400             | SN400-201433-0115                            | T43     | ADMIN
 EVISILON03-N10                | STORAGE           | EMC              | ISILON X400             | JWXYE164600005                               | U43     | ADMIN
 EVISILON03-N11                | STORAGE           | EMC              | ISILON X400             | JWXYE164600094                               | U43     | ADMIN
 EVISILON03-N12                | STORAGE           | EMC              | ISILON X410             | JWXYE172200019                               | U43     | ADMIN
 EVISILON03-N13                | STORAGE           | EMC              | ISILON X410             | JWXYE172200022                               | U43     | ADMIN
 EVISILON03-N14                | STORAGE           | EMC              | ISILON X410             | JWXYE172100026                               | U43     | ADMIN
 EVISILON03-N15                | STORAGE           | EMC              | ISILON X410             | JWXYE172200017                               | U43     | ADMIN
 EVISILON03-N16                | STORAGE           | EMC              | ISILON X410             | JWXYE172200055                               | U43     | ADMIN
 EVISILON03-N17                | STORAGE           | EMC              | ISILON X410             | FCNYE181900024                               | U43     | ADMIN
 EVISILON03-N18                | STORAGE           | EMC              | ISILON X410             | FCNYE181400028                               | V43     | ADMIN
 EVISILON03-N2                 | STORAGE           | EMC              | ISILON X400             | SN400-201433-0118                            | T43     | ADMIN
 EVISILON03-N3                 | STORAGE           | EMC              | ISILON X400             | SN400-201433-0117                            | T43     | ADMIN
 EVISILON03-N4                 | STORAGE           | EMC              | ISILON X400             | SN400-301525-0053                            | T43     | ADMIN
 EVISILON03-N5                 | STORAGE           | EMC              | ISILON X400             | SN400-301543-0084                            | T43     | ADMIN
 EVISILON03-N6                 | STORAGE           | EMC              | ISILON X400             | SN400-301546-0166                            | T43     | ADMIN
 EVISILON03-N7                 | STORAGE           | EMC              | ISILON X400             | SN400-301543-0068                            | T43     | ADMIN
 EVISILON03-N8                 | STORAGE           | EMC              | ISILON X400             | JAMYE162200157                               | U43     | ADMIN
 EVISILON03-N9                 | STORAGE           | EMC              | ISILON X400             | JWXYE164600058                               | U43     | ADMIN
 EV3700-3-ENCL 2               | STORAGE           | IBM              | STORWISE V3700          | 7809049                                      | Q34     | ADMIN
 EV3700-3-ENCL 3               | STORAGE           | IBM              | STORWISE V3700          | 7809048                                      | Q34     | ADMIN
 EV3700-3-ENCL 4               | STORAGE           | IBM              | STORWISE V3700          | 7809041                                      | Q34     | ADMIN
 EV3700-3-ENCL 5               | STORAGE           | IBM              | STORWISE V3700          | 7809035                                      | Q34     | ADMIN
 EV3700-3MGMT                  | STORAGE           | IBM              | STORWISE V3700          | 7808463                                      | Q34     | ADMIN
 EV3700-COLLAB-ENCL 2          | STORAGE           | IBM              | STORWISE V3700          | 7872448                                      | R43     | ADMIN
 EV3700-COLLAB-ENCL 3          | STORAGE           | IBM              | STORWISE V3700          | 7872229                                      | R43     | ADMIN
 EV3700-COLLAB-ENCL 4          | STORAGE           | IBM              | STORWISE V3700          | 7872445                                      | R43     | ADMIN
 EV3700-COLLAB-ENCL 5          | STORAGE           | IBM              | STORWISE V3700          | 7875428                                      | R43     | ADMIN
 EV3700-COLLABMGMT             | STORAGE           | IBM              | STORWISE V3700          | 7865837                                      | R43     | ADMIN
 EV5030-1/ENCL 2               | STORAGE           | IBM              | STORWISE V5030          | 781E680                                      | Q43     | ADMIN
 EV5030-1/ENCL 3               | STORAGE           | IBM              | STORWISE V5030          | 781E665                                      | Q43     | ADMIN
 EV5030-1/ENCL 4               | STORAGE           | IBM              | STORWISE V5030          | 781E632                                      | Q43     | ADMIN
 EV5030-1/ENCL 6               | STORAGE           | IBM              | STORWISE V5030          | 781E717                                      | Q43     | ADMIN
 EV5030-1/ENCL 7               | STORAGE           | IBM              | STORWISE V5030          | 781E741                                      | Q43     | ADMIN
 EV5030-1MGMT                  | STORAGE           | IBM              | STORWISE V5030          | 781E814                                      | Q43     | ADMIN
 EV5030-1_20                   | STORAGE           | IBM              | STORWISE V5030          | 781E302                                      | Q43     | ADMIN
 EV5030-2/ENCL 2               | STORAGE           | IBM              | STORWISE V5030          | 781E716                                      | Q43     | ADMIN
 EV5030-2/ENCL 3               | STORAGE           | IBM              | STORWISE V5030          | 781E684                                      | Q43     | ADMIN
 EV5030-2/ENCL 4               | STORAGE           | IBM              | STORWISE V5030          | 781E700                                      | Q43     | ADMIN
 EV5030-2/ENCL 5               | STORAGE           | IBM              | STORWISE V5030          | 781E685                                      | Q43     | ADMIN
 EV5030-2/ENCL 6               | STORAGE           | IBM              | STORWISE V5030          | 781E707                                      | Q43     | ADMIN
 EV5030-2MGMT                  | STORAGE           | IBM              | STORWISE V5030          | 781E803                                      | Q43     | ADMIN
 EV5030-2_10                   | STORAGE           | IBM              | STORWISE V5030          | 781E300                                      | Q43     | ADMIN
 EV5030-NUCLOUD-1MGMT          | STORAGE           | IBM              | STORWISE V5030          | 781BW72                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL1          | STORAGE           | IBM              | STORWISE V5030          | 781BP53                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL2          | STORAGE           | IBM              | STORWISE V5030          | 781BR46                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL3          | STORAGE           | IBM              | STORWISE V5030          | 781BP99                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL4          | STORAGE           | IBM              | STORWISE V5030          | 781BR11                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL5          | STORAGE           | IBM              | STORWISE V5030          | 781BR43                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL6          | STORAGE           | IBM              | STORWISE V5030          | 781BP94                                      | O43     | ADMIN
 EV5030-NUCLOUD-ENCL7          | STORAGE           | IBM              | STORWISE V5030          | 781BP94                                      | O43     | ADMIN
 EVISILON01-IB-1               | STORAGE           | MELLANOX         | IS 5022 DEVICE          | MT1127X00447                                 | P43     | ADMIN
 EVISILON01-IB-2               | STORAGE           | MELLANOX         | IS 5022 DEVICE          | MT1127X00428                                 | P43     | ADMIN
 EVISILON02-IB-1               | STORAGE           | MELLANOX         | IS 5022 DEVICE          | MT1236X02134                                 | Q39     | ADMIN
 EVISILON02-IB-2               | STORAGE           | MELLANOX         | IS 5022 DEVICE          | M71234X02260                                 | Q39     | ADMIN
 EVISILON03-IB-1 (36)          | STORAGE           | MELLANOX         | IS 5022 DEVICE          |                                              | T43     | ADMIN
 EVISILON03-IB-2 (36)          | STORAGE           | MELLANOX         | IS 5022 DEVICE          |                                              | T43     | ADMIN
 BACKUP2 MASTER                | STORAGE           | PROE HARDWARE    | PRO472                  |                                              | U39     | ADMIN
 BACKUP2 SLAVE                 | STORAGE           | PROE HARDWARE    | PRO490                  | AAG2915005018                                | U39     | ADMIN
(393 rows)

