name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
0214.01_DS3512-1,STORAGE,IBM,SYSTEM STORAGE DS3512,13D1FXM,,,PRODUCTION,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 08:58:29-04,,,CH 8602 236,0214.01
0214.01 KVM,KVM,IBM,7316-TF3 (MONITOR/KEYBOARD TRAY),,,,INFRASTRUCTURE,INFRASTRUCTURE,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 08:59:28-04,,,CH 8602 236,0214.01
0214.02_25_BLACKBOX,NETWORK APPLIANCES,BLACKBOX,SW540A-R3,,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:02:11-04,,,CH 8602 236,0214.02
0214.02_31_ESW-1,NETWORK SWITCH,ARISTA NETWORKS,DCS-7124S,ASASY-00001-06 BO,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:02:35-04,,,CH 8602 236,0214.02
0214.02_33_ESW_2,NETWORK APPLIANCES,ALLIED TELESIS,AT-8000GS/24,A03968G083100205C,,,EDGE NETWORK,,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:03:10-04,,,CH 8602 236,0214.02
0214.02_38_FW_1,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SSG 5,0162112012001277,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:03:39-04,,,CH 8602 236,0214.02
0214.03_22_SWITCH-1,NETWORK SWITCH,ALLIED TELESIS,AT-8000GS/24,A03968G082800463C,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:04:03-04,,,CH 8602 236,0214.03
0214.03_23_SWITCH-2,NETWORK SWITCH,D-LINK,DES-3526,,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:04:36-04,,,CH 8602 236,0214.03
0214.04_31_RTR_1,NETWORK ROUTER,CISCO SYSTEMS,ROUTER 1811,FTX1046Z1PC,,,EDGE NETWORK,,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:05:12-04,,,CH 8602 236,0214.04
0214.04_FUSEBOX,ELECTRICAL DEVICE,TRIMM,727 SERIES,,,,N/A,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:05:47-04,,,CH 8602 236,0214.04
0214.07_37_FMG,OTHER,ADC,FMG,,,,RESEARCH,EQUIPMENT,ICAIR,ICAIR - UIUC,JAKE SALLEE,2018-05-10 09:35:51-04,,,CH 8602 236,0214.07
0214.07_CONSOLEMGR,KVM,OPENGEAR,CM4000,,,,RESEARCH,EQUIPMENT,ICAIR,ICAIR - UIUC,JAKE SALLEE,2018-05-10 09:36:21-04,,,CH 8602 236,0214.07
0214.07_MOVAZ,NETWORK APPLIANCES,MOVAZ,100-10037 L1,,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - UIUC,JAKE SALLEE,2018-05-10 09:36:49-04,,,CH 8602 236,0214.07
0215.03_ADVA_0,NETWORK ROUTER,ADVA,FSP 3000 R7,FA71131502587,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - MILR,JAKE SALLEE,2018-05-10 08:57:11-04,,,CH 8602 236,0215.03
0215.05_39_RTR,NETWORK ROUTER,CISCO SYSTEMS,ROUTER 1921,FTX163985GN,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - GLORAID,JAKE SALLEE,2018-05-10 08:27:10-04,,,CH 8602 236,0215.05
0215.05_42_KVM,KVM,AVOCENT,AUTOVIEW 1515 KVM SWITCH,,,,PRODUCTION,EQUIPMENT,ICAIR,ICAIR - GLORAID,JAKE SALLEE,2018-05-10 08:28:11-04,,,CH 8602 236,0215.05
0215.36 KVM,CONNECTION DEVICE,AVOCENT,CCM 1650,020093042,,,PRODUCTION,,SO,NUIT-CI-PIPS-INFRASTRUCTURE,,2020-05-27 13:40:54-04,,,CHDC,0215.36
03.01.48.PORT.D-LINK.GIGABIT-01,NETWORK SWITCH,D-LINK,DGS-1248T,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-14 19:56:13-04,,,EV TECH LG87,03
03.02.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-14 19:55:57-04,,,EV TECH LG87,03
03.03.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-14 19:55:30-04,,,EV TECH LG87,03
04.01.48 PORT GIG SWITCH-01,NETWORK SWITCH,D-LINK,DGS-1248T,,,,,,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2018-05-15 12:57:08-04,,,EV TECH LG87,04
04.02.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-14 19:57:18-04,,,EV TECH LG87,04
04.03.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-14 19:57:03-04,,,EV TECH LG87,04
05.01.48 PORT GIG SWITCH-01,NETWORK SWITCH,D-LINK,DGS-1248T,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-18 18:34:24-04,,,EV TECH LG87,05
05.02.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-17 17:34:45-04,,,EV TECH LG87,05
05.03.MICROWAY.INFINIBAND-01,,MICOWAY,FASTREE 24,,,,,COLOCATION,SO,MCC MATERIALS SCIENCE AND ENGINEERING - WOLVERTON,SCOTT KIRKLIN; WILLIAM ART COUNTS; ALEXANDER THOMPSON,2017-03-17 17:35:46-04,,,EV TECH LG87,05
09.27.4RU DISK,STORAGE,CORAID,4 RU COR,420900000091,,,RESEARCH,,SO,MCC CIVIL AND ENVIRONMENTAL ENGINEERING - ANDRADE,DR. XUXIN TU  JAY JOSEPH OSWALD  PHILIP ARTHUR MOSELEY  ADRIAN M,2018-05-15 09:14:02-04,,,EV TECH LG87,09
09.40.GBE-01,NETWORK SWITCH,NETGEAR,GS748T,1PK1763H00061,,,,,CONTACT,,,2017-03-18 18:21:31-04,,,EV TECH LG87,09
0G0101 23 SHELF,OTHER,EXXACT,SHELF 1 RU,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 11:21:49-04,,,EV LEV G156,0G.01.01
0G_01_01-25 SERVER,SERVER,DELL,POWEREDGE 2950,3PT4HH1,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2018-05-08 12:44:47-04,,,EV LEV G156,0G.01.01
0G0101 27 SHELF,OTHER,EXXACT,SHELF 1 RU,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 11:15:25-04,,,EV LEV G156,0G.01.01
0G0101 28,SERVER,DELL,POWEREDGE R320,67S28Y1,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2018-06-14 11:25:39-04,,,EV LEV G156,0G.01.01
0G-0101 30 PALOALTO,,PALOALTO NETWORKS,M-100,,,,,,,,,2014-10-09 10:58:39-04,,,EV LEV G156,0G.01.01
0G_01_02-01 SHELF,CABINET SHELF,EXXACT,SHELF 1 RU,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-11-20 09:52:21-05,,,EV LEV G156,0G.01.02
0G_01_02-15 SERVER,SERVER,ZT SYSTEMS,1 RU,AKL214985,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2014-11-11 15:06:32-05,,,EV LEV G156,0G.01.02
0G_01_02-16 SERVER,SERVER,ZT SYSTEMS,1 RU,AKL214977,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2014-11-11 15:07:08-05,,,EV LEV G156,0G.01.02
0G_01_02-17 SERVER,SERVER,ZT SYSTEMS,1 RU,AKL2149879,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2014-11-11 15:07:39-05,,,EV LEV G156,0G.01.02
0G_01_02-23 SHELF,CABINET SHELF,EXXACT,SHELF 2 RU,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-11-20 10:13:41-05,,,EV LEV G156,0G.01.02
0G01.02 HP SWITCH,,HP,PROCURVE 3400CL-24G,,,,,,,,,2014-04-18 08:55:42-04,,,EV LEV G156,0G.01.02
0G01_02 PHASE X ATS,ELECTRICAL DEVICE,APC,AP5015,,,,INFRASTRUCTURE,,SO,NUIT-CI-TNS-DATANETWORK,,2017-08-25 10:55:02-04,,,EV LEV G156,0G.01.02
0G01_02 PHASE Y ATS,ELECTRICAL DEVICE,APC,AP5015,,,,INFRASTRUCTURE,,SO,NUIT-CI-TNS-DATANETWORK,,2014-11-20 14:11:54-05,,,EV LEV G156,0G.01.02
0G_01_03-01 SHELF,CABINET SHELF,EXXACT,SHELF 1 RU,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-11-20 10:13:05-05,,,EV LEV G156,0G.01.03
0G_01_03_20 STORAGE,STORAGE,DELL,POWERVAULT MD1000-SB,5CNHNC1,,,OUT OF SERVICE,,OUT SERV,OUT OF SERVICE,,2018-05-08 12:43:19-04,,,EV LEV G156,0G.01.03
0G0103 23 SHELF,OTHER,EXXACT,SHELF 1 RU,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 12:27:46-04,,,EV LEV G156,0G.01.03
0G01_03 PHASE X ATS,ELECTRICAL DEVICE,APC,AP5015,,,,INFRASTRUCTURE,,SO,NUIT-CI-TNS-DATANETWORK,,2014-11-20 14:12:00-05,,,EV LEV G156,0G.01.03
0G01_03 PHASE Y ATS,ELECTRICAL DEVICE,APC,AP5015,,,,INFRASTRUCTURE,,SO,NUIT-CI-TNS-DATANETWORK,,2014-11-20 14:12:04-05,,,EV LEV G156,0G.01.03
0G_01_05 DELL SERVER,SERVER,DELL,POWEREDGE R310,H9V6CZ1,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2018-05-08 12:41:18-04,,,EV LEV G156,0G.01.05
0G.01.08.30,NETWORK APPLIANCES,ARUBA NETWORKS,3200,AC0001069,,,WIRELESS CONTROLLER,,NT,NUIT-CI-TNS-DATANETWORK,,2014-07-09 13:21:59-04,,,EV LEV G156,0G.01.08
0G.02.03 DAS (UNLABELLED),DAS,MOBILE ACCESS,330 REMOTE UNIT,,,,,,,,,2014-03-26 22:46:35-04,,,EV LEV G156,0G.02.03
0G_02_07-23 SHELF,CABINET SHELF,EXXACT,SHELF 1 RU,,,,INFRASTRUCTURE,INFRASTRUCTURE,SO,NUIT-CI-SO-SERVICEOPERATION,,2014-11-20 10:14:11-05,,,EV LEV G156,0G.02.07
0G02.08 23 SHELF,,EXXACT,2 NETWORK RUS,,,,,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 13:59:03-04,,,EV LEV G156,0G.02.08
0G02.08 30 DEV,NETWORK APPLIANCES,ACMEPACKET,NET-NET 3820,151339037935,,,ACCESS NETWORK,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 13:56:08-04,,,EV LEV G156,0G.02.08
0G_02_09-07,SERVER,INTERALIA,27930,,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2014-11-21 09:08:17-05,,,EV LEV G156,0G.02.09
0G_02_09 10 DEV,SERVER,CLASS CONNECTION,VE 6001,004063F2EB8C,,,PRODUCTION,,SO,NUIT-CI-TNS-DATANETWORK,,2014-11-11 15:01:43-05,,,EV LEV G156,0G.02.09
0G_02_09 11 DEV,SERVER,CLASS CONNECTION,VE6010,,,,PRODUCTION,,SO,NUIT-CI-TNS-DATANETWORK,,2017-08-25 10:55:09-04,,,EV LEV G156,0G.02.09
0G.02.09-18,NETWORK GATEWAY,CISCO SYSTEMS,GW 3241,SM0044D5,,,DISTRIBUTION NETWORK,,NT,NUIT-CI-TNS-DATANETWORK,,2014-06-05 10:46:13-04,,,EV LEV G156,0G.02.09
0G_02_09-20 SERVER,SERVER APPLIANCES,RADVISION,VIAIP400,,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2014-11-20 10:14:59-05,,,EV LEV G156,0G.02.09
0G_02_09_31,VOIP,POLLCAT,PBX DATA RECORDER,70214521,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-VOICENETWORK,,2014-11-20 10:16:09-05,,,EV LEV G156,0G.02.09
0G02.09 36 DEV,,MRV,IN-REACH LX-4008S,080087-8097DB,,,,,SO,NUIT-CI-TNS-DATANETWORK,,2014-10-09 13:21:11-04,,,EV LEV G156,0G.02.09
0G.02.09.39,NETWORK ROUTER,CISCO SYSTEMS,ROUTER 2511,,,,ROUTER,,NT,NUIT-CI-TNS-DATANETWORK,,2014-04-18 08:58:40-04,,,EV LEV G156,0G.02.09
0G_02_09_42,ELECTRICAL DEVICE,SENTURY,48 VDC POWER MANAGEMENT,AA08C012870,,,INFRASTRUCTURE,INFRASTRUCTURE,NT,NUIT-CI-TNS-DATANETWORK,,2014-11-20 10:17:04-05,,,EV LEV G156,0G.02.09
0G02.09 SHELF,UNKNOWN,EXXACT,SHELF 2 RU,,,,N/A,,SO,NUIT-CI-TNS-DATANETWORK,,2017-08-25 10:55:17-04,,,EV LEV G156,0G.02.09
10.40.48-PORT.NET.SWITCH-01,NETWORK SWITCH,NETGEAR,GS748TS,1M0585340071,,,,,CONTACT,,,2017-03-18 18:22:00-04,,,EV TECH LG87,10
11.34 SERVER,SERVER,THINKMATE,1U SERVERTM,,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-22 19:16:51-04,,,EV TECH LG87,11
11.35 SERVER,SERVER,THINKMATE,1U SERVERTM,,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-22 19:16:27-04,,,EV TECH LG87,11
11.36 SERVER,SERVER,THINKMATE,1U SERVERTM,,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-22 19:16:03-04,,,EV TECH LG87,11
11.37 SERVER,SERVER,THINKMATE,1U SERVERTM,974374,,,RESEARCH,COLOCATION,SO,MCC BIOMEDICAL ENGINEERING - SZLEIFER,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-22 19:15:35-04,,,EV TECH LG87,11
11.40.48-PORT.NET.SWITCH-01,NETWORK SWITCH,NETGEAR,GS748TS,1M05853300070,,,,COLOCATION,CONTACT,,RIKKERT NAP  MARCELO A. CARIGNANO  SUNG HYUN PARK,2017-03-18 18:22:30-04,,,EV TECH LG87,11
12.38.NET.SWITCH-01,NETWORK SWITCH,NETGEAR,GS716T,,,,,COLOCATION,CONTACT,MCC ENGINEERING SCIENCES AND APPLIED MATHEMATICS - BROCKMANN,SEAN CORNELIUS,2018-05-15 10:27:54-04,,,EV TECH LG87,12
12.39.NET.SWITCH-01,NETWORK SWITCH,NETGEAR,GS724T,,,,,COLOCATION,CONTACT,MCC ENGINEERING SCIENCES AND APPLIED MATHEMATICS - BROCKMANN,SEAN CORNELIUS,2018-05-15 10:28:20-04,,,EV TECH LG87,12
13.14.NET.SWITCH-01,NETWORK SWITCH,CISCO SYSTEMS,SGE2000 24-PORT,,,,,COLOCATION,SO,WCAS PHYSICS AND ASTRONOMY - ELLIS,PAUL DALACH,2017-03-22 19:27:56-04,,,EV TECH LG87,13
13.16.NET.SWITCH-01,NETWORK SWITCH,D-LINK,1GS-1008TL,,,,,COLOCATION,SO,WCAS PHYSICS AND ASTRONOMY - ELLIS,PAUL DALACH,2017-03-18 18:35:00-04,,,EV TECH LG87,13
13.18.CEL,SERVER,CELEROS,4 RU CEL,S6F16TU14210245,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2018-10-30 12:24:10-04,,,EV TECH LG87,13
13.22.KRG-ESX4,SERVER,EXXACT,5 RUS,,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2017-03-18 18:37:00-04,,,EV TECH LG87,13
13.27.MASC01-NODE10.0.1.3,SERVER,EXXACT,1 RUS,,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2017-03-18 18:37:25-04,,,EV TECH LG87,13
13.28.DELL,SERVER,DELL,POWEREDGE R805,2WYVGM1,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2018-10-30 12:22:15-04,,,EV TECH LG87,13
13.32.KRG-ESX2,SERVER,SILICON MECHANICS,2 RU SILMECH,SM52199,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2018-10-30 12:25:19-04,,,EV TECH LG87,13
13.32.KRG-ESX3,SERVER,SILICON MECHANICS,2 RU SILMECH,SM46801,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2018-10-30 12:26:00-04,,,EV TECH LG87,13
13.34.COMPUTE0-1.PINKETT,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2017-03-23 12:22:09-04,,,EV TECH LG87,13
13.36.COMPUTE0-0.PINKETT,SERVER,SUPERMICRO,2 RU SM,,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2017-03-23 12:22:43-04,,,EV TECH LG87,13
13.38.COMPUTE0-7.PINKETT,SERVER,SILICON MECHANICS,1 RU SILMECH,,,,RESEARCH,,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2017-03-22 19:18:33-04,,,EV TECH LG87,13
13.39.COMPUTE0-5.PINKETT,SERVER,SILICON MECHANICS,1 RU SILMECH,,,,RESEARCH,COLOCATION,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2017-03-22 19:18:12-04,,,EV TECH LG87,13
13.40.NET.SWITCH-01,,HP,PROCURVE 2510G-48,,,,,COLOCATION,SO,WCAS MOLECULAR BIOSCIENCES - PINKETT,UNKNOWN,2017-03-22 19:24:02-04,,,EV TECH LG87,13
13.40.PINKETT,SERVER,THINKMATE,1U SERVERTM,,,,RESEARCH,,CONTACT,WCAS MOLECULAR BIOSCIENCES - PINKETT,,2017-03-22 19:15:01-04,,,EV TECH LG87,13
14.15-52PORT-SWITCH-01,,NETGEAR,GS752TXS,,,,,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-18 18:23:54-04,,,EV TECH LG87,14
14.16.NET DEVICE-01,STORAGE,MELLANOX,IS 5022 DEVICE,,,,RESEARCH,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-18 18:28:43-04,,,EV TECH LG87,14
14.30-52PORT-SWITCH-02,,NETGEAR,GS752TXS,,,,,,SO,WCAS CHEMISTRY - SCHATZ,,2017-03-18 18:24:25-04,,,EV TECH LG87,14
14.31.NET DEVICE-02,NODE SWITCH,MELLANOX,IS 5022 DEVICE,,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2018-10-30 10:55:40-04,,,EV TECH LG87,14
14.40-48PORT-SWITCH-01,NETWORK SWITCH,NETGEAR,GS748TS,,,,,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-18 18:24:50-04,,,EV TECH LG87,14
15.11.NET-DEVICE-01,CONNECTION DEVICE,MELLANOX,IS 5022 DEVICE,,,,RESEARCH,,SO,WCAS CHEMISTRY - SCHATZ,,2017-03-18 18:30:40-04,,,EV TECH LG87,15
15.40.NET-SWITCH-2-01,NETWORK SWITCH,NETGEAR,GS748TS,,,,,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2018-10-30 10:01:12-04,,,EV TECH LG87,15
16.30.NET-SWITCH-01,NETWORK SWITCH,NETGEAR,GS752TXS,,,,,COLOCATION,CONTACT,WCAS CHEMISTRY - SCHATZ,JOSEPH LAKOVITS  MARTIN G BLABER,2017-03-18 18:27:02-04,,,EV TECH LG87,16
16D43W2,BLADE SERVER,DELL,DSS7500,16D43W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-11-21 15:20:34-05,,,EVDC,F39
16F33W2,BLADE SERVER,DELL,DSS7500,16F33W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-11-21 15:24:28-05,,,EVDC,F39
1K393W2,BLADE SERVER,DELL,DSS7500,1K393W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-11-21 15:22:43-05,,,EVDC,F39
1K693W2,BLADE SERVER,DELL,DSS7500,1K693W2,,,PRODUCTION,,PIPS,NUIT-CI-PIPS-INFRASTRUCTURE,,2019-11-21 15:24:03-05,,,EVDC,F39
1-POWERSWITCH S5148F,NETWORK SWITCH,DELL,POWERSWITCH S5148F-ON,F6K00Q2,,,,,,,,2020-05-27 13:29:42-04,,,CHDC,0216.39
200.04 CIENA 1,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 22:47:59-04,,,CH 8602 241,0202.04
200.07 PANEL 1,CABINET SHELF,TRIPP LITE,B020-008-17,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-22 22:04:59-04,,,CH 8602 241,0200.07
200.09 CISCO SWITCH 1,NETWORK SWITCH,CISCO SYSTEMS,ME 3400E,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 21:32:15-04,,,CH 8602 241,0200.09
200.09 CISCO SWITCH 2,NETWORK SWITCH,CISCO SYSTEMS,CATALYST 3550-24,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 21:35:18-04,,,CH 8602 241,0200.09
200.09 FUJITSU 1,CONNECTION DEVICE,FUJITSU,FLM 150 ADM,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-22 21:36:53-04,,,CH 8602 241,0200.09
200.10 JDS PANEL 1,CONNECTION DEVICE,JDS UNIPHASE,DA-3200,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-22 21:10:54-04,,,CH 8602 241,0200.10
200.10 JDS PANEL 2,CONNECTION DEVICE,JDS UNIPHASE,DA-3200,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-22 21:11:46-04,,,CH 8602 241,0200.10
201.01 CIENA 1,NETWORK APPLIANCES,CIENA,ACTIVEDGE 3930,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 03:08:26-04,,,CH 8602 241,201.01
201.01 CIENA 2,NETWORK APPLIANCES,CIENA,6500-02,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 03:12:59-04,,,CH 8602 241,201.01
201.04 FLASHWAVE SHELF 1,NETWORK APPLIANCES,FUJITSU,FLASHWAVE 4020,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 02:13:36-04,,,CH 8602 241,0201.04
201.04 FLASHWAVE SHELF 2,NETWORK APPLIANCES,FUJITSU,FLASHWAVE 4020,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 02:15:22-04,,,CH 8602 241,0201.04
201.04 FLASHWAVE SHELF 3,NETWORK APPLIANCES,FUJITSU,FLASHWAVE 4020,,,,CORE NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 02:20:52-04,,,CH 8602 241,0201.04
201.05 FIBER PANEL SHELF 3,CABLE MANAGEMENT,ADC,FMG,,,,PRODUCTION,,ICAIR,ICAIR - ESNET,,2020-04-22 02:32:50-04,,,CH 8602 241,0201.05
202.02 JUNIPER SW 2,NETWORK APPLIANCES,JUNIPER NETWORKS,MX204,N/A,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-14 00:11:17-04,,,CH 8602 243,212.02
202.05 CISCO 1,NETWORK SWITCH,CISCO SYSTEMS,CATALYST 2600,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 23:04:48-04,,,CH 8602 241,0202.05
202.05 MAGUNM DS880 HUB 1,CONNECTION DEVICE,MAGMA,4 SLOT PCI EXPANSION,,,,ICAIR/STARLIGHT,,ICAIR,ICAIR - ESNET,,2020-04-22 23:06:43-04,,,CH 8602 241,0202.05
202.06 CIENA 1,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 23:11:22-04,,,CH 8602 241,0202.06
202.06 CIENA 2,NETWORK APPLIANCES,CIENA,5142,,,,DISTRIBUTION NETWORK,,,ICAIR - ESNET,,2020-04-22 23:48:01-04,,,CH 8602 241,0202.06
202.06 NORTEL 1,NETWORK APPLIANCES,NORTEL NETWORKS,OPTERA METRO 5200,,,,DISTRIBUTION NETWORK,,ICAIR,ICAIR - ESNET,,2020-04-22 23:13:00-04,,,CH 8602 241,0202.06
2020-IDF-V48-FW-1-FM,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SRX210,,,,ACCESS NETWORK,,SO,NUIT-TSS-SUPPORTSERVICES,,2017-12-12 16:47:43-05,,,EVDC,V48
