name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
H62.11 NODE 0-10,SERVER,DELL,POWEREDGE 1950,GFV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:43:00-04,,,EVDC,H62
H62.12 NODE 0-11,SERVER,DELL,POWEREDGE 1950,HFV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:43:04-04,,,EVDC,H62
H62.13 NODE 0-12,SERVER,DELL,POWEREDGE 1950,BN60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:44-04,,,EVDC,H62
H62.14 NODE 0-13,SERVER,DELL,POWEREDGE 1950,JM60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:43:09-04,,,EVDC,H62
H62.15 NODE 0-14,SERVER,DELL,POWEREDGE 1950,6RD1DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:28-04,,,EVDC,H62
H62.16 NODE 0-15,SERVER,DELL,POWEREDGE 1950,BRD1DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:45-04,,,EVDC,H62
H62.17 NODE 0-16,SERVER,DELL,POWEREDGE 1950,6FV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:27-04,,,EVDC,H62
H62.18 NODE 0-17,SERVER,DELL,POWEREDGE 1950,7FV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:33-04,,,EVDC,H62
H62.19 NODE 0-18,SERVER,DELL,POWEREDGE 1950,DFV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:50-04,,,EVDC,H62
H62.20 NODE 0-19,SERVER,DELL,POWEREDGE 1950,BFV3DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:43-04,,,EVDC,H62
H62.21 NODE 0-20,SERVER,DELL,POWEREDGE 1950,6N60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:28-04,,,EVDC,H62
H62.22 NODE 0-21,SERVER,DELL,POWEREDGE 1950,SN60DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2017-01-23 07:00:38-05,,,EVDC,H62
H62.23 NODE 0-22,SERVER,DELL,POWEREDGE 1950,FRD1DD1,,,RESEARCH,COLOCATION,SO,WCAS CHEMISTRY - SCHATZ,,2018-05-08 12:42:57-04,,,EVDC,H62
