            device_name             | shipped_date |  end_date  | service_tag | dct_serial | dct_make |     dct_model     | dct_type |           dct_name            
                                    |              |            |             | 3FWC5X1    | DELL     | POWEREDGE R720XD  | SERVER   | EVCSPSFAST2
 EVCSPSSQL1-IDRAC.ITCS.PRIVATE      | 2/21/2012    | 2/22/2019  | F1BFJS1     | F1BFJS1    | DELL     | POWEREDGE R710    | SERVER   | EVCSPSSQL1
 EVCSPSSQL2-IDRAC.ITCS.PRIVATE      | 2/21/2012    | 2/22/2019  | F1BCJS1     | F1BCJS1    | DELL     | POWEREDGE R710    | SERVER   | EVCSPSSQL2
 EVCSPMBX2-BKUP.ITCS.PRIVATE        | 12/22/2010   | 12/22/2017 | JHPMMN1     | JHPMMN1    | DELL     | POWEREDGE R710    | SERVER   | EVDSPDPM04
 EVESX15-IDRAC.ITCS.PRIVATE         | 5/8/2013     | 5/8/2017   | 9SBJDX1     | 9SBJDX1    | DELL     | POWEREDGE R620    | SERVER   | EVESX15
 EVESX16-IDRAC.ITCS.PRIVATE         | 5/8/2013     | 5/8/2017   | 9S9JDX1     | 9S9JDX1    | DELL     | POWEREDGE R620    | SERVER   | EVESX16
 EVESX17-IDRAC.ITCS.PRIVATE         | 5/8/2013     | 5/8/2017   | 9S8JDX1     | 9S8JDX1    | DELL     | POWEREDGE R620    | SERVER   | EVESX17
 EVESX18-IDRAC.ITCS.PRIVATE         | 5/8/2013     | 5/8/2017   | 9S8HDX1     | 9S8HDX1    | DELL     | POWEREDGE R620    | SERVER   | EVESX18_CI
 EVESX43-IDRAC.ITCS.PRIVATE         | 6/20/2014    | 6/21/2019  | 2KWMV12     | 2KWMV12    | DELL     | POWEREDGE R620    | SERVER   | EVESX43
 EVESX43-IDRAC.ITCS.PRIVATE         | 6/20/2014    | 6/21/2019  | 2KWMV12     | 2KWMV12    | DELL     | POWEREDGE R620    | SERVER   | EVESX43
 EVESX44-IDRAC.ITCS.PRIVATE         | 6/20/2014    | 6/21/2019  | 2KXJV12     | 2KXJV12    | DELL     | POWEREDGE R620    | SERVER   | EVESX44
 EVESX44-IDRAC.ITCS.PRIVATE         | 6/20/2014    | 6/21/2019  | 2KXJV12     | 2KXJV12    | DELL     | POWEREDGE R620    | SERVER   | EVESX44
 EVESX70-IDRAC.ITCS.PRIVATE         | 4/24/2015    | 4/24/2020  | 7YZVC42     | 7YZVC42    | DELL     | POWEREDGE R630    | SERVER   | EVESX70
 EVESX71-IDRAC.ITCS.PRIVATE         | 4/24/2015    | 4/24/2020  | 95FZC42     | 95FZC42    | DELL     | POWEREDGE R630    | SERVER   | EVESX71
 EVESX72-IDRAC.ITCS.PRIVATE         | 4/24/2015    | 4/24/2020  | 7Z02D42     | 7Z02D42    | DELL     | POWEREDGE R630    | SERVER   | EVESX72
 EVESXCLOUD48-IDRAC.ITCS.PRIVATE    | 4/24/2015    | 4/24/2020  | 7YZYC42     | 7YZYC42    | DELL     | POWEREDGE R630    | SERVER   | EVESX73
 EVESX74-IDRAC.ITCS.PRIVATE         | 8/14/2015    | 8/14/2020  | CQ60V52     | CQ60V52    | DELL     | POWEREDGE R630    | SERVER   | EVESX74
 EVESX75-IDRAC.ITCS.PRIVATE         | 8/14/2015    | 8/14/2020  | CQ61V52     | CQ61V52    | DELL     | POWEREDGE R630    | SERVER   | EVESX75
 EVESX76-IDRAC.ITCS.PRIVATE         | 8/14/2015    | 8/14/2020  | CQ5VT52     | CQ5VT52    | DELL     | POWEREDGE R630    | SERVER   | EVESX76
 EVESX77-IDRAC.ITCS.PRIVATE         | 8/14/2015    | 8/14/2020  | CQ5YT52     | CQ5YT52    | DELL     | POWEREDGE R630    | SERVER   | EVESX77
 EVESX82-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXJHB2     | HHXJHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX82
 EVESX83-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXWHB2     | HHXWHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX83
 EVESX84-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXGHB2     | HHXGHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX84
 EVESX85-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXKHB2     | HHXKHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX85
 EVESX86-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXXHB2     | HHXXHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX86
 EVESX87-IDRAC.ITCS.PRIVATE         | 6/5/2016     | 6/5/2021   | HHXLHB2     | HHXLHB2    | DELL     | POWEREDGE R630    | SERVER   | EVESX87
 EVESXC01N01-Q39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLQCJH2     | HLQCJH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N01
 EVESXC01N02-Q39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLQXHH2     | HLQXHH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N02
 EVESXC01N03-Q39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLR0JH2     | HLR0JH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N03
 EVESXC01N04-Q39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/26/2022  | HLQBJH2     | HLQBJH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N04
 EVESXC01N05-T39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLQYHH2     | HLQYHH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N05
 EVESXC01N06-T39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLQWHH2     | HLQWHH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N06
 EVESXC01N07-T39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/25/2021  | HLQZHH2     | HLQZHH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N07
 EVESXC01N08-T39-IDRAC.ITCS.PRIVATE | 5/24/2017    | 5/26/2022  | HLQDJH2     | HLQDJH2    | DELL     | POWEREDGE R620    | SERVER   | EVESXC01N08
 EVESXC02N01-U39-IDRAC.ITCS.PRIVATE | 5/25/2018    | 5/25/2023  | 5Y0XQP2     | 5Y0XQP2    | DELL     | POWEREDGE R640    | SERVER   | EVESXC02N01-U39
 EVESXC02N02-U39-IDRAC.ITCS.PRIVATE | 5/25/2018    | 5/25/2023  | 5Y0WQP2     | 5Y0WQP2    | DELL     | POWEREDGE R640    | SERVER   | EVESXC02N02-U39
                                    |              |            |             | 3CP9H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC0307N-P39
 EVESXC03N01-V34-IDRAC.ITCS.PRIVATE | 12/28/2019   | 12/29/2024 | 38W4H13     | 38W4H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N01-V34
 EVESXC03N02-V34-IDRAC.ITCS.PRIVATE | 12/28/2019   | 12/29/2024 | 38V9H13     | 38V9H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N02-V34
 EVESXC03N03-V34-IDRAC.ITCS.PRIVATE | 12/28/2019   | 12/29/2024 | 38W3H13     | 38W3H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N03-V34
                                    |              |            |             | 3CQ4H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N04-P39
                                    |              |            |             | 2CFYG13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N05-P39
                                    |              |            |             | 3CQ6H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC03N06-P39
                                    |              |            |             | 3CQ8H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N01-V34
                                    |              |            |             | 3CQ9H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N02-V34
                                    |              |            |             | 3CQ7H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N03-V34
                                    |              |            |             | 3CQ3H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N04-V34
                                    |              |            |             | 3CR3H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N05-Q34
                                    |              |            |             | 3CP8H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N06-Q34
                                    |              |            |             | 3CQ5H13    | DELL     | POWEREDGE R640    | SERVER   | EVESXC04N07-Q34
 EVESXCLOUD31-IDRAC.ITCS.PRIVATE    | 6/18/2015    | 6/18/2020  | H17HR52     | H17HR52    | DELL     | POWEREDGE R630    | SERVER   | EVESXCLOUD31
