                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
 CHCSPMBX02-DAS02C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CFTGX1                                                        | 0215.30
 CHCSPMBX03-DAS03A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDTGX1                                                        | 0215.30
 CHCSPMBX03-DAS03AA                   | STORAGE            | DELL              | POWEREDGE R710                        | 3CDIGX1                                                        | 0215.29
 CHCSPMBX03-DAS03B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDWGX1                                                        | 0215.29
 CHCSPMBX03-DAS03C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CHWGX1                                                        | 0215.29
 CHCSPMBX04-DAS04A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CGTGX1                                                        | 0215.29
 CHCSPMBX04-DAS04B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CDVGX1                                                        | 0215.29
 CHCSPMBX04-DAS04C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 3CFVGX1                                                        | 0215.29
 CHCSPMBX05-DAS05A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFLV12                                                        | 0215.29
 CHCSPMBX05-DAS05B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFKV12                                                        | 0215.29
 CHCSPMBX05-DAS05C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGKV12                                                        | 0215.29
 CHCSPMBX06-DAS06A                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BFMV12                                                        | 0215.30
 CHCSPMBX06-DAS06B                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGLV12                                                        | 0215.30
 CHCSPMBX06-DAS06C                    | STORAGE            | DELL              | POWERVAULT MD1200                     | 4BGMV12                                                        | 0215.30
 CHSOCFILE02                          | STORAGE            | DELL              | POWEREDGE R720XD                      | 7RWZDZ1                                                        | 0215.35
 CHSPLIDX01                           | STORAGE            | DELL              | POWEREDGE R630                        | BYPLS52                                                        | 0215.24
 CHSPLIDX01-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3D5T52                                                        | 0215.24
 CHSPLIDX01-DAS01^^6966               | STORAGE            | DELL              | POWERVAULT MD1220                     |                                                                | 
 CHSPLIDX01-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DCT52                                                        | 0215.24
 CHSPLIDX02-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3D7T52                                                        | 0215.24
 CHSPLIDX02-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DFT52                                                        | 0215.24
 CHSPLIDX03-DAS01                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DBT52                                                        | 0215.24
 CHSPLIDX03-DAS02                     | STORAGE            | DELL              | POWERVAULT MD1220                     | J3DGT52                                                        | 0215.24
 CHSPLIDX06                           | STORAGE            | DELL              | POWEREDGE R640                        | HM09XQ2                                                        | 0215.26
 CHSPLIDX06-DAS01                     | STORAGE            | DELL              | MD1400                                | HNQ3XQ2                                                        | 0215.26
 CHSPLIDX06-DAS01^^6433               | STORAGE            | DELL              | MD1400                                |                                                                | 
 CHSPLIDX06-DAS02                     | STORAGE            | DELL              | MD1400                                | H7R5XQ2                                                        | 0215.26
 CHSPLIDX07                           | STORAGE            | DELL              | POWEREDGE R640                        | HM0BXQ2                                                        | 0215.26
 CHSPLIDX07-DAS01                     | STORAGE            | DELL              | MD1400                                | HNQ4XQ2                                                        | 0215.26
 CHSPLIDX07-DAS02                     | STORAGE            | DELL              | MD1400                                | H7R6XQ2                                                        | 0215.26
 CHSPLUNKDISK04                       | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CTOQD2                                                        | 0215.25
 CHSPLUNKDISK04-DS2                   | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSXPD2                                                        | 0215.25
 CHSPLUNKDISK05                       | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSZPD2                                                        | 0215.25
 CHSPLUNKDISK05-DS2                   | STORAGE            | DELL              | POWERVAULT MD1420                     | 6CSTPD2                                                        | 0215.25
 CHVMBKUP01-DAS                       | STORAGE            | DELL              | POWERVAULT MD1200                     | 82HNKS1                                                        | 0215.29
 CHVMBKUP01A-DAS                      | STORAGE            | DELL              | MD1400                                | 98H0JK2                                                        | 0215.26
 KIS STORGE 3                         | STORAGE            | DELL              | POWERVAULT MD1000-SB                  |                                                                | 0215.23
 KIS_DR_MD1400                        | STORAGE            | DELL              | MD1400                                | CZMBND2                                                        | 0215.23
 KIS_DR_MD1400^^6787                  | STORAGE            | DELL              | MD1400                                |                                                                | 
 CHISILON01-N1                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0056                                              | 0215.38
 CHISILON01-N2                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0053                                              | 0215.38
 CHISILON01-N3                        | STORAGE            | EMC               | ISILON X400                           | SN400-201326-0051                                              | 0215.38
 CHISILON01-N4                        | STORAGE            | EMC               | ISILON X400                           | SN400-301410-0307                                              | 0215.38
 CHISILON01-N5                        | STORAGE            | EMC               | ISILON X400                           | SN400-301410-0296                                              | 0215.38
 CHISILON01-N6                        | STORAGE            | EMC               | ISILON X400                           | SN400-301610-0044                                              | 0215.38
 CHISILON03 22  21  20  19            | STORAGE            | EMC               | ISILON H400                           | JWXNM181800834  JWXNM182401088  JWXNM181900254  JWXNM182401110 | 0215.32
 CHISILON03-23   27  24   26          | STORAGE            | EMC               | ISILON H400                           | JWXNM184900871  JWXNM184901339  JWXNM184900888  JWXNM184901265 | 0215.32
 CHISILON03-25  28                    | STORAGE            | EMC               | ISILON H400                           | JWXNM184900891   JWXNM184901361                                | 0215.32
 CHISILON03-N1                        | STORAGE            | EMC               | ISILON X400                           | SN400-201415-0088                                              | 0215.33
 CHISILON03-N10                       | STORAGE            | EMC               | ISILON X400                           | JWXYE164500117                                                 | 0215.34
 CHISILON03-N11                       | STORAGE            | EMC               | ISILON X400                           | JWXYE164600100                                                 | 0215.34
