1              name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
21  EVDC-Q39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12431675                                  | Q39     | ADMIN

22  EVDC-Q39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451277                                  | Q39     | ADMIN

23  EVDC-R34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030303                                  | R34     | ADMIN

24  EVDC-R34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530425                                  | R34     | ADMIN

25  EVDC-R39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451241                                  | R39     | ADMIN

26  EVDC-R39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12421079                                  | R39     | ADMIN

27  EVDC-S34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12490074                                  | S34     | ADMIN

28  EVDC-S34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12431604                                  | S34     | ADMIN

29  EVDC-S39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451158                                  | S39     | ADMIN

30  EVDC-S39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451285                                  | S39     | ADMIN

31  EVDC-T34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030271                                  | T34     | ADMIN

32  EVDC-T34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530489                                  | T34     | ADMIN

33  EVDC-T39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451301                                  | T39     | ADMIN

34  EVDC-T39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451295                                  | T39     | ADMIN

35  EVDC-T43-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            |                                              | T43     | ADMIN

36  EVDC-T43-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            |                                              | T43     | ADMIN

