 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
                   |                   |            |            | FQG6FX1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX04-DAS04C
 N0031600          | 4BCMV12           | PUR0737189 | PUR0737189 | 4BCMV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05A
 N0031586          | 4BCLV12           | PUR0737189 | PUR0737189 | 4BCLV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05B
 N0031590          | 4BDKV12           | PUR0737189 | PUR0737189 | 4BDKV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX05_DAS05C
 N0031588          | 4BCKV12           | PUR0737189 | PUR0737189 | 4BCKV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06A
 N0031589          | 4BDLV12           | PUR0737189 | PUR0737189 | 4BDLV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06B
 N0031587          | 4BDMV12           | PUR0737189 | PUR0737189 | 4BDMV12                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVCSPMBX06_DAS06C
 00077000          | 5MZLXQ1           | PUR0335239 |            | 5MZLXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01A
 00077001          | 5MZQXQ1           | PUR0335239 |            | 5MZQXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS01B
 00077983          | 2F0ZMS1           | PUR0423266 |            | 2F0ZMS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS01C
 00077003          | 5MZNXQ1           | PUR0335239 |            | 5MZNXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02A
 00077002          | 5MZPXQ1           | PUR0335239 |            | 5MZPXQ1                                      | DELL          | POWERVAULT MD1200   | STORAGE  | EVDPM-DAS02B
 00077985          | 2F10NS1           | PUR0423266 |            | 2F10NS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS02C
 00077990          | DJYYLS1           | PUR0423266 |            | DJYYLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04A
 00077988          | DJZWLS1           | PUR0423266 |            | DJZWLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04B
 00078003          | 2F0VMS1           | PUR0423266 |            | 2F0VMS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04C
 00077989          | DJYXLS1           | PUR0423266 |            | DJYXLS1                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVDPM-DAS04D
                   |                   |            | PUR0873410 | J3D6T52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX01-DAS01
                   |                   |            | PUR0873410 | J3DDT52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX01-DAS02
                   |                   |            | PUR0873410 | J3D9T52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX02-DAS01
                   |                   |            | PUR0873410 | J3DJT52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX02-DAS02
                   |                   |            | PUR0873410 | J3D8T52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX03-DAS01
                   |                   |            | PUR0873410 | J3DHT52                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX03-DAS02
                   |                   |            | PUR1024163 | 6CSVPD2                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX04-DAS01
                   |                   |            | PUR1024163 | 6CT1QD2                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX04-DAS02
                   |                   |            | PUR1024163 | 6CSWPD2                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX05-DAS01
                   |                   |            | PUR1024163 | 6CSYPD2                                      | DELL          | POWERVAULT MD1420   | STORAGE  | EVSPLIDX05-DAS02
 00080312          | 2QQ9H02           | PUR0695223 | PUR0695223 | 2QQ9H02                                      | DELL          | POWERVAULT MD1220   | STORAGE  | EVSPLUNKDISK
 00080223          | 1051V52           | PUR0883531 | PUR0883531 | 1051V52                                      | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP01A-DAS
 00080222          | 1050V52           | PUR0883531 | PUR0883531 | 1050V52                                      | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP02A-DAS
 N0031697          | 104ZT52           | PUR0883531 | PUR0883531 | 104ZT52                                      | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP03A-DAS
 00080221          | 104YT52           | PUR0883531 | PUR0883531 | 104YT52                                      | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP04A-DAS
                   |                   |            | PUR1178849 | 98GZHK2                                      | DELL          | MD1400              | STORAGE  | VMBKUP05A-DAS-OLD
                   |                   |            | PUR1563937 | DQYB3333                                     | DELL          | POWERVAULT MD1400   | STORAGE  | VMBKUP05A-DAS01
 00081518          | D3JCR52           | PUR0864573 | PUR0864573 | D3JCR52                                      | DELL          | POWERVAULT MD1200   | STORAGE  | VMBKUP06-DAS
                   |                   |            | PUR1178849 | 98H1JK2                                      | DELL          | MD1400              | STORAGE  | VMBKUP07-DAS
                   |                   |            | PUR1178849 | 15V9DW2                                      | DELL          | MD1400              | STORAGE  | VMBKUP08A-DAS01
                   |                   |            | PUR1433378 | 15VBDW2                                      | DELL          | MD1400              | STORAGE  | VMBKUP09A-DAS01
                   |                   |            |            | JWXNM181900260/182800243/181900260/182800243 | EMC           | ISILON H400         | STORAGE  | EVISILON 19  20  21  22
                   |                   |            |            | JWXNM184200947/JWXNM184200733                | EMC           | ISILON H400         | STORAGE  | EVISILON 23 AND 24
                   |                   |            |            | JWXNM184200734/JWXNM184200711                | EMC           | ISILON H400         | STORAGE  | EVISILON 27 AND 28
                   |                   |            |            | JWXNM184900865/184900841/184900903/184900874 | EMC           | ISILON H400         | STORAGE  | EVISILON 31  32  33  34
                   |                   |            |            | JWXNM184900865/JWXNM184900841                | EMC           | ISILON H400         | STORAGE  | EVISILON 35 AND 36
                   |                   |            |            |                                              | EMC           | ISILON H400         | STORAGE  | EVISILON 37  38  39  40
                   |                   |            |            |                                              | EMC           | ISILON H400         | STORAGE  | EVISILON 37  38  39  40
                   |                   |            | PUR0389960 | SN400-201325-0274                            | EMC           | ISILON X400         | STORAGE  | EVISILON01-N1
                   |                   |            | PUR0389960 | SN400-201325-0275                            | EMC           | ISILON X400         | STORAGE  | EVISILON01-N2
                   |                   |            | PUR0389960 | SN400-201325-0276                            | EMC           | ISILON X400         | STORAGE  | EVISILON01-N3
                   |                   |            | PUR0701299 | SN400-301410-0305                            | EMC           | ISILON X400         | STORAGE  | EVISILON01-N4
 00079269          | SN400-301610-0046 | PUR0967072 | PUR0967072 | SN400-301610-0046                            | EMC           | ISILON X400         | STORAGE  | EVISILON01-N5
                   |                   |            | PUR0389960 | SX400-301233-0357                            | EMC           | ISILON X400         | STORAGE  | EVISILON02-N1
                   |                   |            | PUR0389960 | SX400-301243-0120                            | EMC           | ISILON X400         | STORAGE  | EVISILON02-N2
                   |                   |            | PUR0389960 | SX400-301233-0355                            | EMC           | ISILON X400         | STORAGE  | EVISILON02-N3
                   |                   |            | PUR0389960 | SX400-301409-0146                            | EMC           | ISILON X400         | STORAGE  | EVISILON02-N4
                   |                   |            | PUR0755508 | SN400-201433-0115                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N1
 N0031832          | JWXYE164600005    | PUR1078966 | PUR1078966 | JWXYE164600005                               | EMC           | ISILON X400         | STORAGE  | EVISILON03-N10
 N0031834          | JWXYE164600094    | PUR1078966 | PUR1078966 | JWXYE164600094                               | EMC           | ISILON X400         | STORAGE  | EVISILON03-N11
 N0031857          | JWXYE172200019    | PUR1179611 | PUR1179611 | JWXYE172200019                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N12
 N0031858          | JWXYE172200022    | PUR1179611 | PUR1179611 | JWXYE172200022                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N13
                   |                   |            | PUR1179611 | JWXYE172100026                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N14
 N0031860          | JWXYE172200017    | PUR1179611 | PUR1179611 | JWXYE172200017                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N15
 00082132          | JWXYE172200055    | PUR1179611 | PUR1179611 | JWXYE172200055                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N16
                   |                   |            | PUR1295104 | FCNYE181900024                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N17
                   |                   |            | PUR1295104 | FCNYE181400028                               | EMC           | ISILON X410         | STORAGE  | EVISILON03-N18
                   |                   |            | PUR0755522 | SN400-201433-0118                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N2
                   |                   |            | PUR0755522 | SN400-201433-0117                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N3
                   |                   |            |            | SN400-301525-0053                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N4
                   |                   |            | PUR0938630 | SN400-301543-0084                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N5
                   |                   |            | PUR0938630 | SN400-301546-0166                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N6
                   |                   |            | PUR0938630 | SN400-301543-0068                            | EMC           | ISILON X400         | STORAGE  | EVISILON03-N7
                   |                   |            | PUR1078966 | JAMYE162200157                               | EMC           | ISILON X400         | STORAGE  | EVISILON03-N8
 N0031831          | JWXYE164600058    | PUR1078966 | PUR1078966 | JWXYE164600058                               | EMC           | ISILON X400         | STORAGE  | EVISILON03-N9
                   |                   |            |            | 7809049                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 2
                   |                   |            |            | 7809048                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 3
                   |                   |            |            | 7809041                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 4
                   |                   |            |            | 7809035                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-3-ENCL 5
                   |                   |            |            | 7808463                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-3MGMT
                   |                   |            | PUR0836200 | 7872448                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 2
                   |                   |            | PUR0836200 | 7872229                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 3
                   |                   |            | PUR0836200 | 7872445                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 4
                   |                   |            | PUR0836200 | 7875428                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLAB-ENCL 5
                   |                   |            | PUR0836200 | 7865837                                      | IBM           | STORWISE V3700      | STORAGE  | EV3700-COLLABMGMT
                   |                   |            | PUR1025534 | 781E680                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1/ENCL 2
                   |                   |            | PUR1025534 | 781E665                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1/ENCL 3
                   |                   |            | PUR1025534 | 781E632                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1/ENCL 4
                   |                   |            | PUR1025534 | 781E717                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1/ENCL 6
                   |                   |            | PUR1025534 | 781E741                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1/ENCL 7
                   |                   |            | PUR1025534 | 781E814                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1MGMT
                   |                   |            | PUR1025534 | 781E302                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-1_20
                   |                   |            | PUR1025534 | 781E716                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2/ENCL 2
                   |                   |            | PUR1025534 | 781E684                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2/ENCL 3
                   |                   |            | PUR1025534 | 781E700                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2/ENCL 4
                   |                   |            | PUR1025534 | 781E685                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2/ENCL 5
                   |                   |            | PUR1025534 | 781E707                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2/ENCL 6
                   |                   |            | PUR1025534 | 781E803                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2MGMT
                   |                   |            | PUR1025534 | 781E300                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-2_10
 00088057          | 781BW72           | PUR1331898 | PUR1331898 | 781BW72                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-1MGMT
                   |                   |            | PUR1331898 | 781BP53                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL1
                   |                   |            | PUR1331898 | 781BR46                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL2
                   |                   |            | PUR1331898 | 781BP99                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL3
                   |                   |            | PUR1331898 | 781BR11                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL4
                   |                   |            | PUR1331898 | 781BR43                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL5
                   |                   |            | PUR1331898 | 781BP94                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL6
                   |                   |            | PUR1331898 | 781BP94                                      | IBM           | STORWISE V5030      | STORAGE  | EV5030-NUCLOUD-ENCL7
                   |                   |            | PUR0389960 | MT1127X00447                                 | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON01-IB-1
                   |                   |            | PUR0389960 | MT1127X00428                                 | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON01-IB-2
                   |                   |            | PUR0389960 | MT1236X02134                                 | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON02-IB-1
                   |                   |            | PUR0389960 | M71234X02260                                 | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON02-IB-2
                   |                   |            |            |                                              | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-1 (36)
                   |                   |            |            |                                              | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-1 (36)
                   |                   |            |            |                                              | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-2 (36)
                   |                   |            |            |                                              | MELLANOX      | IS 5022 DEVICE      | STORAGE  | EVISILON03-IB-2 (36)
                   |                   |            |            |                                              | PROE HARDWARE | PRO472              | STORAGE  | BACKUP2 MASTER
                   |                   |            |            |                                              | PROE HARDWARE | PRO472              | STORAGE  | BACKUP2 MASTER
                   |                   |            |            | AAG2915005018                                | PROE HARDWARE | PRO490              | STORAGE  | BACKUP2 SLAVE
(322 rows)

