 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
                   |                   |            | PUR1001703 | HHXJHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX82
                   |                   |            | PUR1001703 | HHXWHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX83
                   |                   |            | PUR1001703 | HHXGHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX84
                   |                   |            | PUR1001703 | HHXKHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX85
                   |                   |            | PUR1001703 | HHXXHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX86
                   |                   |            | PUR1001703 | HHXLHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESX87
 00079352          | HLQCJH2           | PUR1148114 | PUR1148114 | HLQCJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N01
 00079351          | HLQXHH2           | PUR1148114 | PUR1148114 | HLQXHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N02
 00079350          | HLR0JH2           | PUR1148114 | PUR1148114 | HLR0JH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N03
 00084539          | HLQBJH2           | PUR1148114 | PUR1148114 | HLQBJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N04
 00079349          | HLQYHH2           | PUR1148114 | PUR1148114 | HLQYHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N05
 00079348          | HLQWHH2           | PUR1148114 | PUR1148114 | HLQWHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N06
                   |                   |            | PUR1148114 | HLQZHH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N07
 00079346          | HLQDJH2           | PUR1148114 | PUR1148114 | HLQDJH2                                      | DELL          | POWEREDGE R620      | SERVER   | EVESXC01N08
                   |                   |            |            | 5Y0XQP2                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N01-U39
                   |                   |            |            | 5Y0WQP2                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC02N02-U39
                   | 3CP9H13           | PUR1521352 |            | 3CP9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC0307N-P39
                   | 38W4H13           | PUR1523314 |            | 38W4H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N01-V34
                   | 38V9H13           | PUR1523314 |            | 38V9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N02-V34
                   | 38W3H13           | PUR1523314 |            | 38W3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N03-V34
                   | 3CQ4H13           | PUR1521352 |            | 3CQ4H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N04-P39
                   | 2CFYG13           | PUR1521352 |            | 2CFYG13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N05-P39
                   | 3CQ6H13           | PUR1521352 |            | 3CQ6H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC03N06-P39
                   | 3CQ8H13           | PUR1521352 |            | 3CQ8H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N01-V34
                   | 3CQ9H13           | PUR1521352 |            | 3CQ9H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N02-V34
                   | 3CQ7H13           | PUR1521352 |            | 3CQ7H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N03-V34
                   | 3CQ3H13           | PUR1521352 |            | 3CQ3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N04-V34
                   | 3CR3H13           | PUR1521352 |            | 3CR3H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N05-Q34
                   | 3CP8H13           | PUR1521352 |            | 3CP8H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N06-Q34
                   | 3CQ5H13           | PUR1521352 |            | 3CQ5H13                                      | DELL          | POWEREDGE R640      | SERVER   | EVESXC04N07-Q34
 00081517          | H17HR52           | PUR0864605 | PUR0864605 | H17HR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD31
 00081513          | H17JR52           | PUR0864605 | PUR0864605 | H17JR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD32
 00081512          | H17KR52           | PUR0864605 | PUR0864605 | H17KR52                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD33
 00081493          | HHPHHB2           | PUR1001752 | PUR1001752 | HHPHHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD34
 00081492          | HHPJHB2           | PUR1001752 | PUR1001752 | HHPJHB2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD35
 00079271          | HRK6GK2           | PUR1167138 | PUR1167138 | HRK6GK2                                      | DELL          | POWEREDGE R630      | SERVER   | EVESXCLOUD36
