1              name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 
35  EVDC-T43-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T43     | ADMIN

36  EVDC-U34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U34     | ADMIN

37  EVDC-U34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U34     | ADMIN

38  EVDC-U39-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U39     | ADMIN

39  EVDC-U39-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U39     | ADMIN

40  EVDC-V34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V34     | ADMIN

41  EVDC-V34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V34     | ADMIN

42  EVDC-V39-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V39     | ADMIN

43  EVDC-V39-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V39     | ADMIN

44  2020RDG-IDF-Q39-ESW-1-01      | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q39     | ADMIN

45  2020RDG-IDF-Q39-ESW-1-02      | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q39     | ADMIN

46  2020RDG-IDF-R39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | R39     | ADMIN

47  2020RDG-IDF-S39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN

48  2020RDG-IDF-S39-ESW-2         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | S39     | ADMIN

49  2020RDG-IDF-T39-ESW-1         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T39     | ADMIN

50  2020RDG-IDF-T39-ESW-2         | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T39     | ADMIN

51  2020RDG-IDF-T34-ESW-2-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN

52  2020RDG-IDF-W34-ESW-1-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN

53  2020RDG-IDF-W34-ESW-2-01      | JUNIPER NETWORKS | NETWORK SWITCH    | SWITCH EX4200-24T 2PS   |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | T34     | ADMIN

54  EVDC-Q34-ESW-3                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q34     | ADMIN

55  EVDC-Q34-ESW-4                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q34     | ADMIN

56  EVDC-T43-ESW-3                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | NT                       | NUIT-CI-TNS-DATANETWORK                |                             | T43     | ADMIN

57  EVDC-T43-ESW-4                | JUNIPER NETWORKS | NETWORK SWITCH    | EX4500                  |          | NT                       | NUIT-CI-TNS-DATANETWORK                |                             | T43     | ADMIN

58  EV-UCESX01                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

59  EV-UCESX02                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

60  EV-UCESX03                    | CISCO SYSTEMS    | SERVER            | USC C240 M4SX           |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

61  EV-UCESX04                    | CISCO SYSTEMS    | SERVER            | UCS C240 M3             |          | NT                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

62  EV-UCESX05                    | CISCO SYSTEMS    | SERVER            | UCS C240 M3             |          | NT                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

63  BACKUP1                       | CODE42           | SERVER            | M1                      |          | SO                       | NUIT-TSS-SUPPORTSERVICES               |                             | T39     | ADMIN

64  ALPS.LIBRARY.NORTHWESTERN.EDU | DELL             | SERVER            | R730                    |          | PIPS                     | LIBRARY                                | BOB TRAUTVETTER             | R39     | ADMIN

65  ANSEL                         | DELL             | SERVER            | POWEREDGE R610          |          | PIPS                     | LIBRARY                                | BOB TRAUTVETTER             | Q39     | ADMIN

66  AVALON                        | DELL             | SERVER            | POWEREDGE R620          |          | SO                       | LIBRARY                                | BOB TRAUTVETTER             | R39     | ADMIN

67  BIGBEND                       | DELL             | SERVER            | POWEREDGE R620          |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | S34     | ADMIN

68  COIPROD                       | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN

69  COIPRODDATA                   | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN

70  COITEST                       | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN

71  COITESTDATA                   | DELL             | SERVER            | POWEREDGE R730XD        |          | PIPS                     | OFFICE OF RESEARCH-INFORMATION SYSTEMS | TERA MOSKEL                 | T39     | ADMIN

72  ERATABLEAU                    | DELL             | SERVER            | POWEREDGE 1750          |          | PIPS                     | NUIT-PMOET-IDENTITYSERVICES            |                             | U39     | ADMIN

