             name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 
 EVDC-U34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U34     | ADMIN
 EVDC-U34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U34     | ADMIN
 EVDC-U39-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U39     | ADMIN
 EVDC-U39-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | U39     | ADMIN
 EVDC-V34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V34     | ADMIN
 EVDC-V34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V34     | ADMIN
 EVDC-V39-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V39     | ADMIN
 EVDC-V39-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | V39     | ADMIN
 2020RDG-IDF-Q39-ESW-1-01      | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q39     | ADMIN
 2020RDG-IDF-Q39-ESW-1-02      | CISCO SYSTEMS    | NETWORK SWITCH    | CATALYST C3750G-24TS-1U |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | Q39     | ADMIN
