1                  name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
225  CHISILON03 22  21  20  19            | STORAGE            | EMC               | ISILON H400                           | JWXNM181800834  JWXNM182401088  JWXNM181900254  JWXNM182401110 | 0215.32

226  CHISILON03-23   27  24   26          | STORAGE            | EMC               | ISILON H400                           | JWXNM184900871  JWXNM184901339  JWXNM184900888  JWXNM184901265 | 0215.32

227  CHISILON03-25  28                    | STORAGE            | EMC               | ISILON H400                           | JWXNM184900891   JWXNM184901361                                | 0215.32

228  CHISILON03-N1                        | STORAGE            | EMC               | ISILON X400                           | SN400-201415-0088                                              | 0215.33

229  CHISILON03-N10                       | STORAGE            | EMC               | ISILON X400                           | JWXYE164500117                                                 | 0215.34

230  CHISILON03-N11                       | STORAGE            | EMC               | ISILON X400                           | JWXYE164600100                                                 | 0215.34

231  CHISILON03-N12                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700110                                                 | 0215.34

232  CHISILON03-N13                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700133                                                 | 0215.34

233  CHISILON03-N14                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700118                                                 | 0215.34

234  CHISILON03-N15                       | STORAGE            | EMC               | ISILON X410                           | JWXYE172200115                                                 | 0215.32

235  CHISILON03-N16                       | STORAGE            | EMC               | ISILON X410                           | JWXYE171700113                                                 | 0215.32

236  CHISILON03-N17                       | STORAGE            | EMC               | ISILON X410                           | FCNYE181900002                                                 | 0215.35

237  CHISILON03-N18                       | STORAGE            | EMC               | ISILON X410                           | FCNYE181900033                                                 | 0215.32

238  CHISILON03-N2                        | STORAGE            | EMC               | ISILON X400                           | SN400-201433-0114                                              | 0215.33

239  CHISILON03-N3                        | STORAGE            | EMC               | ISILON X400                           | SN400-201433-0116                                              | 0215.33

240  CHISILON03-N4                        | STORAGE            | EMC               | ISILON X400                           | SN400-301524-0131                                              | 0215.33

241  CHISILON03-N5                        | STORAGE            | EMC               | ISILON X400                           | SN400-301549-0035                                              | 0215.33

242  CHISILON03-N6                        | STORAGE            | EMC               | ISILON X400                           | SN400-301601-0007                                              | 0215.35

243  CHISILON03-N7                        | STORAGE            | EMC               | ISILON X400                           | SN400-301545-0012                                              | 0215.35

244  CHISILON03-N8                        | STORAGE            | EMC               | ISILON X400                           | APMYE164800004                                                 | 0215.34

245  CHISILON03-N9                        | STORAGE            | EMC               | ISILON X400                           | APMYE164800005                                                 | 0215.34

246  CH-TAPE-LIBRARY-3576-E9U-CHASSIS     | STORAGE            | IBM               | TOTALSTORAGE TS3310 LIBRARY ENCLOSURE | 1384607                                                        | 0215.39

247  CH-TAPE-LIBRARY-3576-L5B             | STORAGE            | IBM               | SYSTEM STORAGE TS3310                 | 1323470                                                        | 0215.39

248  CH3700-COLLAB                        | STORAGE            | IBM               | STORWISE V3700                        | 7865679                                                        | 0215.24

249  CH3700-COLLAB-CONTROL^^5439          | STORAGE            | IBM               | STORWISE V3700                        |                                                                | 

250  CH5030-1-ENCL 2                      | STORAGE            | IBM               | STORWISE V5030                        | 781E970                                                        | 0215.39

251  CH5030-1-ENCL 5                      | STORAGE            | IBM               | STORWISE V5030                        | 781F009                                                        | 0215.39

252  CH5030-1-ENCL 6                      | STORAGE            | IBM               | STORWISE V5030                        | 781F023                                                        | 0215.39

253  CH5030-1/ENCL 3                      | STORAGE            | IBM               | STORWISE V5030                        | 781F025                                                        | 0215.39

254  CH5030-1/ENCL 4                      | STORAGE            | IBM               | STORWISE V5030                        | 781F085                                                        | 0215.39

255  CH5030-1/ENCL 7                      | STORAGE            | IBM               | STORWISE V5030                        | 781F076                                                        | 0215.39

256  CH5030-1MGMT                         | STORAGE            | IBM               | STORWISE V5030                        | 781E846                                                        | 0215.39

257  STOREWIZE 1                          | STORAGE            | IBM               | STORWISE V3700                        | 787245                                                         | 0215.24

258  STOREWIZE 2                          | STORAGE            | IBM               | STORWISE V3700                        | 7872454                                                        | 0215.24

259  STOREWIZE 3                          | STORAGE            | IBM               | STORWISE V3700                        | 7872230                                                        | 0215.24

260  STOREWIZE 4                          | STORAGE            | IBM               | STORWISE V3700                        | 7873409                                                        | 0215.24

261  ERADS14                              | STORAGE            | LENOVO            | SYSTEM X3650 M5                       | J11ML7M                                                        | 0215.26

262  CHISILON01-IB-1                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1314L00300                                                   | 0215.38

263  CHISILON01-IB-2                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1314L00129                                                   | 0215.38

264  CHISILON03-IB-1                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1411L00217                                                   | 0215.33

265  CHISILON03-IB-2                      | STORAGE            | MELLANOX          | IS 5022 DEVICE                        | MT1411L00337                                                   | 0215.33

266  KIS STORAGE 1                        | STORAGE            | NETAPP            | DS2240                                | SHJGD1812000362_AUDIT                                          | 0215.23

267  KIS STORAGE 1^^6788                  | STORAGE            | NETAPP            | DS2240                                |                                                                | 

268  KIS STORAGE 2                        | STORAGE            | NETAPP            | DS2120                                | SHJGD1812000362                                                | 0215.23

269  KIS STORAGE 2^^6783                  | STORAGE            | NETAPP            | DS2120                                |                                                                | 

270  NETAPP 10                            | STORAGE            | NETAPP            | DS2120                                | 031829000314                                                   | 0215.36

271  NETAPP 11                            | STORAGE            | NETAPP            | DS2120                                | 031829001394                                                   | 0215.36

272  NETAPP 12                            | STORAGE            | NETAPP            | DS2120                                | 031829000535                                                   | 0215.36

273  NETAPP 20                            | STORAGE            | NETAPP            | DS2120                                | 031829000535                                                   | 0215.36

274  NETAPP 21                            | STORAGE            | NETAPP            | DS2120                                | 031829001063                                                   | 0215.36

275  NETAPP 22                            | STORAGE            | NETAPP            | DS2120                                | 031829001053                                                   | 0215.36

276  NETAPP 9                             | STORAGE            | NETWORK APPLIANCE | AFF8020                               | 721901000158                                                   | 0215.36

277  NIMBLE1                              | STORAGE            | NIMBLE STORAGE    | CS-220G                               | AF-122944                                                      | 0215.23

278  NIMBLE1^^6786                        | STORAGE            | NIMBLE STORAGE    | CS-220G                               |                                                                | 

279  NIMBLE2                              | STORAGE            | NIMBLE STORAGE    | CS-220G                               | AF-115970                                                      | 0215.23

280  NIMBLE2^^6785                        | STORAGE            | NIMBLE STORAGE    | CS-220G                               |                                                                | 

281  TS3310 LTO6 DRIVE 1                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO40916                                                     | 0215.39

282  TS3310 LTO6 DRIVE 2                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO40931                                                     | 0215.39

283  TS3310 LTO6 DRIVE 3                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO41050                                                     | 0215.39

284  TS3310 LTO6 DRIVE 4                  | TAPE               | IBM               | TS3310 LTO6 DRIVE                     | 10WTO41059                                                     | 0215.39

285  KIS CHDC UCS                         | UNKNOWN            | CISCO SYSTEMS     | UCS 5108                              | FOX2029GG5W                                                    | 0215.23

286  KIS CHDC UCS^^6789                   | UNKNOWN            | CISCO SYSTEMS     | UCS 5108                              |                                                                | 

287 (284 rows)

288 

