1                  name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
51  CHDC-232-021526-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530462                                                    | 0215.26

52  CHDC-232-021526-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530431                                                    | 0215.26

53  CHDC-232-021527-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE13030313                                                    | 0215.27

54  CHDC-232-021527-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-52                          | JPE12530439                                                    | 0215.27

55  CHDC-232-021528-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451288                                                    | 0215.28

56  CHDC-232-021528-ESW-1^^3824          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

57  CHDC-232-021528-ESW-1^^3825          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

58  CHDC-232-021528-ESW-1^^3826          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

59  CHDC-232-021528-ESW-1^^3827          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

60  CHDC-232-021528-ESW-1^^3828          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

61  CHDC-232-021528-ESW-1^^3829          | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

62  CHDC-232-021528-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451162                                                    | 0215.28

63  CHDC-232-021533-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12421103                                                    | 0215.33

64  CHDC-232-021533-ESW-1-01^^5262       | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

65  CHDC-232-021533-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451174                                                    | 0215.33

66  CHDC-232-021533-ESW-2-01^^5261       | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 

67  CHDC-232-021536-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.36

68  CHDC-232-021536-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.36

69  CHDC-232-021537-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.37

70  CHDC-232-021540-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451273                                                    | 0215.40

71  CHDC-232-021540-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451211                                                    | 0215.40

72  CHDC-232-02157-ESW-2                 | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.37

73  CHDC-232-021637-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0216.37

74  CHDC-232-021637-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0216.37

75  CHDC-232-215.29-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451214                                                    | 0215.29

76  CHDC-232-215.29-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451296                                                    | 0215.29

77  CHDC-232-215.30-ESW-1                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451170                                                    | 0215.30

78  CHDC-232-215.30-ESW-2                | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451302                                                    | 0215.30

79  ABBT-234-021522-ESW-2-UP             | NETWORK SWITCH     | CISCO SYSTEMS     | CATALYST WS-C3850-24P                 | FOC1747X0UP                                                    | 0215.22

80  KIS CHDC UCS ESW-1                   | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            | SSI201901VD                                                    | 0215.23

81  KIS CHDC UCS ESW-1^^6790             | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            |                                                                | 

82  KIS CHDC UCS ESW-2                   | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            | SSI201705R8                                                    | 0215.23

83  KIS CHDC UCS ESW-2^^6791             | NETWORK SWITCH     | CISCO SYSTEMS     | UCS 6248UP                            |                                                                | 

84  ABBT-234-021518-FW-1-FM-01           | NETWORK SWITCH     | JUNIPER NETWORKS  | GATEWAY SSG 140                       | 0162012010001599                                               | 0215.36

85  CHDC-232-021533-ESW-3                | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                | GX0212171630                                                   | 0215.33

86  CHDC-232-021533-ESW-3-01^^5260       | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                |                                                                | 

87  CHDC-232-021533-ESW-3^^5232-01^^5259 | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                |                                                                | 

88  CHDC-232-021533-ESW-4                | NETWORK SWITCH     | JUNIPER NETWORKS  | EX4500                                | GX0214377870                                                   | 0215.33

89  CHISILON_MELLANOX_215.33             | NETWORK SWITCH     | MELLANOX          | SX6506                                | MT1913W00001                                                   | 0215.33

90  CHISILON_MELLANOX_215.34             | NETWORK SWITCH     | MELLANOX          | SX6506                                | MT1913W00002                                                   | 0215.34

91  OPENGEAR                             | NETWORK SWITCH     | OPENGEAR          | CM 4148                               | 71160128151679                                                 | 0215.37

92  KIS DISASTER RECOVERY                | SAN                | NETAPP            | FAS2650HA                             | SHJGD1812000362_AUDIT_                                         | 0215.23

93  KIS DISASTER RECOVERY^^6784          | SAN                | NETAPP            | FAS2650HA                             |                                                                | 

94  CHDC-UDS-ESXI-1                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0R6                                                    | 0215.40

95  CHDC-UDS-ESXI-2                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0KN                                                    | 0215.40

96  CHDC-UDS-ESXI-3                      | SERVER             | CISCO SYSTEMS     | USC C240 M4SX                         | FCH2040V0TC                                                    | 0215.40

97  CHDC-UDS-ESXI-4                      | SERVER             | CISCO SYSTEMS     | UCS C240 M4S2                         | FCH2132V1EF                                                    | 0215.40

98  APPREP #1                            | SERVER             | DELL              | POWERVAULT DL4000                     | F5KW842                                                        | 0215.36

99  APPREP #2                            | SERVER             | DELL              | POWERVAULT MD1200                     | DXTZ842                                                        | 0215.36

100  C3P0-CS.RESEARCH                     | SERVER             | DELL              | PRECISION 7820 TOWER                  | H23CB03                                                        | 0215.37

101  C3P1-CS.RESEARCH                     | SERVER             | DELL              | PRECISION 7820 TOWER                  | H23DB03                                                        | 0215.37

102  CHADSDC4                             | SERVER             | DELL              | POWEREDGE R630                        | DG13182                                                        | 0215.24

103  CHCSPDPM01                           | SERVER             | DELL              | POWEREDGE R710                        | DPTBJQ1                                                        | 0215.25

104  CHCSPDPM02                           | SERVER             | DELL              | POWEREDGE R710                        | DPV8JQ1                                                        | 0215.28

105  CHCSPDPM04                           | SERVER             | DELL              | POWEREDGE R710                        | JHPYNN1                                                        | 0215.28

106  CHCSPMBX01                           | SERVER             | DELL              | POWEREDGE R720                        | DRW38Y1                                                        | 0215.30

107  CHCSPMBX02                           | SERVER             | DELL              | POWEREDGE R720                        | 3YPTGX1                                                        | 0215.30

108  CHCSPMBX03                           | SERVER             | DELL              | POWEREDGE R720                        | 3YNWGX1                                                        | 0215.29

109  CHCSPMBX04                           | SERVER             | DELL              | POWEREDGE R720                        | 3YPSGX1                                                        | 0215.29

110  CHCSPMBX05                           | SERVER             | DELL              | POWEREDGE R720                        | 4CPMV12                                                        | 0215.29

111  CHCSPMBX06                           | SERVER             | DELL              | POWEREDGE R720                        | 4CPLV12                                                        | 0215.30

112  CHCSPSFAST1                          | SERVER             | DELL              | POWEREDGE R720XD                      | 6FWC5X1                                                        | 0215.26

113  CHCSPSFAST2                          | SERVER             | DELL              | POWEREDGE R720XD                      | 5FWC5X1                                                        | 0215.27

114  CHCSPSSQL1                           | SERVER             | DELL              | POWEREDGE R710                        | F19GJS1                                                        | 0215.28

115  CHCSPSSQL2                           | SERVER             | DELL              | POWEREDGE R710                        | F1CCJS1                                                        | 0215.25

116  CHESX20                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS6D42                                                        | 0215.26

117  CHESX21                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS3D42                                                        | 0215.26

118  CHESX22                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZRCD42                                                        | 0215.26

119  CHESX23                              | SERVER             | DELL              | POWEREDGE R630                        | 7ZS4D42                                                        | 0215.26

120  CHESX24                              | SERVER             | DELL              | POWEREDGE R630                        | 7YZWC42                                                        | 0215.25

121  CHESX25                              | SERVER             | DELL              | POWEREDGE R630                        | 8P99D42                                                        | 0215.25

122  CHESX26                              | SERVER             | DELL              | POWEREDGE R630                        | 9FWXC42                                                        | 0215.25

123  CHESX27                              | SERVER             | DELL              | POWEREDGE R630                        | 7Z00D42                                                        | 0215.25

124  CHESXCLOUD01                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HHK2                                                        | 0215.27

125  CHESXCLOUD02                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HHL2                                                        | 0215.27

126  CHESXCLOUD03                         | SERVER             | DELL              | POWEREDGE R630                        | JP0HXK2                                                        | 0215.27

127  CHITCSPDC                            | SERVER             | DELL              | POWEREDGE R640                        | 12R8HQ2                                                        | 0215.26

128  CHNBMS01                             | SERVER             | DELL              | POWEREDGE R620                        | F2JWHX1                                                        | 0215.39

129  CHRACS10                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPRN23                                                        | 0215.27

130  CHRACS11                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZQRN23                                                        | 0215.27

131  CHRACS12                             | SERVER             | DELL              | POWEREDGE R640                        | 6ZPSN23                                                        | 0215.27

