IP	Name	Module_num	Model	Serial	Software	firmware	memory	HW	Last Seen	Module ip	
10.100.14.42	allen-4e-esw-1	2	WS-C3750X-24P	FDO1525R0V1	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.43	allen-idf-esw-6	0	3750-stack	0x0F	15.2(4)E6		0		4/27/20 1:00	0.0.0.0	
10.100.14.43	allen-idf-esw-6	1	WS-C3750X-48P	FDO1525V0E7	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.43	allen-idf-esw-6	2	WS-C3750X-48P	FDO1525K0N2	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.44	allen-mechrm-317-esw-2	0	3750-stack	FDO1525P16K	15.2(4)E6		0		4/27/20 1:00	0.0.0.0	
10.100.14.44	allen-mechrm-317-esw-2	1	WS-C3750X-48P	FDO1525P1E0	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.44	allen-mechrm-317-esw-2	2	WS-C3750X-24P	FDO1525V06V	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.44	allen-mechrm-317-esw-2	3	WS-C3750X-48P	FDO1525P16K	15.2(4)E6		0	V02	4/27/20 1:00	0.0.0.0	
10.100.14.30	allen-mechrm-376-esw-1	0	3850-stack	FOC1807U0PT	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.14.30	allen-mechrm-376-esw-1	1	WS-C3850-48P-L	FOC1807U0PT	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
10.100.14.30	allen-mechrm-376-esw-1	2	WS-C3850-48P-L	FOC1807X0RG	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
129.105.254.198	2247shdn-b-esw-1	0	WS-C3750X-48P	FDO1645P0XE	15.2(4)E8		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.206	2249shdn-b-esw-1	0	WS-C3750X-48P	FDO1650P185	15.0(2)SE2		0	V04	4/27/20 1:00	0.0.0.0	
129.105.254.200	2251shdn-attic-esw-2	0	3850-stack	FOC1748Y0L7	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
